ACCOUNT_NUMBER,BRANCH_CODE,APPLICATION_NUM,CUSTOMER_ID,PRODUCT_CODE,PRODUCT_CATEGORY,BOOK_DATE,VALUE_DATE,MATURITY_DATE,AMOUNT_FINANCED,DOWNPAYMENT_AMOUNT,CURRENCY,ORIGINAL_ST_DATE,PRIMARY_APPLICANT_ID,PRIMARY_APPLICANT_NAME,USER_DEFINED_STATUS,CALC_REQD,BACK_VAL_EFF_DT,AUTO_MAN_ROLLOVER,SCHEDULE_BASIS,UDE_ROLLOVER_BASIS,ROLLOVER_TYPE,SPECIAL_AMOUNT,RATE_CODE_PREF,PASSBOOK_FACILITY,ATM_FACILITY,ALLOW_BACK_PERIOD_ENTRY,INT_STMT,TRACK_RECEIVABLE_ALIQ,TRACK_RECEIVABLE_MLIQ,LIQUIDATION_MODE,AMEND_PAST_PAID_SCHEDULE,CHEQUE_BOOK_FACILITY,LIQ_BACK_VALUED_SCHEDULES,LIQ_COMP_DATES_FLAG,RETRIES_AUTO_LIQ,RESIDUAL_AMOUNT,ACCOUNT_STATUS,AUTH_STAT,VERSION_NO,LATEST_ESN,NEXT_ACCR_DATE,HAS_PROBLEMS,PROCESS_NO,AMOUNT_DISBURSED,STOP_ACCRUALS,FUNDED_STATUS,AMORTIZED,RECALC_ACTION_CODE,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,ARVN_APPLIED,ALT_ACC_NO,PARTIAL_LIQUIDATION,ALIQ_REVERSED_PMT,NO_OF_INSTALLMENTS,FREQUENCY,FREQUENCY_UNIT,FIRST_INS_DATE,LINKED_REFERENCE,LINKAGE_TYPE,FIELD_CHAR_1,FIELD_CHAR_2,FIELD_CHAR_3,FIELD_CHAR_4,FIELD_CHAR_5,FIELD_CHAR_6,FIELD_CHAR_7,FIELD_CHAR_8,FIELD_CHAR_9,FIELD_CHAR_10,FIELD_CHAR_11,FIELD_CHAR_12,FIELD_CHAR_13,FIELD_CHAR_14,FIELD_CHAR_15,FIELD_CHAR_16,FIELD_CHAR_17,FIELD_CHAR_18,FIELD_CHAR_19,FIELD_CHAR_20,FIELD_NUMBER_1,FIELD_NUMBER_2,FIELD_NUMBER_3,FIELD_NUMBER_4,FIELD_NUMBER_5,FIELD_NUMBER_6,FIELD_NUMBER_7,FIELD_NUMBER_8,FIELD_NUMBER_9,FIELD_NUMBER_10,FIELD_NUMBER_11,FIELD_NUMBER_12,FIELD_NUMBER_13,FIELD_NUMBER_14,FIELD_NUMBER_15,FIELD_NUMBER_16,FIELD_NUMBER_17,FIELD_NUMBER_18,FIELD_NUMBER_19,FIELD_NUMBER_20,FIELD_DATE_1,FIELD_DATE_2,FIELD_DATE_3,FIELD_DATE_4,FIELD_DATE_5,FIELD_DATE_6,FIELD_DATE_7,FIELD_DATE_8,FIELD_DATE_9,FIELD_DATE_10,ROLL_BY,MATURITY_TYPE,NET_PRINCIPAL,INDEX_XRATE,MIGRATION_DATE,DR_PAYMENT_MODE,CR_PAYMENT_MODE,DR_PROD_AC,CR_PROD_AC,DR_ACC_BRN,CR_ACC_BRN,EXT_ACC_NO_CR,EXT_ACC_NAME_CR,CLG_BANK_CODE_CR,CLG_BRN_CODE_CR,PC_CAT_CR,EXT_ACC_NO_DR,EXT_ACC_NAME_DR,CLG_BANK_CODE_DR,CLG_BRN_CODE_DR,PC_CAT_DR,CARD_NO,INSTRUMENT_NO_CR,ROUTING_NO_CR,END_POINT_CR,CLG_PROD_CODE_CR,SECTOR_CODE_CR,INSTRUMENT_NO_DR,ROUTING_NO_DR,END_POINT_DR,CLG_PROD_CODE_DR,SECTOR_CODE_DR,UPLOAD_SOURCE_DR,UPLOAD_SOURCE_CR,EMI_AMOUNT,CUTOFF_TRANSACTION,DELINQUENCY_STATUS,EXECUTION_DATE,USGT_STATUS,LAST_INTRADAY_ACCR_DT,DUE_DATES_ON,DETERIORATION_DATE,CURR_ACBAL_CHK,PARENT_LOAN,ALTERNATE_CCY
100000000001,001,APPLICATION_NUM_,CUST000001,SAV1,SAV1,2026-01-01,2026-01-01,2026-01-01,107608.800,198060.000,USD,2026-01-01,PRIMARY_APPLICANT_ID_1,Primary Applicant Name 1,USER,C,2026-01-01,A,S,U,R,66611.200,R,P,A,A,I,T,T,L,A,C,L,Y,8011,120068.000,1,U,4350,9170,2026-01-01,H,46,125093.600,1,235618,A,R,MAKER_ID_1,2026-01-01,CHECKER_ID_1,2026-01-01,A,100000000001,P,Y,7,618623,F,2026-01-01,LINKED_REFERENCE_1,LINKAGE_TYPE_1,FIELD_CHAR_1_1,FIELD_CHAR_2_1,FIELD_CHAR_3_1,FIELD_CHAR_4_1,FIELD_CHAR_5_1,FIELD_CHAR_6_1,FIELD_CHAR_7_1,FIELD_CHAR_8_1,FIELD_CHAR_9_1,FIELD_CHAR_10_1,FIELD_CHAR_11_1,FIELD_CHAR_12_1,FIELD_CHAR_13_1,FIELD_CHAR_14_1,FIELD_CHAR_15_1,FIELD_CHAR_16_1,FIELD_CHAR_17_1,FIELD_CHAR_18_1,FIELD_CHAR_19_1,FIELD_CHAR_20_1,283649,569154,200338,34312,553493,244665,343288,251382,773889,862247,215578,598703,86104,730188,655660,199492,39024,908040,471152,32149,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,R,M,920874,1.3900,2026-01-01,DR_PAYMENT_MODE_1,CR_PAYMENT_MODE_1,DR_PROD_AC_1,CR_PROD_AC_1,100,100,100000000001,100000000001,CLG_,CLG_BRN_CODE_CR_1,PC_C,100000000001,100000000001,CLG_,CLG_BRN_CODE_DR_1,PC_C,CARD_NO_1,INSTRUMENT_NO_CR,ROUTING_NO_CR_1,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_1,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,118997.600,C,D,2026-01-01,U,2026-01-01,9,2026-01-01,C,PARENT_LOAN_1,USD
100000000002,002,APPLICATION_NUM_,CUST000002,CURR,CURR,2026-01-02,2026-01-02,2026-01-02,8263.200,894.000,PEN,2026-01-02,PRIMARY_APPLICANT_ID_2,Primary Applicant Name 2,USER,C,2026-01-02,A,S,U,R,5601.200,R,P,A,A,I,T,T,L,A,C,L,N,3186,19708.200,1,A,3582,3038,2026-01-02,H,22,13346.600,1,849397,A,R,MAKER_ID_2,2026-01-02,CHECKER_ID_2,2026-01-02,A,100000000002,P,N,33,191080,F,2026-01-02,LINKED_REFERENCE_2,LINKAGE_TYPE_2,FIELD_CHAR_1_2,FIELD_CHAR_2_2,FIELD_CHAR_3_2,FIELD_CHAR_4_2,FIELD_CHAR_5_2,FIELD_CHAR_6_2,FIELD_CHAR_7_2,FIELD_CHAR_8_2,FIELD_CHAR_9_2,FIELD_CHAR_10_2,FIELD_CHAR_11_2,FIELD_CHAR_12_2,FIELD_CHAR_13_2,FIELD_CHAR_14_2,FIELD_CHAR_15_2,FIELD_CHAR_16_2,FIELD_CHAR_17_2,FIELD_CHAR_18_2,FIELD_CHAR_19_2,FIELD_CHAR_20_2,324003,76153,209928,24126,914951,883072,531425,292702,923667,372935,190416,50110,132043,280586,856696,241062,815426,620421,242540,807787,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,R,M,520240,1.1300,2026-01-02,DR_PAYMENT_MODE_2,CR_PAYMENT_MODE_2,DR_PROD_AC_2,CR_PROD_AC_2,100,100,100000000002,100000000002,CLG_,CLG_BRN_CODE_CR_2,PC_C,100000000002,100000000002,CLG_,CLG_BRN_CODE_DR_2,PC_C,CARD_NO_2,INSTRUMENT_NO_CR,ROUTING_NO_CR_2,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_2,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,8195.000,C,D,2026-01-02,U,2026-01-02,94,2026-01-02,C,PARENT_LOAN_2,PEN
100000000003,003,APPLICATION_NUM_,CUST000003,LOAN,LOAN,2026-01-03,2026-01-03,2026-01-03,7176.200,17045.600,EUR,2026-01-03,PRIMARY_APPLICANT_ID_3,Primary Applicant Name 3,USER,C,2026-01-03,A,S,U,R,22934.400,R,P,A,A,I,T,T,L,A,C,L,N,1199,14250.100,1,A,6494,6681,2026-01-03,H,28,7126.000,1,728327,A,R,MAKER_ID_3,2026-01-03,CHECKER_ID_3,2026-01-03,A,100000000003,P,N,13,451309,F,2026-01-03,LINKED_REFERENCE_3,LINKAGE_TYPE_3,FIELD_CHAR_1_3,FIELD_CHAR_2_3,FIELD_CHAR_3_3,FIELD_CHAR_4_3,FIELD_CHAR_5_3,FIELD_CHAR_6_3,FIELD_CHAR_7_3,FIELD_CHAR_8_3,FIELD_CHAR_9_3,FIELD_CHAR_10_3,FIELD_CHAR_11_3,FIELD_CHAR_12_3,FIELD_CHAR_13_3,FIELD_CHAR_14_3,FIELD_CHAR_15_3,FIELD_CHAR_16_3,FIELD_CHAR_17_3,FIELD_CHAR_18_3,FIELD_CHAR_19_3,FIELD_CHAR_20_3,656448,55227,294172,548985,358598,543532,607500,326335,29364,855941,479839,245103,230465,918033,393710,953909,68788,673958,680687,680209,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,R,M,418216,1.0500,2026-01-03,DR_PAYMENT_MODE_3,CR_PAYMENT_MODE_3,DR_PROD_AC_3,CR_PROD_AC_3,100,100,100000000003,100000000003,CLG_,CLG_BRN_CODE_CR_3,PC_C,100000000003,100000000003,CLG_,CLG_BRN_CODE_DR_3,PC_C,CARD_NO_3,INSTRUMENT_NO_CR,ROUTING_NO_CR_3,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_3,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,17189.700,C,D,2026-01-03,U,2026-01-03,2,2026-01-03,C,PARENT_LOAN_3,EUR
100000000004,004,APPLICATION_NUM_,CUST000004,TD01,TD01,2026-01-04,2026-01-04,2026-01-04,1302.500,5206.400,BRL,2026-01-04,PRIMARY_APPLICANT_ID_4,Primary Applicant Name 4,USER,C,2026-01-04,A,S,U,R,22746.000,R,P,A,A,I,T,T,L,A,C,L,N,8619,12463.500,1,A,6265,853,2026-01-04,H,79,4496.400,1,881340,A,R,MAKER_ID_4,2026-01-04,CHECKER_ID_4,2026-01-04,A,100000000004,P,N,7,981652,F,2026-01-04,LINKED_REFERENCE_4,LINKAGE_TYPE_4,FIELD_CHAR_1_4,FIELD_CHAR_2_4,FIELD_CHAR_3_4,FIELD_CHAR_4_4,FIELD_CHAR_5_4,FIELD_CHAR_6_4,FIELD_CHAR_7_4,FIELD_CHAR_8_4,FIELD_CHAR_9_4,FIELD_CHAR_10_4,FIELD_CHAR_11_4,FIELD_CHAR_12_4,FIELD_CHAR_13_4,FIELD_CHAR_14_4,FIELD_CHAR_15_4,FIELD_CHAR_16_4,FIELD_CHAR_17_4,FIELD_CHAR_18_4,FIELD_CHAR_19_4,FIELD_CHAR_20_4,851267,759835,63120,509855,162653,704976,581078,78636,308347,673683,200945,376222,166950,26968,578593,578727,715869,155585,316646,190029,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,R,M,894181,2.9100,2026-01-04,DR_PAYMENT_MODE_4,CR_PAYMENT_MODE_4,DR_PROD_AC_4,CR_PROD_AC_4,100,100,100000000004,100000000004,CLG_,CLG_BRN_CODE_CR_4,PC_C,100000000004,100000000004,CLG_,CLG_BRN_CODE_DR_4,PC_C,CARD_NO_4,INSTRUMENT_NO_CR,ROUTING_NO_CR_4,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_4,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,15780.800,C,D,2026-01-04,U,2026-01-04,54,2026-01-04,C,PARENT_LOAN_4,BRL
100000000005,005,APPLICATION_NUM_,CUST000005,CARD,CARD,2026-01-05,2026-01-05,2026-01-05,15636.900,3022.700,USD,2026-01-05,PRIMARY_APPLICANT_ID_5,Primary Applicant Name 5,USER,C,2026-01-05,A,S,U,R,22200.400,R,P,A,A,I,T,T,L,A,C,L,N,158,16651.700,1,A,5974,6024,2026-01-05,H,45,7516.000,1,378392,A,R,MAKER_ID_5,2026-01-05,CHECKER_ID_5,2026-01-05,A,100000000005,P,N,8,772995,F,2026-01-05,LINKED_REFERENCE_5,LINKAGE_TYPE_5,FIELD_CHAR_1_5,FIELD_CHAR_2_5,FIELD_CHAR_3_5,FIELD_CHAR_4_5,FIELD_CHAR_5_5,FIELD_CHAR_6_5,FIELD_CHAR_7_5,FIELD_CHAR_8_5,FIELD_CHAR_9_5,FIELD_CHAR_10_5,FIELD_CHAR_11_5,FIELD_CHAR_12_5,FIELD_CHAR_13_5,FIELD_CHAR_14_5,FIELD_CHAR_15_5,FIELD_CHAR_16_5,FIELD_CHAR_17_5,FIELD_CHAR_18_5,FIELD_CHAR_19_5,FIELD_CHAR_20_5,531530,598829,624733,571418,287943,833870,188955,768654,949533,653867,278329,308284,104091,42520,828979,27546,365233,791410,976390,475178,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,R,M,235989,2.4500,2026-01-05,DR_PAYMENT_MODE_5,CR_PAYMENT_MODE_5,DR_PROD_AC_5,CR_PROD_AC_5,100,100,100000000005,100000000005,CLG_,CLG_BRN_CODE_CR_5,PC_C,100000000005,100000000005,CLG_,CLG_BRN_CODE_DR_5,PC_C,CARD_NO_5,INSTRUMENT_NO_CR,ROUTING_NO_CR_5,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_5,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,18500.000,C,D,2026-01-05,U,2026-01-05,32,2026-01-05,C,PARENT_LOAN_5,USD
100000000006,006,APPLICATION_NUM_,CUST000006,CLRG,CLRG,2026-01-06,2026-01-06,2026-01-06,24794.300,4288.800,PEN,2026-01-06,PRIMARY_APPLICANT_ID_6,Primary Applicant Name 6,USER,C,2026-01-06,A,S,U,R,24223.500,R,P,A,A,I,T,T,L,A,C,L,Y,7191,7252.300,1,A,4040,9485,2026-01-06,H,13,13619.700,1,242426,A,R,MAKER_ID_6,2026-01-06,CHECKER_ID_6,2026-01-06,A,100000000006,P,N,0,937226,F,2026-01-06,LINKED_REFERENCE_6,LINKAGE_TYPE_6,FIELD_CHAR_1_6,FIELD_CHAR_2_6,FIELD_CHAR_3_6,FIELD_CHAR_4_6,FIELD_CHAR_5_6,FIELD_CHAR_6_6,FIELD_CHAR_7_6,FIELD_CHAR_8_6,FIELD_CHAR_9_6,FIELD_CHAR_10_6,FIELD_CHAR_11_6,FIELD_CHAR_12_6,FIELD_CHAR_13_6,FIELD_CHAR_14_6,FIELD_CHAR_15_6,FIELD_CHAR_16_6,FIELD_CHAR_17_6,FIELD_CHAR_18_6,FIELD_CHAR_19_6,FIELD_CHAR_20_6,219228,64857,332930,67291,589675,951421,612982,627251,401107,271668,441769,786759,352209,590453,742457,792209,218107,11080,237077,627295,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,R,M,609636,1.4100,2026-01-06,DR_PAYMENT_MODE_6,CR_PAYMENT_MODE_6,DR_PROD_AC_6,CR_PROD_AC_6,100,100,100000000006,100000000006,CLG_,CLG_BRN_CODE_CR_6,PC_C,100000000006,100000000006,CLG_,CLG_BRN_CODE_DR_6,PC_C,CARD_NO_6,INSTRUMENT_NO_CR,ROUTING_NO_CR_6,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_6,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,24802.000,C,D,2026-01-06,U,2026-01-06,91,2026-01-06,C,PARENT_LOAN_6,PEN
100000000007,007,APPLICATION_NUM_,CUST000007,SAV1,SAV1,2026-01-07,2026-01-07,2026-01-07,1823.800,14837.800,EUR,2026-01-07,PRIMARY_APPLICANT_ID_7,Primary Applicant Name 7,USER,C,2026-01-07,A,S,U,R,9576.300,R,P,A,A,I,T,T,L,A,C,L,N,8697,19615.700,1,A,8787,1944,2026-01-07,H,42,23132.700,1,946250,A,R,MAKER_ID_7,2026-01-07,CHECKER_ID_7,2026-01-07,A,100000000007,P,N,19,338481,F,2026-01-07,LINKED_REFERENCE_7,LINKAGE_TYPE_7,FIELD_CHAR_1_7,FIELD_CHAR_2_7,FIELD_CHAR_3_7,FIELD_CHAR_4_7,FIELD_CHAR_5_7,FIELD_CHAR_6_7,FIELD_CHAR_7_7,FIELD_CHAR_8_7,FIELD_CHAR_9_7,FIELD_CHAR_10_7,FIELD_CHAR_11_7,FIELD_CHAR_12_7,FIELD_CHAR_13_7,FIELD_CHAR_14_7,FIELD_CHAR_15_7,FIELD_CHAR_16_7,FIELD_CHAR_17_7,FIELD_CHAR_18_7,FIELD_CHAR_19_7,FIELD_CHAR_20_7,893965,355715,384957,364879,210109,880534,484454,513523,508757,231868,807889,663299,321539,740885,537744,14718,534002,767043,267927,403248,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,R,M,930160,1.1000,2026-01-07,DR_PAYMENT_MODE_7,CR_PAYMENT_MODE_7,DR_PROD_AC_7,CR_PROD_AC_7,100,100,100000000007,100000000007,CLG_,CLG_BRN_CODE_CR_7,PC_C,100000000007,100000000007,CLG_,CLG_BRN_CODE_DR_7,PC_C,CARD_NO_7,INSTRUMENT_NO_CR,ROUTING_NO_CR_7,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_7,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,17814.300,C,D,2026-01-07,U,2026-01-07,79,2026-01-07,C,PARENT_LOAN_7,EUR
100000000008,008,APPLICATION_NUM_,CUST000008,CURR,CURR,2026-01-08,2026-01-08,2026-01-08,24436.900,1835.600,BRL,2026-01-08,PRIMARY_APPLICANT_ID_8,Primary Applicant Name 8,USER,C,2026-01-08,A,S,U,R,9502.700,R,P,A,A,I,T,T,L,A,C,L,N,4120,1473.400,1,A,9289,7136,2026-01-08,H,87,20046.400,1,488338,A,R,MAKER_ID_8,2026-01-08,CHECKER_ID_8,2026-01-08,A,100000000008,P,N,3,193909,F,2026-01-08,LINKED_REFERENCE_8,LINKAGE_TYPE_8,FIELD_CHAR_1_8,FIELD_CHAR_2_8,FIELD_CHAR_3_8,FIELD_CHAR_4_8,FIELD_CHAR_5_8,FIELD_CHAR_6_8,FIELD_CHAR_7_8,FIELD_CHAR_8_8,FIELD_CHAR_9_8,FIELD_CHAR_10_8,FIELD_CHAR_11_8,FIELD_CHAR_12_8,FIELD_CHAR_13_8,FIELD_CHAR_14_8,FIELD_CHAR_15_8,FIELD_CHAR_16_8,FIELD_CHAR_17_8,FIELD_CHAR_18_8,FIELD_CHAR_19_8,FIELD_CHAR_20_8,986196,161219,659469,87950,60457,35302,903595,987255,933255,407256,106311,363978,607221,381051,457841,332142,779579,418056,382622,249971,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,R,M,408097,2.0700,2026-01-08,DR_PAYMENT_MODE_8,CR_PAYMENT_MODE_8,DR_PROD_AC_8,CR_PROD_AC_8,100,100,100000000008,100000000008,CLG_,CLG_BRN_CODE_CR_8,PC_C,100000000008,100000000008,CLG_,CLG_BRN_CODE_DR_8,PC_C,CARD_NO_8,INSTRUMENT_NO_CR,ROUTING_NO_CR_8,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_8,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,14298.700,C,D,2026-01-08,U,2026-01-08,93,2026-01-08,C,PARENT_LOAN_8,BRL
100000000009,009,APPLICATION_NUM_,CUST000009,LOAN,LOAN,2026-01-09,2026-01-09,2026-01-09,21716.700,19825.100,USD,2026-01-09,PRIMARY_APPLICANT_ID_9,Primary Applicant Name 9,USER,C,2026-01-09,A,S,U,R,5765.100,R,P,A,A,I,T,T,L,A,C,L,N,3397,7387.200,1,A,29,3314,2026-01-09,H,36,3437.400,1,538602,A,R,MAKER_ID_9,2026-01-09,CHECKER_ID_9,2026-01-09,A,100000000009,P,N,17,304725,F,2026-01-09,LINKED_REFERENCE_9,LINKAGE_TYPE_9,FIELD_CHAR_1_9,FIELD_CHAR_2_9,FIELD_CHAR_3_9,FIELD_CHAR_4_9,FIELD_CHAR_5_9,FIELD_CHAR_6_9,FIELD_CHAR_7_9,FIELD_CHAR_8_9,FIELD_CHAR_9_9,FIELD_CHAR_10_9,FIELD_CHAR_11_9,FIELD_CHAR_12_9,FIELD_CHAR_13_9,FIELD_CHAR_14_9,FIELD_CHAR_15_9,FIELD_CHAR_16_9,FIELD_CHAR_17_9,FIELD_CHAR_18_9,FIELD_CHAR_19_9,FIELD_CHAR_20_9,650762,948777,115877,284790,479965,849037,374848,51347,465375,45426,308840,653423,221333,158885,142313,366672,772951,436825,280247,299725,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,R,M,545366,1.9600,2026-01-09,DR_PAYMENT_MODE_9,CR_PAYMENT_MODE_9,DR_PROD_AC_9,CR_PROD_AC_9,100,100,100000000009,100000000009,CLG_,CLG_BRN_CODE_CR_9,PC_C,100000000009,100000000009,CLG_,CLG_BRN_CODE_DR_9,PC_C,CARD_NO_9,INSTRUMENT_NO_CR,ROUTING_NO_CR_9,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_9,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,11410.600,C,D,2026-01-09,U,2026-01-09,9,2026-01-09,C,PARENT_LOAN_9,USD
100000000010,010,APPLICATION_NUM_,CUST000010,TD01,TD01,2026-01-10,2026-01-10,2026-01-10,2035.100,8886.100,PEN,2026-01-10,PRIMARY_APPLICANT_ID_10,Primary Applicant Name 10,USER,C,2026-01-10,A,S,U,R,13737.900,R,P,A,A,I,T,T,L,A,C,L,N,3727,22528.700,1,A,4245,2890,2026-01-10,H,62,21987.900,1,537529,A,R,MAKER_ID_10,2026-01-10,CHECKER_ID_10,2026-01-10,A,100000000010,P,N,8,837526,F,2026-01-10,LINKED_REFERENCE_10,LINKAGE_TYPE_10,FIELD_CHAR_1_10,FIELD_CHAR_2_10,FIELD_CHAR_3_10,FIELD_CHAR_4_10,FIELD_CHAR_5_10,FIELD_CHAR_6_10,FIELD_CHAR_7_10,FIELD_CHAR_8_10,FIELD_CHAR_9_10,FIELD_CHAR_10_10,FIELD_CHAR_11_10,FIELD_CHAR_12_10,FIELD_CHAR_13_10,FIELD_CHAR_14_10,FIELD_CHAR_15_10,FIELD_CHAR_16_10,FIELD_CHAR_17_10,FIELD_CHAR_18_10,FIELD_CHAR_19_10,FIELD_CHAR_20_10,428912,897589,742208,761107,216247,908025,582537,706956,513186,524321,879664,808851,557622,672361,639272,804402,107868,752502,74934,36150,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,R,M,668217,0.9900,2026-01-10,DR_PAYMENT_MODE_10,CR_PAYMENT_MODE_10,DR_PROD_AC_10,CR_PROD_AC_10,100,100,100000000010,100000000010,CLG_,CLG_BRN_CODE_CR_10,PC_C,100000000010,100000000010,CLG_,CLG_BRN_CODE_DR_10,PC_C,CARD_NO_10,INSTRUMENT_NO_CR,ROUTING_NO_CR_10,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_10,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,14222.200,C,D,2026-01-10,U,2026-01-10,23,2026-01-10,C,PARENT_LOAN_10,PEN
