REFERENCE_NO,EVENT_SEQ_NO,INSTRUMENT_NO_1,INSTRUMENT_NO_2,VAL_DATE_BNK,VAL_DATE_CUST,BANK_CODE,BRANCH_CODE,SECTOR_CODE,ROUTING_NO,END_POINT,INSTRUMENT_AMT,LOCAL_CLEARING,DOCUMENT_TYPE,VAL_DATE_BNK_OLD,VAL_DATE_CUST_OLD,ROUTING_NO_OLD,ADDL_RETENTION_DAYS,INSTRUMENT_DATE,REM_ACCOUNT,REM_CUST,REVERSED,HOUSE_LOCATION,DOC_TRACK_NUM,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,TXN_ID,SAV_CODE,SAV_VAL_STAT
TRN000000000001,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-01,2026-01-01,BANK_CODE,001,SECTOR_CO,ROUTING_NO_1,END_POINT,38364.800,L,DOCUMENT_TYPE_1,2026-01-01,2026-01-01,ROUTING_NO_OLD_1,20,2026-01-01,100000000001,REM_CUST_1,Y,HOUS,DOC_TRACK_NUM_1,DATA_1_1,DATA_2_1,DATA_3_1,DATA_4_1,DATA_5_1,DATA_6_1,DATA_7_1,DATA_8_1,DATA_9_1,C,BATCH_REF_NO_1,ATM,TXN0000000000000001,SAV_,S
TRN000000000002,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-02,2026-01-02,BANK_CODE,002,SECTOR_CO,ROUTING_NO_2,END_POINT,5443.600,L,DOCUMENT_TYPE_2,2026-01-02,2026-01-02,ROUTING_NO_OLD_2,33,2026-01-02,100000000002,REM_CUST_2,N,HOUS,DOC_TRACK_NUM_2,DATA_1_2,DATA_2_2,DATA_3_2,DATA_4_2,DATA_5_2,DATA_6_2,DATA_7_2,DATA_8_2,DATA_9_2,C,BATCH_REF_NO_2,DEP,TXN0000000000000002,SAV_,S
TRN000000000003,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-03,2026-01-03,BANK_CODE,003,SECTOR_CO,ROUTING_NO_3,END_POINT,22258.500,L,DOCUMENT_TYPE_3,2026-01-03,2026-01-03,ROUTING_NO_OLD_3,34,2026-01-03,100000000003,REM_CUST_3,N,HOUS,DOC_TRACK_NUM_3,DATA_1_3,DATA_2_3,DATA_3_3,DATA_4_3,DATA_5_3,DATA_6_3,DATA_7_3,DATA_8_3,DATA_9_3,C,BATCH_REF_NO_3,WDR,TXN0000000000000003,SAV_,S
TRN000000000004,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-04,2026-01-04,BANK_CODE,004,SECTOR_CO,ROUTING_NO_4,END_POINT,12127.400,L,DOCUMENT_TYPE_4,2026-01-04,2026-01-04,ROUTING_NO_OLD_4,28,2026-01-04,100000000004,REM_CUST_4,N,HOUS,DOC_TRACK_NUM_4,DATA_1_4,DATA_2_4,DATA_3_4,DATA_4_4,DATA_5_4,DATA_6_4,DATA_7_4,DATA_8_4,DATA_9_4,C,BATCH_REF_NO_4,TRF,TXN0000000000000004,SAV_,S
TRN000000000005,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-05,2026-01-05,BANK_CODE,005,SECTOR_CO,ROUTING_NO_5,END_POINT,1164.400,L,DOCUMENT_TYPE_5,2026-01-05,2026-01-05,ROUTING_NO_OLD_5,8,2026-01-05,100000000005,REM_CUST_5,N,HOUS,DOC_TRACK_NUM_5,DATA_1_5,DATA_2_5,DATA_3_5,DATA_4_5,DATA_5_5,DATA_6_5,DATA_7_5,DATA_8_5,DATA_9_5,C,BATCH_REF_NO_5,FEE,TXN0000000000000005,SAV_,S
TRN000000000006,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-06,2026-01-06,BANK_CODE,006,SECTOR_CO,ROUTING_NO_6,END_POINT,13606.900,L,DOCUMENT_TYPE_6,2026-01-06,2026-01-06,ROUTING_NO_OLD_6,17,2026-01-06,100000000006,REM_CUST_6,N,HOUS,DOC_TRACK_NUM_6,DATA_1_6,DATA_2_6,DATA_3_6,DATA_4_6,DATA_5_6,DATA_6_6,DATA_7_6,DATA_8_6,DATA_9_6,C,BATCH_REF_NO_6,INT,TXN0000000000000006,SAV_,S
TRN000000000007,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-07,2026-01-07,BANK_CODE,007,SECTOR_CO,ROUTING_NO_7,END_POINT,20141.700,L,DOCUMENT_TYPE_7,2026-01-07,2026-01-07,ROUTING_NO_OLD_7,29,2026-01-07,100000000007,REM_CUST_7,N,HOUS,DOC_TRACK_NUM_7,DATA_1_7,DATA_2_7,DATA_3_7,DATA_4_7,DATA_5_7,DATA_6_7,DATA_7_7,DATA_8_7,DATA_9_7,C,BATCH_REF_NO_7,REV,TXN0000000000000007,SAV_,S
TRN000000000008,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-08,2026-01-08,BANK_CODE,008,SECTOR_CO,ROUTING_NO_8,END_POINT,21399.000,L,DOCUMENT_TYPE_8,2026-01-08,2026-01-08,ROUTING_NO_OLD_8,12,2026-01-08,100000000008,REM_CUST_8,N,HOUS,DOC_TRACK_NUM_8,DATA_1_8,DATA_2_8,DATA_3_8,DATA_4_8,DATA_5_8,DATA_6_8,DATA_7_8,DATA_8_8,DATA_9_8,C,BATCH_REF_NO_8,PAY,TXN0000000000000008,SAV_,S
TRN000000000009,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-09,2026-01-09,BANK_CODE,009,SECTOR_CO,ROUTING_NO_9,END_POINT,15613.700,L,DOCUMENT_TYPE_9,2026-01-09,2026-01-09,ROUTING_NO_OLD_9,2,2026-01-09,100000000009,REM_CUST_9,N,HOUS,DOC_TRACK_NUM_9,DATA_1_9,DATA_2_9,DATA_3_9,DATA_4_9,DATA_5_9,DATA_6_9,DATA_7_9,DATA_8_9,DATA_9_9,C,BATCH_REF_NO_9,ATM,TXN0000000000000009,SAV_,S
TRN000000000010,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-10,2026-01-10,BANK_CODE,010,SECTOR_CO,ROUTING_NO_10,END_POINT,3010.500,L,DOCUMENT_TYPE_10,2026-01-10,2026-01-10,ROUTING_NO_OLD_10,35,2026-01-10,100000000010,REM_CUST_10,N,HOUS,DOC_TRACK_NUM_1,DATA_1_10,DATA_2_10,DATA_3_10,DATA_4_10,DATA_5_10,DATA_6_10,DATA_7_10,DATA_8_10,DATA_9_10,C,BATCH_REF_NO_10,DEP,TXN0000000000000010,SAV_,S
