DIRECTION,PRODUCT_CODE,TXN_BRANCH,END_POINT,REFERENCE_NO,REM_CUST,BEN_CUST,REM_ACCOUNT,BEN_ACCOUNT,REM_DETAILS1,REM_DETAILS2,REM_DETAILS3,BENE_DETAILS1,BENE_DETAILS2,BENE_DETAILS3,ACC_BRANCH,ACC_CCY,ACC_CCY_AMT,INSTRUMENT_CCY,INSTRUMENT_AMT,EXCH_RATE,INSTRUMENT_NO_1,INSTRUMENT_NO_2,STATUS,TXN_DATE,INSTRUMENT_DATE,VAL_DATE_BNK,VAL_DATE_CUST,BANK_CODE,BRANCH_CODE,SECTOR_CODE,ROUTING_NO,LATE_CLG_FLG,ERR_CODE,REJECT_REASON,RECORD_STAT,AUTH_STAT,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,XREF,SCODE,SERIAL_NO,ENTRY_NO,MODULE_REFERENCE_NO,EVENT_SEQ_NO,MODULE_CODE,BENE_CCY,MOD_NO,DIN,DIN_DATE,REMARKS,ONCE_AUTH,CONSIDER_FOR_REG_CC,SPL_CHQ_FLG,DEPOSIT_PLACE,LOCAL_CLEARING,DOCUMENT_TYPE,ADDL_RETENTION_DAYS,BULK,OPERATION_CODE,LOT_CORELATIVE_NO,ORG_ACCOUNT,EXT_ACCOUNT,ADJ_AMT,HOUSE_LOCATION,DOC_TRACK_NUM,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,TXN_ID,SAV_CODE,SAV_VAL_STAT
D,SAV1,001,END_POINT,CLG_PENDING_001,REM_CUST_1,BEN_CUST_1,001234567890,001234567890,REM_DETAILS1_1,REM_DETAILS2_1,REM_DETAILS3_1,BENE_DETAILS1_1,BENE_DETAILS2_1,BENE_DETAILS3_1,001,USD,12000.000,USD,12500.000,3.380000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,PEND,2026-05-07,2026-05-07,2026-01-01,2026-01-01,BANK_CODE,001,SECTOR_CO,ROUTING_NO_1,L,ERR_CODE_1,REJECT_REASON_1,O,U,MAKER_ID_1,2026-01-01,CHECKER_ID_1,2026-01-01,XREF_1,SCODE_1,SERIAL_NO_1,799505,TRN000000000001,841904,MO,USD,9175,DIN_1,2026-01-01,REMARKS_1,Y,C,S,DEPOSIT_PLACE_1,L,DOCUMENT_TYPE_1,13,B,OPERATI,LOT_CORELATIVE_N,100000000001,100000000001,109943.200,HOUS,DOC_TRACK_NUM_1,DATA_1_1,DATA_2_1,DATA_3_1,DATA_4_1,DATA_5_1,DATA_6_1,DATA_7_1,DATA_8_1,DATA_9_1,C,BATCH_REF_NO_1,ATM,TXN0000000000000001,SAV_,S
D,CURR,002,END_POINT,CLG_REJECT_001,REM_CUST_2,BEN_CUST_2,001234567890,001234567890,REM_DETAILS1_2,REM_DETAILS2_2,REM_DETAILS3_2,BENE_DETAILS1_2,BENE_DETAILS2_2,BENE_DETAILS3_2,002,PEN,4200.000,PEN,4200.000,3.620000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,REJ,2026-05-07,2026-01-02,2026-01-02,2026-01-02,BANK_CODE,002,SECTOR_CO,ROUTING_NO_2,L,ERR_CODE_2,INSUFFICIENT_FUNDS,O,A,MAKER_ID_2,2026-01-02,CHECKER_ID_2,2026-01-02,XREF_2,SCODE_2,SERIAL_NO_2,912027,TRN000000000002,370191,MO,PEN,5771,DIN_2,2026-01-02,REMARKS_2,Y,C,S,DEPOSIT_PLACE_2,L,DOCUMENT_TYPE_2,3,B,OPERATI,LOT_CORELATIVE_N,100000000002,100000000002,24602.400,HOUS,DOC_TRACK_NUM_2,DATA_1_2,DATA_2_2,DATA_3_2,DATA_4_2,DATA_5_2,DATA_6_2,DATA_7_2,DATA_8_2,DATA_9_2,C,BATCH_REF_NO_2,DEP,TXN0000000000000002,SAV_,S
D,LOAN,003,END_POINT,TRN000000000003,REM_CUST_3,BEN_CUST_3,100000000003,100000000003,REM_DETAILS1_3,REM_DETAILS2_3,REM_DETAILS3_3,BENE_DETAILS1_3,BENE_DETAILS2_3,BENE_DETAILS3_3,003,EUR,8987.200,EUR,8559.100,4.460000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-03,2026-01-03,2026-01-03,2026-01-03,BANK_CODE,003,SECTOR_CO,ROUTING_NO_3,L,ERR_CODE_3,REJECT_REASON_3,O,A,MAKER_ID_3,2026-01-03,CHECKER_ID_3,2026-01-03,XREF_3,SCODE_3,SERIAL_NO_3,539999,TRN000000000003,424424,MO,EUR,2569,DIN_3,2026-01-03,REMARKS_3,Y,C,S,DEPOSIT_PLACE_3,L,DOCUMENT_TYPE_3,8,B,OPERATI,LOT_CORELATIVE_N,100000000003,100000000003,13622.400,HOUS,DOC_TRACK_NUM_3,DATA_1_3,DATA_2_3,DATA_3_3,DATA_4_3,DATA_5_3,DATA_6_3,DATA_7_3,DATA_8_3,DATA_9_3,C,BATCH_REF_NO_3,WDR,TXN0000000000000003,SAV_,S
D,TD01,004,END_POINT,TRN000000000004,REM_CUST_4,BEN_CUST_4,100000000004,100000000004,REM_DETAILS1_4,REM_DETAILS2_4,REM_DETAILS3_4,BENE_DETAILS1_4,BENE_DETAILS2_4,BENE_DETAILS3_4,004,BRL,11297.400,BRL,8738.000,2.730000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-04,2026-01-04,2026-01-04,2026-01-04,BANK_CODE,004,SECTOR_CO,ROUTING_NO_4,L,ERR_CODE_4,REJECT_REASON_4,O,A,MAKER_ID_4,2026-01-04,CHECKER_ID_4,2026-01-04,XREF_4,SCODE_4,SERIAL_NO_4,496693,TRN000000000004,481734,MO,BRL,2692,DIN_4,2026-01-04,REMARKS_4,Y,C,S,DEPOSIT_PLACE_4,L,DOCUMENT_TYPE_4,7,B,OPERATI,LOT_CORELATIVE_N,100000000004,100000000004,3873.300,HOUS,DOC_TRACK_NUM_4,DATA_1_4,DATA_2_4,DATA_3_4,DATA_4_4,DATA_5_4,DATA_6_4,DATA_7_4,DATA_8_4,DATA_9_4,C,BATCH_REF_NO_4,TRF,TXN0000000000000004,SAV_,S
D,CARD,005,END_POINT,TRN000000000005,REM_CUST_5,BEN_CUST_5,100000000005,100000000005,REM_DETAILS1_5,REM_DETAILS2_5,REM_DETAILS3_5,BENE_DETAILS1_5,BENE_DETAILS2_5,BENE_DETAILS3_5,005,USD,54.600,USD,10893.100,2.140000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-05,2026-01-05,2026-01-05,2026-01-05,BANK_CODE,005,SECTOR_CO,ROUTING_NO_5,L,ERR_CODE_5,REJECT_REASON_5,O,A,MAKER_ID_5,2026-01-05,CHECKER_ID_5,2026-01-05,XREF_5,SCODE_5,SERIAL_NO_5,323224,TRN000000000005,91720,MO,USD,5092,DIN_5,2026-01-05,REMARKS_5,Y,C,S,DEPOSIT_PLACE_5,L,DOCUMENT_TYPE_5,31,B,OPERATI,LOT_CORELATIVE_N,100000000005,100000000005,18830.400,HOUS,DOC_TRACK_NUM_5,DATA_1_5,DATA_2_5,DATA_3_5,DATA_4_5,DATA_5_5,DATA_6_5,DATA_7_5,DATA_8_5,DATA_9_5,C,BATCH_REF_NO_5,FEE,TXN0000000000000005,SAV_,S
D,CLRG,006,END_POINT,TRN000000000006,REM_CUST_6,BEN_CUST_6,100000000006,100000000006,REM_DETAILS1_6,REM_DETAILS2_6,REM_DETAILS3_6,BENE_DETAILS1_6,BENE_DETAILS2_6,BENE_DETAILS3_6,006,PEN,21122.700,PEN,21272.900,3.780000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-06,2026-01-06,2026-01-06,2026-01-06,BANK_CODE,006,SECTOR_CO,ROUTING_NO_6,L,ERR_CODE_6,REJECT_REASON_6,O,A,MAKER_ID_6,2026-01-06,CHECKER_ID_6,2026-01-06,XREF_6,SCODE_6,SERIAL_NO_6,212998,TRN000000000006,590269,MO,PEN,8198,DIN_6,2026-01-06,REMARKS_6,Y,C,S,DEPOSIT_PLACE_6,L,DOCUMENT_TYPE_6,23,B,OPERATI,LOT_CORELATIVE_N,100000000006,100000000006,13240.600,HOUS,DOC_TRACK_NUM_6,DATA_1_6,DATA_2_6,DATA_3_6,DATA_4_6,DATA_5_6,DATA_6_6,DATA_7_6,DATA_8_6,DATA_9_6,C,BATCH_REF_NO_6,INT,TXN0000000000000006,SAV_,S
D,SAV1,007,END_POINT,TRN000000000007,REM_CUST_7,BEN_CUST_7,100000000007,100000000007,REM_DETAILS1_7,REM_DETAILS2_7,REM_DETAILS3_7,BENE_DETAILS1_7,BENE_DETAILS2_7,BENE_DETAILS3_7,007,EUR,1686.300,EUR,18409.000,1.730000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-07,2026-01-07,2026-01-07,2026-01-07,BANK_CODE,007,SECTOR_CO,ROUTING_NO_7,L,ERR_CODE_7,REJECT_REASON_7,O,A,MAKER_ID_7,2026-01-07,CHECKER_ID_7,2026-01-07,XREF_7,SCODE_7,SERIAL_NO_7,976694,TRN000000000007,547047,MO,EUR,1677,DIN_7,2026-01-07,REMARKS_7,Y,C,S,DEPOSIT_PLACE_7,L,DOCUMENT_TYPE_7,7,B,OPERATI,LOT_CORELATIVE_N,100000000007,100000000007,2879.300,HOUS,DOC_TRACK_NUM_7,DATA_1_7,DATA_2_7,DATA_3_7,DATA_4_7,DATA_5_7,DATA_6_7,DATA_7_7,DATA_8_7,DATA_9_7,C,BATCH_REF_NO_7,REV,TXN0000000000000007,SAV_,S
D,CURR,008,END_POINT,TRN000000000008,REM_CUST_8,BEN_CUST_8,100000000008,100000000008,REM_DETAILS1_8,REM_DETAILS2_8,REM_DETAILS3_8,BENE_DETAILS1_8,BENE_DETAILS2_8,BENE_DETAILS3_8,008,BRL,18119.200,BRL,15077.500,3.990000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-08,2026-01-08,2026-01-08,2026-01-08,BANK_CODE,008,SECTOR_CO,ROUTING_NO_8,L,ERR_CODE_8,REJECT_REASON_8,O,A,MAKER_ID_8,2026-01-08,CHECKER_ID_8,2026-01-08,XREF_8,SCODE_8,SERIAL_NO_8,320794,TRN000000000008,10252,MO,BRL,290,DIN_8,2026-01-08,REMARKS_8,Y,C,S,DEPOSIT_PLACE_8,L,DOCUMENT_TYPE_8,8,B,OPERATI,LOT_CORELATIVE_N,100000000008,100000000008,7927.700,HOUS,DOC_TRACK_NUM_8,DATA_1_8,DATA_2_8,DATA_3_8,DATA_4_8,DATA_5_8,DATA_6_8,DATA_7_8,DATA_8_8,DATA_9_8,C,BATCH_REF_NO_8,PAY,TXN0000000000000008,SAV_,S
D,LOAN,009,END_POINT,TRN000000000009,REM_CUST_9,BEN_CUST_9,100000000009,100000000009,REM_DETAILS1_9,REM_DETAILS2_9,REM_DETAILS3_9,BENE_DETAILS1_9,BENE_DETAILS2_9,BENE_DETAILS3_9,009,USD,16029.300,USD,12468.900,3.020000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-09,2026-01-09,2026-01-09,2026-01-09,BANK_CODE,009,SECTOR_CO,ROUTING_NO_9,L,ERR_CODE_9,REJECT_REASON_9,O,A,MAKER_ID_9,2026-01-09,CHECKER_ID_9,2026-01-09,XREF_9,SCODE_9,SERIAL_NO_9,60099,TRN000000000009,861430,MO,USD,1185,DIN_9,2026-01-09,REMARKS_9,Y,C,S,DEPOSIT_PLACE_9,L,DOCUMENT_TYPE_9,33,B,OPERATI,LOT_CORELATIVE_N,100000000009,100000000009,2357.300,HOUS,DOC_TRACK_NUM_9,DATA_1_9,DATA_2_9,DATA_3_9,DATA_4_9,DATA_5_9,DATA_6_9,DATA_7_9,DATA_8_9,DATA_9_9,C,BATCH_REF_NO_9,ATM,TXN0000000000000009,SAV_,S
D,TD01,010,END_POINT,TRN000000000010,REM_CUST_10,BEN_CUST_10,100000000010,100000000010,REM_DETAILS1_10,REM_DETAILS2_10,REM_DETAILS3_10,BENE_DETAILS1_10,BENE_DETAILS2_10,BENE_DETAILS3_10,010,PEN,5990.400,PEN,11673.200,0.990000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-10,2026-01-10,2026-01-10,2026-01-10,BANK_CODE,010,SECTOR_CO,ROUTING_NO_10,L,ERR_CODE_10,REJECT_REASON_10,O,A,MAKER_ID_10,2026-01-10,CHECKER_ID_1,2026-01-10,XREF_10,SCODE_10,SERIAL_NO_10,160137,TRN000000000010,856430,MO,PEN,723,DIN_10,2026-01-10,REMARKS_10,Y,C,S,DEPOSIT_PLACE_10,L,DOCUMENT_TYPE_10,12,B,OPERATI,LOT_CORELATIVE_N,100000000010,100000000010,11862.900,HOUS,DOC_TRACK_NUM_1,DATA_1_10,DATA_2_10,DATA_3_10,DATA_4_10,DATA_5_10,DATA_6_10,DATA_7_10,DATA_8_10,DATA_9_10,C,BATCH_REF_NO_10,DEP,TXN0000000000000010,SAV_,S
