TRN_REF_NO,TRN_DT,TXN_BRANCH,PRODUCT_CODE,VALUE_DATE,AC_BRANCH,ACCOUNT_NO,TRN_CODE,LCY_AMOUNT,AMOUNT,DRCR_IND,MODULE,INSTRUMENT_NO,EXTENDED_CODE,RELATED_CUSTOMER,TXN_INIT_DATE,EXTRACTION_DATE,AC_ENTRY_SR_NO,EVENT,AMOUNT_TAG,OFS_ACC,OFS_BRANCH,EVENT_SR_NO,AC_CCY,GROUP_TXN_COUNT,HIDE_TXN_IN_STMT,AUTH_STAT,PERIOD_CODE,TXN_ID,EXT_OFSTXN_CODE,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,REAL_DT_TIME,SOURCE_CODE
TRN_DOC_MAR_0001,2026-03-01,001,SAV1,2026-03-01,001,9988776655,ATM,15000.000,15000.000,D,MOD,INSTRUMENT_NO_1,164789,CUST000001,2026-03-01 10:00:00,2026-03-01,92821,EVEN,AMOUNT_TAG_1,100000000001,001,451984,USD,35,N,A,PER,TXN_DOC_MAR_0001,EXT_OFSTXN_CODE,DATA_1_1,DATA_2_1,DATA_3_1,DATA_4_1,DATA_5_1,DATA_6_1,DATA_7_1,DATA_8_1,DATA_9_1,C,BATCH_REF_NO_1,ATM,2026-03-01 10:00:00,SOURCE_CODE_1
TRN_DOC_MAR_0002,2026-03-02,002,CURR,2026-03-02,002,9988776655,DEP,11875.000,11875.000,C,MOD,INSTRUMENT_NO_2,139698,CUST000002,2026-03-02 10:01:00,2026-03-02,67644,EVEN,AMOUNT_TAG_2,100000000002,002,742491,USD,15,N,A,PER,TXN_DOC_MAR_0002,EXT_OFSTXN_CODE,DATA_1_2,DATA_2_2,DATA_3_2,DATA_4_2,DATA_5_2,DATA_6_2,DATA_7_2,DATA_8_2,DATA_9_2,C,BATCH_REF_NO_2,DEP,2026-03-02 10:01:00,SOURCE_CODE_2
TRN_DOC_MAR_0003,2026-03-03,003,LOAN,2026-03-03,003,9988776655,WDR,15000.000,15000.000,D,MOD,INSTRUMENT_NO_3,554913,CUST000003,2026-03-03 10:02:00,2026-03-03,989206,EVEN,AMOUNT_TAG_3,100000000003,003,820555,USD,6,N,A,PER,TXN_DOC_MAR_0003,EXT_OFSTXN_CODE,DATA_1_3,DATA_2_3,DATA_3_3,DATA_4_3,DATA_5_3,DATA_6_3,DATA_7_3,DATA_8_3,DATA_9_3,C,BATCH_REF_NO_3,WDR,2026-03-03 10:02:00,SOURCE_CODE_3
TRN_DOC_MAR_0004,2026-03-04,004,TD01,2026-03-04,004,9988776655,TRF,11875.000,11875.000,C,MOD,INSTRUMENT_NO_4,766324,CUST000004,2026-03-04 10:03:00,2026-03-04,787871,EVEN,AMOUNT_TAG_4,100000000004,004,980548,USD,20,N,A,PER,TXN_DOC_MAR_0004,EXT_OFSTXN_CODE,DATA_1_4,DATA_2_4,DATA_3_4,DATA_4_4,DATA_5_4,DATA_6_4,DATA_7_4,DATA_8_4,DATA_9_4,C,BATCH_REF_NO_4,TRF,2026-03-04 10:03:00,SOURCE_CODE_4
TRN_DOC_MAR_0005,2026-03-05,005,CARD,2026-03-05,005,9988776655,FEE,15000.000,15000.000,D,MOD,INSTRUMENT_NO_5,858878,CUST000005,2026-03-05 10:04:00,2026-03-05,2797,EVEN,AMOUNT_TAG_5,100000000005,005,31027,USD,28,N,A,PER,TXN_DOC_MAR_0005,EXT_OFSTXN_CODE,DATA_1_5,DATA_2_5,DATA_3_5,DATA_4_5,DATA_5_5,DATA_6_5,DATA_7_5,DATA_8_5,DATA_9_5,C,BATCH_REF_NO_5,FEE,2026-03-05 10:04:00,SOURCE_CODE_5
TRN_DOC_MAR_0006,2026-03-06,006,CLRG,2026-03-06,006,9988776655,INT,11875.000,11875.000,C,MOD,INSTRUMENT_NO_6,54581,CUST000006,2026-03-06 10:05:00,2026-03-06,163455,EVEN,AMOUNT_TAG_6,100000000006,006,567947,USD,2,N,A,PER,TXN_DOC_MAR_0006,EXT_OFSTXN_CODE,DATA_1_6,DATA_2_6,DATA_3_6,DATA_4_6,DATA_5_6,DATA_6_6,DATA_7_6,DATA_8_6,DATA_9_6,C,BATCH_REF_NO_6,INT,2026-03-06 10:05:00,SOURCE_CODE_6
TRN_DOC_MAR_0007,2026-03-07,007,SAV1,2026-03-07,007,9988776655,REV,15000.000,15000.000,D,MOD,INSTRUMENT_NO_7,917836,CUST000007,2026-03-07 10:06:00,2026-03-07,656125,EVEN,AMOUNT_TAG_7,100000000007,007,58122,USD,35,N,A,PER,TXN_DOC_MAR_0007,EXT_OFSTXN_CODE,DATA_1_7,DATA_2_7,DATA_3_7,DATA_4_7,DATA_5_7,DATA_6_7,DATA_7_7,DATA_8_7,DATA_9_7,C,BATCH_REF_NO_7,REV,2026-03-07 10:06:00,SOURCE_CODE_7
TRN_DOC_MAR_0008,2026-03-08,008,CURR,2026-03-08,008,9988776655,PAY,11875.000,11875.000,C,MOD,INSTRUMENT_NO_8,275110,CUST000008,2026-03-08 10:07:00,2026-03-08,623,EVEN,AMOUNT_TAG_8,100000000008,008,333342,USD,17,N,A,PER,TXN_DOC_MAR_0008,EXT_OFSTXN_CODE,DATA_1_8,DATA_2_8,DATA_3_8,DATA_4_8,DATA_5_8,DATA_6_8,DATA_7_8,DATA_8_8,DATA_9_8,C,BATCH_REF_NO_8,PAY,2026-03-08 10:07:00,SOURCE_CODE_8
TRN_DOC_MAR_0009,2026-03-09,009,LOAN,2026-03-09,009,9988776655,ATM,15000.000,15000.000,D,MOD,INSTRUMENT_NO_9,152094,CUST000009,2026-03-09 10:08:00,2026-03-09,269912,EVEN,AMOUNT_TAG_9,100000000009,009,310650,USD,8,N,A,PER,TXN_DOC_MAR_0009,EXT_OFSTXN_CODE,DATA_1_9,DATA_2_9,DATA_3_9,DATA_4_9,DATA_5_9,DATA_6_9,DATA_7_9,DATA_8_9,DATA_9_9,C,BATCH_REF_NO_9,ATM,2026-03-09 10:08:00,SOURCE_CODE_9
TRN_DOC_MAR_0010,2026-03-10,010,TD01,2026-03-10,010,9988776655,DEP,11875.000,11875.000,C,MOD,INSTRUMENT_NO_10,43256,CUST000010,2026-03-10 10:09:00,2026-03-10,251126,EVEN,AMOUNT_TAG_10,100000000010,010,808437,USD,1,N,A,PER,TXN_DOC_MAR_0010,EXT_OFSTXN_CODE,DATA_1_10,DATA_2_10,DATA_3_10,DATA_4_10,DATA_5_10,DATA_6_10,DATA_7_10,DATA_8_10,DATA_9_10,C,BATCH_REF_NO_10,DEP,2026-03-10 10:09:00,SOURCE_CODE_10
