BRN,ACC,PROD,SC_MAP_DT,GC_MAP_DT,LAST_CALC_DT,LAST_LIQ_DT,NEXT_LIQ_DT,LAST_ACCR_DT,NEXT_ACCR_DT,LAST_SCHD_LIQ_DT,INC_MTH,NEXT_SCHD_LIQ_DT,FIRST_CALC_DT,NEXT_SCHD_ACCR_DT,PROD_TYPE,HAS_ACCR,NEXT_CALC_DT,PROD_ACCR,HAS_PROBLEMS,BKVAL_RECALC_FLAG,BKVAL_MINCALC_DATE,STOP_IC,FIRST_FIRST_CALC_DATE,NEXT_EVENT_DT,CCY,ACLASS,PROCESS,MIS_REFERENCE,DEPOSIT,IMAT_PROBLEMS,DEFER_LIQ_DT,TAX_PRODUCT,HAS_IADJ
001,112233,SAV1,2026-01-01,2026-01-01,2026-01-01,2026-04-30,2026-01-01,2026-01-01,2026-01-01,2026-01-01,I,2026-05-31,2026-01-01,2026-01-01,P,1,2026-05-31,1,Y,Y,2026-01-01,S,2026-01-01,2026-01-01,USD,ACLASS,88,MIS_REFERENCE_1,D,Y,2026-01-01,S,H
002,100000000002,PROD,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,I,2026-01-02,2026-01-02,2026-01-02,P,1,2026-01-02,1,H,N,2026-01-02,S,2026-01-02,2026-01-02,PEN,ACLASS,29,MIS_REFERENCE_2,D,I,2026-01-02,C,H
003,100000000003,PROD,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,I,2026-01-03,2026-01-03,2026-01-03,P,1,2026-01-03,1,H,N,2026-01-03,S,2026-01-03,2026-01-03,EUR,ACLASS,16,MIS_REFERENCE_3,D,I,2026-01-03,L,H
004,100000000004,PROD,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,I,2026-01-04,2026-01-04,2026-01-04,P,1,2026-01-04,1,H,N,2026-01-04,S,2026-01-04,2026-01-04,BRL,ACLASS,84,MIS_REFERENCE_4,D,I,2026-01-04,T,H
005,100000000005,PROD,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,I,2026-01-05,2026-01-05,2026-01-05,P,1,2026-01-05,1,H,N,2026-01-05,S,2026-01-05,2026-01-05,USD,ACLASS,72,MIS_REFERENCE_5,D,I,2026-01-05,C,H
006,100000000006,PROD,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,I,2026-01-06,2026-01-06,2026-01-06,P,1,2026-01-06,1,H,Y,2026-01-06,S,2026-01-06,2026-01-06,PEN,ACLASS,61,MIS_REFERENCE_6,D,I,2026-01-06,C,H
007,100000000007,PROD,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,I,2026-01-07,2026-01-07,2026-01-07,P,1,2026-01-07,1,H,N,2026-01-07,S,2026-01-07,2026-01-07,EUR,ACLASS,65,MIS_REFERENCE_7,D,I,2026-01-07,S,H
008,100000000008,PROD,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,I,2026-01-08,2026-01-08,2026-01-08,P,1,2026-01-08,1,H,N,2026-01-08,S,2026-01-08,2026-01-08,BRL,ACLASS,62,MIS_REFERENCE_8,D,I,2026-01-08,C,H
009,100000000009,PROD,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,I,2026-01-09,2026-01-09,2026-01-09,P,1,2026-01-09,1,H,N,2026-01-09,S,2026-01-09,2026-01-09,USD,ACLASS,29,MIS_REFERENCE_9,D,I,2026-01-09,L,H
010,100000000010,PROD,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,I,2026-01-10,2026-01-10,2026-01-10,P,1,2026-01-10,1,H,N,2026-01-10,S,2026-01-10,2026-01-10,PEN,ACLASS,19,MIS_REFERENCE_10,D,I,2026-01-10,T,H
011,100000000011,PROD,2026-01-11,2026-01-11,2026-01-11,2026-01-11,2026-01-11,2026-01-11,2026-01-11,2026-01-11,I,2026-01-11,2026-01-11,2026-01-11,P,1,2026-01-11,1,H,Y,2026-01-11,S,2026-01-11,2026-01-11,EUR,ACLASS,14,MIS_REFERENCE_11,D,I,2026-01-11,C,H
012,100000000012,PROD,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2026-01-12,I,2026-01-12,2026-01-12,2026-01-12,P,1,2026-01-12,1,H,N,2026-01-12,S,2026-01-12,2026-01-12,BRL,ACLASS,28,MIS_REFERENCE_12,D,I,2026-01-12,C,H
013,100000000013,PROD,2026-01-13,2026-01-13,2026-01-13,2026-01-13,2026-01-13,2026-01-13,2026-01-13,2026-01-13,I,2026-01-13,2026-01-13,2026-01-13,P,1,2026-01-13,1,H,N,2026-01-13,S,2026-01-13,2026-01-13,USD,ACLASS,99,MIS_REFERENCE_13,D,I,2026-01-13,S,H
