BRN,ACC,CALC_ACC,BOOK_ACC,HAS_IS,INT_START_DATE,LAST_IS_DATE,ACC_TYPE,BOOK_BRN,SHOW_BV_IS,BVT_DATE,CHARGE_ACC,BOOK_CCY,CHARGE_CCY,COMBVT_DATE,VERSION_NO,AUTO_ROLLOVER,CLOSE_ON_MATURITY,MOVE_INT_TO_UNCLAIMED,MOVE_PRIC_TO_UNCLAIMED,MATURITY_DATE,PRINC_LIQ_AC,ROLLOVER_TYPE,ROLLOVER_AMT,PRINC_LIQ_BRANCH,NEXT_MATURITY_DATE,HAS_DRCR_ADV,RD_FLAG,RD_AUTO_PMNT_TAKEDOWN,RD_MOVE_MAT_TO_UNCLAIMED,RD_MOVE_FUNDS_ON_OVD,RD_TAKEDOWN_DAYS,RD_TAKEDOWN_MONTHS,RD_TAKEDOWN_YEARS,RD_PAYMENT_ACC,RD_PAYMENT_BRN,RD_PAYMENT_CCY,RD_INSTALLMENT_AMT,RD_PAY_SCHDT,OVERRIDE_AMT_BLOCK,CHG_START_DATE,CHARGE_BRN,REDIRECT_LCY_ENTRIES,PRINC_LIQ_MODE,PRINC_LIQ_CCY
001,100000000001,100000000001,100000000001,H,2026-01-01,2026-01-01,1,BOO,S,2026-01-01,100000000001,USD,USD,2026-01-01,453311,A,C,M,M,2026-01-01,PRINC_LIQ_AC_1,R,112275,001,2026-01-01,D,Y,R,R,R,22,87411,98509,100000000001,RD_,USD,178601.600,2026-01-01,O,2026-01-01,CHA,R,PRI,USD
002,100000000002,100000000002,100000000002,H,2026-01-02,2026-01-02,1,BOO,S,2026-01-02,100000000002,PEN,PEN,2026-01-02,406811,A,C,M,M,2026-01-02,PRINC_LIQ_AC_2,R,24260,002,2026-01-02,C,N,R,R,R,15,90922,96328,100000000002,RD_,PEN,170.200,2026-01-02,O,2026-01-02,CHA,R,PRI,PEN
003,100000000003,100000000003,100000000003,H,2026-01-03,2026-01-03,1,BOO,S,2026-01-03,100000000003,EUR,EUR,2026-01-03,899703,A,C,M,M,2026-01-03,PRINC_LIQ_AC_3,R,21700,003,2026-01-03,D,N,R,R,R,20,3688,62032,100000000003,RD_,EUR,12313.700,2026-01-03,O,2026-01-03,CHA,R,PRI,EUR
004,100000000004,100000000004,100000000004,H,2026-01-04,2026-01-04,1,BOO,S,2026-01-04,100000000004,BRL,BRL,2026-01-04,654841,A,C,M,M,2026-01-04,PRINC_LIQ_AC_4,R,20109,004,2026-01-04,C,N,R,R,R,11,83858,95824,100000000004,RD_,BRL,4719.100,2026-01-04,O,2026-01-04,CHA,R,PRI,BRL
005,100000000005,100000000005,100000000005,H,2026-01-05,2026-01-05,1,BOO,S,2026-01-05,100000000005,USD,USD,2026-01-05,637705,A,C,M,M,2026-01-05,PRINC_LIQ_AC_5,R,16453,005,2026-01-05,D,N,R,R,R,8,48368,51799,100000000005,RD_,USD,12855.200,2026-01-05,O,2026-01-05,CHA,R,PRI,USD
006,100000000006,100000000006,100000000006,H,2026-01-06,2026-01-06,1,BOO,S,2026-01-06,100000000006,PEN,PEN,2026-01-06,465514,A,C,M,M,2026-01-06,PRINC_LIQ_AC_6,R,15125,006,2026-01-06,C,Y,R,R,R,1,42219,19272,100000000006,RD_,PEN,736.300,2026-01-06,O,2026-01-06,CHA,R,PRI,PEN
007,100000000007,100000000007,100000000007,H,2026-01-07,2026-01-07,1,BOO,S,2026-01-07,100000000007,EUR,EUR,2026-01-07,682793,A,C,M,M,2026-01-07,PRINC_LIQ_AC_7,R,22128,007,2026-01-07,D,N,R,R,R,30,68162,59739,100000000007,RD_,EUR,4807.300,2026-01-07,O,2026-01-07,CHA,R,PRI,EUR
008,100000000008,100000000008,100000000008,H,2026-01-08,2026-01-08,1,BOO,S,2026-01-08,100000000008,BRL,BRL,2026-01-08,238,A,C,M,M,2026-01-08,PRINC_LIQ_AC_8,R,3088,008,2026-01-08,C,N,R,R,R,13,76894,91883,100000000008,RD_,BRL,19651.900,2026-01-08,O,2026-01-08,CHA,R,PRI,BRL
009,100000000009,100000000009,100000000009,H,2026-01-09,2026-01-09,1,BOO,S,2026-01-09,100000000009,USD,USD,2026-01-09,586257,A,C,M,M,2026-01-09,PRINC_LIQ_AC_9,R,6418,009,2026-01-09,D,N,R,R,R,6,50001,56567,100000000009,RD_,USD,5440.000,2026-01-09,O,2026-01-09,CHA,R,PRI,USD
010,100000000010,100000000010,100000000010,H,2026-01-10,2026-01-10,1,BOO,S,2026-01-10,100000000010,PEN,PEN,2026-01-10,394157,A,C,M,M,2026-01-10,PRINC_LIQ_AC_10,R,11349,010,2026-01-10,C,N,R,R,R,4,38138,19343,100000000010,RD_,PEN,11903.700,2026-01-10,O,2026-01-10,CHA,R,PRI,PEN
