BRN,ACC,PROD,UDE_EFF_DT,UDE_ID,UDE_VALUE,RATE_CODE,AUTH_STAT,RECORD_STAT,VERSION_NO,WAIVE_NOTARY_CHARGE,VALIDATE_MCR
001,100000000001,PROD,2026-01-01,UDE_ID_1,198878.00000,RATE_CODE_,U,O,930,W,V
002,100000000002,PROD,2026-01-02,UDE_ID_2,957098.00000,RATE_CODE_,A,O,2473,W,V
003,100000000003,PROD,2026-01-03,UDE_ID_3,885059.00000,RATE_CODE_,A,O,4210,W,V
004,100000000004,PROD,2026-01-04,UDE_ID_4,29416.00000,RATE_CODE_,A,O,535,W,V
005,100000000005,PROD,2026-01-05,UDE_ID_5,541958.00000,RATE_CODE_,A,O,9172,W,V
006,100000000006,PROD,2026-01-06,UDE_ID_6,394954.00000,RATE_CODE_,A,O,6874,W,V
007,100000000007,PROD,2026-01-07,UDE_ID_7,604121.00000,RATE_CODE_,A,O,8346,W,V
008,100000000008,PROD,2026-01-08,UDE_ID_8,860951.00000,RATE_CODE_,A,O,7438,W,V
009,100000000009,PROD,2026-01-09,UDE_ID_9,929103.00000,RATE_CODE_,A,O,6770,W,V
010,100000000010,PROD,2026-01-10,UDE_ID_10,347841.00000,RATE_CODE_,A,O,3361,W,V
011,100000000011,PROD,2026-01-11,UDE_ID_11,847369.00000,RATE_CODE_,A,O,7512,W,V
012,100000000012,PROD,2026-01-12,UDE_ID_12,913833.00000,RATE_CODE_,A,O,9851,W,V
013,100000000013,PROD,2026-01-13,UDE_ID_13,995051.00000,RATE_CODE_,A,O,7349,W,V
014,100000000014,PROD,2026-01-14,UDE_ID_14,68612.00000,RATE_CODE_,A,O,5748,W,V
015,100000000015,PROD,2026-01-15,UDE_ID_15,855459.00000,RATE_CODE_,A,O,4412,W,V
016,100000000016,PROD,2026-01-16,UDE_ID_16,163966.00000,RATE_CODE_,A,O,7103,W,V
017,100000000017,PROD,2026-01-17,UDE_ID_17,908655.00000,RATE_CODE_,A,O,7280,W,V
018,100000000018,PROD,2026-01-18,UDE_ID_18,531593.00000,RATE_CODE_,A,O,9409,W,V
019,100000000019,PROD,2026-01-19,UDE_ID_19,124199.00000,RATE_CODE_,A,O,608,W,V
020,100000000020,PROD,2026-01-20,UDE_ID_20,148824.00000,RATE_CODE_,A,O,4983,W,V
021,100000000021,PROD,2026-01-21,UDE_ID_21,738855.00000,RATE_CODE_,A,O,6939,W,V
022,100000000022,PROD,2026-01-22,UDE_ID_22,283122.00000,RATE_CODE_,A,O,3463,W,V
023,100000000023,PROD,2026-01-23,UDE_ID_23,496911.00000,RATE_CODE_,A,O,7675,W,V
024,100000000024,PROD,2026-01-24,UDE_ID_24,42192.00000,RATE_CODE_,U,O,9309,W,V
025,100000000025,PROD,2026-01-25,UDE_ID_25,272204.00000,RATE_CODE_,A,O,4493,W,V
001,100000000026,PROD,2026-01-26,UDE_ID_26,570216.00000,RATE_CODE_,A,O,6565,W,V
002,100000000027,PROD,2026-01-27,UDE_ID_27,243185.00000,RATE_CODE_,A,O,6703,W,V
003,100000000028,PROD,2026-01-28,UDE_ID_28,868055.00000,RATE_CODE_,A,O,2490,W,V
004,100000000029,PROD,2026-01-29,UDE_ID_29,267172.00000,RATE_CODE_,A,O,5586,W,V
005,100000000030,PROD,2026-01-30,UDE_ID_30,183889.00000,RATE_CODE_,A,O,2992,W,V
006,100000000031,PROD,2026-01-31,UDE_ID_31,591300.00000,RATE_CODE_,A,O,1636,W,V
007,100000000032,PROD,2026-02-01,UDE_ID_32,567745.00000,RATE_CODE_,A,O,1404,W,V
008,100000000033,PROD,2026-02-02,UDE_ID_33,958557.00000,RATE_CODE_,A,O,2990,W,V
009,100000000034,PROD,2026-02-03,UDE_ID_34,789127.00000,RATE_CODE_,A,O,3656,W,V
010,100000000035,PROD,2026-02-04,UDE_ID_35,468891.00000,RATE_CODE_,A,O,3748,W,V
011,100000000036,PROD,2026-02-05,UDE_ID_36,260783.00000,RATE_CODE_,A,O,7091,W,V
012,100000000037,PROD,2026-02-06,UDE_ID_37,433393.00000,RATE_CODE_,A,O,6090,W,V
013,100000000038,PROD,2026-02-07,UDE_ID_38,57000.00000,RATE_CODE_,A,O,2108,W,V
014,100000000039,PROD,2026-02-08,UDE_ID_39,193088.00000,RATE_CODE_,A,O,498,W,V
015,100000000040,PROD,2026-02-09,UDE_ID_40,179555.00000,RATE_CODE_,A,O,9703,W,V
016,100000000041,PROD,2026-02-10,UDE_ID_41,620759.00000,RATE_CODE_,A,O,9728,W,V
017,100000000042,PROD,2026-02-11,UDE_ID_42,282923.00000,RATE_CODE_,A,O,3584,W,V
018,100000000043,PROD,2026-02-12,UDE_ID_43,267271.00000,RATE_CODE_,A,O,2611,W,V
019,100000000044,PROD,2026-02-13,UDE_ID_44,398737.00000,RATE_CODE_,A,O,1471,W,V
020,100000000045,PROD,2026-02-14,UDE_ID_45,913694.00000,RATE_CODE_,A,O,3332,W,V
021,100000000046,PROD,2026-02-15,UDE_ID_46,980714.00000,RATE_CODE_,A,O,685,W,V
022,100000000047,PROD,2026-02-16,UDE_ID_47,778498.00000,RATE_CODE_,U,O,534,W,V
023,100000000048,PROD,2026-02-17,UDE_ID_48,644604.00000,RATE_CODE_,A,O,2114,W,V
024,100000000049,PROD,2026-02-18,UDE_ID_49,416317.00000,RATE_CODE_,A,O,8895,W,V
025,100000000050,PROD,2026-02-19,UDE_ID_50,444074.00000,RATE_CODE_,A,O,763,W,V
001,100000000051,PROD,2026-02-20,UDE_ID_51,937059.00000,RATE_CODE_,A,O,9397,W,V
002,100000000052,PROD,2026-02-21,UDE_ID_52,221405.00000,RATE_CODE_,A,O,9737,W,V
003,100000000053,PROD,2026-02-22,UDE_ID_53,505513.00000,RATE_CODE_,A,O,825,W,V
004,100000000054,PROD,2026-02-23,UDE_ID_54,275020.00000,RATE_CODE_,A,O,4778,W,V
005,100000000055,PROD,2026-02-24,UDE_ID_55,959924.00000,RATE_CODE_,A,O,7562,W,V
006,100000000056,PROD,2026-02-25,UDE_ID_56,47082.00000,RATE_CODE_,A,O,2659,W,V
007,100000000057,PROD,2026-02-26,UDE_ID_57,574363.00000,RATE_CODE_,A,O,6461,W,V
008,100000000058,PROD,2026-02-27,UDE_ID_58,528580.00000,RATE_CODE_,A,O,7667,W,V
009,100000000059,PROD,2026-02-28,UDE_ID_59,763947.00000,RATE_CODE_,A,O,1472,W,V
010,100000000060,PROD,2026-03-01,UDE_ID_60,295351.00000,RATE_CODE_,A,O,2471,W,V
011,100000000061,PROD,2026-03-02,UDE_ID_61,442289.00000,RATE_CODE_,A,O,4720,W,V
012,100000000062,PROD,2026-03-03,UDE_ID_62,775670.00000,RATE_CODE_,A,O,6971,W,V
013,100000000063,PROD,2026-03-04,UDE_ID_63,807966.00000,RATE_CODE_,A,O,1022,W,V
014,100000000064,PROD,2026-03-05,UDE_ID_64,70161.00000,RATE_CODE_,A,O,3258,W,V
015,100000000065,PROD,2026-03-06,UDE_ID_65,349903.00000,RATE_CODE_,A,O,4576,W,V
016,100000000066,PROD,2026-03-07,UDE_ID_66,317626.00000,RATE_CODE_,A,O,8626,W,V
017,100000000067,PROD,2026-03-08,UDE_ID_67,568892.00000,RATE_CODE_,A,O,1074,W,V
018,100000000068,PROD,2026-03-09,UDE_ID_68,960373.00000,RATE_CODE_,A,O,400,W,V
019,100000000069,PROD,2026-03-10,UDE_ID_69,212956.00000,RATE_CODE_,A,O,3242,W,V
020,100000000070,PROD,2026-03-11,UDE_ID_70,195844.00000,RATE_CODE_,U,O,7937,W,V
021,100000000071,PROD,2026-03-12,UDE_ID_71,139148.00000,RATE_CODE_,A,O,7130,W,V
022,100000000072,PROD,2026-03-13,UDE_ID_72,927587.00000,RATE_CODE_,A,O,1922,W,V
023,100000000073,PROD,2026-03-14,UDE_ID_73,378802.00000,RATE_CODE_,A,O,7607,W,V
024,100000000074,PROD,2026-03-15,UDE_ID_74,975032.00000,RATE_CODE_,A,O,3236,W,V
025,100000000075,PROD,2026-03-16,UDE_ID_75,943592.00000,RATE_CODE_,A,O,5440,W,V
001,100000000076,PROD,2026-03-17,UDE_ID_76,908179.00000,RATE_CODE_,A,O,269,W,V
002,100000000077,PROD,2026-03-18,UDE_ID_77,814588.00000,RATE_CODE_,A,O,2512,W,V
003,100000000078,PROD,2026-03-19,UDE_ID_78,790731.00000,RATE_CODE_,A,O,649,W,V
004,100000000079,PROD,2026-03-20,UDE_ID_79,888528.00000,RATE_CODE_,A,O,213,W,V
005,100000000080,PROD,2026-03-21,UDE_ID_80,854084.00000,RATE_CODE_,A,O,8784,W,V
006,100000000081,PROD,2026-03-22,UDE_ID_81,387156.00000,RATE_CODE_,A,O,7135,W,V
007,100000000082,PROD,2026-03-23,UDE_ID_82,135774.00000,RATE_CODE_,A,O,8748,W,V
008,100000000083,PROD,2026-03-24,UDE_ID_83,672401.00000,RATE_CODE_,A,O,5559,W,V
009,100000000084,PROD,2026-03-25,UDE_ID_84,400333.00000,RATE_CODE_,A,O,4535,W,V
010,100000000085,PROD,2026-03-26,UDE_ID_85,427259.00000,RATE_CODE_,A,O,8923,W,V
011,100000000086,PROD,2026-03-27,UDE_ID_86,382317.00000,RATE_CODE_,A,O,189,W,V
012,100000000087,PROD,2026-03-28,UDE_ID_87,497500.00000,RATE_CODE_,A,O,3738,W,V
013,100000000088,PROD,2026-03-29,UDE_ID_88,224236.00000,RATE_CODE_,A,O,6027,W,V
014,100000000089,PROD,2026-03-30,UDE_ID_89,139030.00000,RATE_CODE_,A,O,4167,W,V
015,100000000090,PROD,2026-03-31,UDE_ID_90,920782.00000,RATE_CODE_,A,O,5380,W,V
016,100000000091,PROD,2026-04-01,UDE_ID_91,552772.00000,RATE_CODE_,A,O,1966,W,V
017,100000000092,PROD,2026-04-02,UDE_ID_92,377147.00000,RATE_CODE_,A,O,9278,W,V
018,100000000093,PROD,2026-04-03,UDE_ID_93,917461.00000,RATE_CODE_,U,O,2640,W,V
019,100000000094,PROD,2026-04-04,UDE_ID_94,577407.00000,RATE_CODE_,A,O,5546,W,V
020,100000000095,PROD,2026-04-05,UDE_ID_95,781470.00000,RATE_CODE_,A,O,4111,W,V
021,100000000096,PROD,2026-04-06,UDE_ID_96,403674.00000,RATE_CODE_,A,O,4344,W,V
022,100000000097,PROD,2026-04-07,UDE_ID_97,793113.00000,RATE_CODE_,A,O,3443,W,V
023,100000000098,PROD,2026-04-08,UDE_ID_98,939609.00000,RATE_CODE_,A,O,7862,W,V
024,100000000099,PROD,2026-04-09,UDE_ID_99,754592.00000,RATE_CODE_,A,O,957,W,V
025,100000000100,PROD,2026-04-10,UDE_ID_100,257756.00000,RATE_CODE_,A,O,1168,W,V
001,100000000101,PROD,2026-04-11,UDE_ID_101,241564.00000,RATE_CODE_,A,O,554,W,V
