TXN_ID,TXN_MODE,MSG_SEQ_NO,TRANS_DATE,PROCESSED_DATE,SOUCE_CODE,MSG_TYPE_CODE,SCR_FI_NO,SCR_TERM_NO,SCR_SEQ_NO,TRANS_CODE,TRANS_SIGN,SCR_TERM_TYPE,SCR_BUSN_DATE,SCR_ABA_NO,SCR_BRANCH_NO,SCR_RCPT_NO,SCR_PASS_THRU,HOST_2_REG_DATA,FORCE_IND,REVERSAL_IND,TRANS_AC_NO,FC_AC_BRANCH,FC_AC_NO,TRANS_AMOUNT,TRANS_AMOUNT_SIGN,TRANS_CCY,FIN_INST_NO,HOST_BUSN_DATE,STND_AUTH_TYPE,STND_AUTH_MTHD,STND_RESULT_CODE,TRACK_DATA,CARD_APP_CD,CARD_NO,MSG_CODE,OTH_FI_NO,OTH_APP_CD,INTERNAL_IND,PAY_CD,PAY_ACC,COMPL_DATA,TRN_REF_NO,TRANS_STATUS,TRANS_MATCH_STATUS,REV_TXN_ID,REC_TYPE,AC_AVL_BAL,AC_AVL_BAL_SIGN,AC_CURR_BAL,AC_CURR_BAL_SIGN,ERR_CODE,ERR_PARAM,EXTENDED_CODE,TRN_DAY,JOB_NO,DD_LAST_UPD,DD_CREATION_DT,DD_ID
ATM_TEST_0001,T,258611,2026-05-07,2026-05-07,SOUCE_CODE_1,MS,SCR_FI_NO_1,SAOPAULO,393896,WDR,T,SC,2026-05-07,SCR_ABA_NO_,004,SCR_RCPT_N,SCR_PASS_THRU_1,HOST_2_REG_DATA_1,Y,Y,4455667788,001,FC_AC_NO_1,700.000,T,BRL,FIN_INST_NO,2026-05-07,S,S,STND,TRACK_DATA_1,CA,5432XXXXXXXX1234,9596,OTH_FI_NO_1,OT,1,PAY_,4455667788,COMPL_DATA_1,ATMTRN000001,F,F,REV_TXN_ID_1,REC_TYPE_1,187519.200,71,154152.000,48,ERR_CODE_1,ERR_PARAM_1,EXTEN,8,1,2026-01-01 00:00:00,2026-01-01 00:00:00,1
ATM_TEST_0002,T,179384,2026-05-07,2026-05-07,SOUCE_CODE_2,MS,SCR_FI_NO_2,SAOPAULO,169944,WDR,T,SC,2026-05-07,SCR_ABA_NO_,004,SCR_RCPT_N,SCR_PASS_THRU_2,HOST_2_REG_DATA_2,N,N,4455667788,002,FC_AC_NO_2,700.000,T,BRL,FIN_INST_NO,2026-05-07,S,S,STND,TRACK_DATA_2,CA,5432XXXXXXXX1234,4709,OTH_FI_NO_2,OT,4,PAY_,4455667788,COMPL_DATA_2,ATMTRN000002,F,F,REV_TXN_ID_2,REC_TYPE_2,14574.900,85,12619.600,95,ERR_CODE_2,ERR_PARAM_2,EXTEN,5,2,2026-01-02 01:07:00,2026-01-02 01:07:00,2
ATM_TEST_0003,T,775760,2026-05-07,2026-05-07,SOUCE_CODE_3,MS,SCR_FI_NO_3,SAOPAULO,335076,WDR,T,SC,2026-05-07,SCR_ABA_NO_,004,SCR_RCPT_N,SCR_PASS_THRU_3,HOST_2_REG_DATA_3,N,N,4455667788,003,FC_AC_NO_3,700.000,T,BRL,FIN_INST_NO,2026-05-07,S,S,STND,TRACK_DATA_3,CA,5432XXXXXXXX1234,7001,OTH_FI_NO_3,OT,8,PAY_,4455667788,COMPL_DATA_3,ATMTRN000003,A,A,REV_TXN_ID_3,REC_TYPE_3,5428.100,71,16606.200,61,ERR_CODE_3,ERR_PARAM_3,EXTEN,9,3,2026-01-03 02:14:00,2026-01-03 02:14:00,3
ATM_TEST_0004,T,183044,2026-05-07,2026-05-07,SOUCE_CODE_4,MS,SCR_FI_NO_4,SAOPAULO,159756,WDR,T,SC,2026-05-07,SCR_ABA_NO_,004,SCR_RCPT_N,SCR_PASS_THRU_4,HOST_2_REG_DATA_4,N,N,4455667788,004,FC_AC_NO_4,700.000,T,BRL,FIN_INST_NO,2026-05-07,S,S,STND,TRACK_DATA_4,CA,5432XXXXXXXX1234,4395,OTH_FI_NO_4,OT,6,PAY_,4455667788,COMPL_DATA_4,ATMTRN000004,A,A,REV_TXN_ID_4,REC_TYPE_4,5386.700,42,8864.200,40,ERR_CODE_4,ERR_PARAM_4,EXTEN,1,4,2026-01-04 03:21:00,2026-01-04 03:21:00,4
ATM_TEST_0005,T,904415,2026-05-07,2026-05-07,SOUCE_CODE_5,MS,SCR_FI_NO_5,SAOPAULO,163795,WDR,T,SC,2026-05-07,SCR_ABA_NO_,004,SCR_RCPT_N,SCR_PASS_THRU_5,HOST_2_REG_DATA_5,N,N,4455667788,005,FC_AC_NO_5,700.000,T,BRL,FIN_INST_NO,2026-05-07,S,S,STND,TRACK_DATA_5,CA,5432XXXXXXXX1234,3240,OTH_FI_NO_5,OT,5,PAY_,4455667788,COMPL_DATA_5,ATMTRN000005,A,A,REV_TXN_ID_5,REC_TYPE_5,13812.800,77,19524.300,61,ERR_CODE_5,ERR_PARAM_5,EXTEN,3,5,2026-01-05 04:28:00,2026-01-05 04:28:00,5
ATM_TEST_0006,T,705400,2026-05-07,2026-05-07,SOUCE_CODE_6,MS,SCR_FI_NO_6,SAOPAULO,511975,WDR,T,SC,2026-05-07,SCR_ABA_NO_,004,SCR_RCPT_N,SCR_PASS_THRU_6,HOST_2_REG_DATA_6,Y,N,4455667788,006,FC_AC_NO_6,700.000,T,BRL,FIN_INST_NO,2026-05-07,S,S,STND,TRACK_DATA_6,CA,5432XXXXXXXX1234,3990,OTH_FI_NO_6,OT,4,PAY_,4455667788,COMPL_DATA_6,ATMTRN000006,A,A,REV_TXN_ID_6,REC_TYPE_6,16823.800,19,17452.900,66,ERR_CODE_6,ERR_PARAM_6,EXTEN,9,6,2026-01-06 05:35:00,2026-01-06 05:35:00,6
ATM_TEST_0007,T,577079,2026-05-07,2026-05-07,SOUCE_CODE_7,MS,SCR_FI_NO_7,SAOPAULO,960589,WDR,T,SC,2026-05-07,SCR_ABA_NO_,004,SCR_RCPT_N,SCR_PASS_THRU_7,HOST_2_REG_DATA_7,N,N,4455667788,007,FC_AC_NO_7,700.000,T,BRL,FIN_INST_NO,2026-05-07,S,S,STND,TRACK_DATA_7,CA,5432XXXXXXXX1234,6901,OTH_FI_NO_7,OT,9,PAY_,4455667788,COMPL_DATA_7,ATMTRN000007,A,A,REV_TXN_ID_7,REC_TYPE_7,16508.800,25,24679.500,13,ERR_CODE_7,ERR_PARAM_7,EXTEN,2,7,2026-01-07 06:42:00,2026-01-07 06:42:00,7
TXN0000000000000008,T,476846,2026-01-08,2026-01-08,SOUCE_CODE_8,MS,SCR_FI_NO_8,SCR_TERM,579262,TRANS_,T,SC,2026-01-08,SCR_ABA_NO_,008,SCR_RCPT_N,SCR_PASS_THRU_8,HOST_2_REG_DATA_8,N,N,TRANS_AC_NO_8,008,FC_AC_NO_8,17530.500,T,BRL,FIN_INST_NO,2026-01-08,S,S,STND,TRACK_DATA_8,CA,CARD_NO_8,5503,OTH_FI_NO_8,OT,8,PAY_,100000000008,COMPL_DATA_8,TRN000000000008,A,A,REV_TXN_ID_8,REC_TYPE_8,3430.000,6,6757.800,96,ERR_CODE_8,ERR_PARAM_8,EXTEN,6,8,2026-01-08 07:49:00,2026-01-08 07:49:00,8
TXN0000000000000009,T,760262,2026-01-09,2026-01-09,SOUCE_CODE_9,MS,SCR_FI_NO_9,SCR_TERM,673789,TRANS_,T,SC,2026-01-09,SCR_ABA_NO_,009,SCR_RCPT_N,SCR_PASS_THRU_9,HOST_2_REG_DATA_9,N,N,TRANS_AC_NO_9,009,FC_AC_NO_9,2296.000,T,USD,FIN_INST_NO,2026-01-09,S,S,STND,TRACK_DATA_9,CA,CARD_NO_9,9708,OTH_FI_NO_9,OT,9,PAY_,100000000009,COMPL_DATA_9,TRN000000000009,A,A,REV_TXN_ID_9,REC_TYPE_9,19710.100,20,8852.500,76,ERR_CODE_9,ERR_PARAM_9,EXTEN,7,9,2026-01-09 08:56:00,2026-01-09 08:56:00,9
TXN0000000000000010,T,337846,2026-01-10,2026-01-10,SOUCE_CODE_10,MS,SCR_FI_NO_1,SCR_TERM,241944,TRANS_,T,SC,2026-01-10,SCR_ABA_NO_,010,SCR_RCPT_N,SCR_PASS_THRU_10,HOST_2_REG_DATA_10,N,N,TRANS_AC_NO_10,010,FC_AC_NO_10,12845.200,T,PEN,FIN_INST_NO,2026-01-10,S,S,STND,TRACK_DATA_10,CA,CARD_NO_10,341,OTH_FI_NO_1,OT,3,PAY_,100000000010,COMPL_DATA_10,TRN000000000010,A,A,REV_TXN_ID_10,REC_TYPE_10,20143.700,77,6905.400,74,ERR_CODE_10,ERR_PARAM_10,EXTEN,6,10,2026-01-10 09:03:00,2026-01-10 09:03:00,10
