CONTRACT_REF_NO,EVENT_SEQ_NO,ROLE_CODE,SEQ_NO,PAYMENT_MODE,SETTLEMENT_CCY,SETTLEMENT_FCY_AMT,SETTLEMENT_LCY_AMT,SETTLEMENT_ACC_BRN,SETTLEMENT_ACCOUNT,EX_RATE,INSTRUMENT_NO,CLEARING_BANK,CLEARING_BRANCH,ROUTING_NO,END_POINT,PC_CATEGORY,EXTERNAL_ACCOUNT,EXTERNAL_ACC_NAME,CARD_NO,PAYMENT_REF_NO,FLAG_ALLOCATION,VALUE_DATE_BANK,VALUE_DATE_CUST,SECTOR_CODE,PAYMENT_REMARKS,PAY_RECEIVE,MODE_TXN_REF_NO,SOURCE_CODE,EDIT_ALLOWED,LOAN_ACCOUNT_NO,MODE_TXN_STAT,MAT_TD_ACC,TD_AC_CLASS
CONTRACT_REF_NO_,829894,ROLE_CODE_1,137567,PAY,USD,25827.200,178806.400,100,100000000001,2.23000000,INSTRUMENT_NO_1,CLEA,001,ROUTING_NO_1,END_POINT,PC_C,100000000001,100000000001,809726,PAYMENT_REF_NO_1,F,2026-01-01,2026-01-01,SECTOR_CO,PAYMENT_REMARKS_1,P,MODE_TXN_REF_NO_1,SOURCE_CODE_1,E,100000000001,M,100000000001,TD_AC_
CONTRACT_REF_NO_,728174,ROLE_CODE_2,713049,PAY,PEN,5894.500,21822.800,100,100000000002,3.59000000,INSTRUMENT_NO_2,CLEA,002,ROUTING_NO_2,END_POINT,PC_C,100000000002,100000000002,36721,PAYMENT_REF_NO_2,F,2026-01-02,2026-01-02,SECTOR_CO,PAYMENT_REMARKS_2,P,MODE_TXN_REF_NO_2,SOURCE_CODE_2,E,100000000002,M,100000000002,TD_AC_
CONTRACT_REF_NO_,690581,ROLE_CODE_3,479629,PAY,EUR,5516.300,14851.100,100,100000000003,3.65000000,INSTRUMENT_NO_3,CLEA,003,ROUTING_NO_3,END_POINT,PC_C,100000000003,100000000003,528427,PAYMENT_REF_NO_3,F,2026-01-03,2026-01-03,SECTOR_CO,PAYMENT_REMARKS_3,P,MODE_TXN_REF_NO_3,SOURCE_CODE_3,E,100000000003,M,100000000003,TD_AC_
CONTRACT_REF_NO_,369386,ROLE_CODE_4,954342,PAY,BRL,23641.500,24557.900,100,100000000004,2.67000000,INSTRUMENT_NO_4,CLEA,004,ROUTING_NO_4,END_POINT,PC_C,100000000004,100000000004,815997,PAYMENT_REF_NO_4,F,2026-01-04,2026-01-04,SECTOR_CO,PAYMENT_REMARKS_4,P,MODE_TXN_REF_NO_4,SOURCE_CODE_4,E,100000000004,M,100000000004,TD_AC_
CONTRACT_REF_NO_,716161,ROLE_CODE_5,532760,PAY,USD,3008.900,21639.800,100,100000000005,1.90000000,INSTRUMENT_NO_5,CLEA,005,ROUTING_NO_5,END_POINT,PC_C,100000000005,100000000005,613037,PAYMENT_REF_NO_5,F,2026-01-05,2026-01-05,SECTOR_CO,PAYMENT_REMARKS_5,P,MODE_TXN_REF_NO_5,SOURCE_CODE_5,E,100000000005,M,100000000005,TD_AC_
CONTRACT_REF_NO_,446246,ROLE_CODE_6,598438,PAY,PEN,8997.300,7925.200,100,100000000006,1.42000000,INSTRUMENT_NO_6,CLEA,006,ROUTING_NO_6,END_POINT,PC_C,100000000006,100000000006,63422,PAYMENT_REF_NO_6,F,2026-01-06,2026-01-06,SECTOR_CO,PAYMENT_REMARKS_6,P,MODE_TXN_REF_NO_6,SOURCE_CODE_6,E,100000000006,M,100000000006,TD_AC_
CONTRACT_REF_NO_,164976,ROLE_CODE_7,107837,PAY,EUR,20473.200,8605.500,100,100000000007,4.41000000,INSTRUMENT_NO_7,CLEA,007,ROUTING_NO_7,END_POINT,PC_C,100000000007,100000000007,902085,PAYMENT_REF_NO_7,F,2026-01-07,2026-01-07,SECTOR_CO,PAYMENT_REMARKS_7,P,MODE_TXN_REF_NO_7,SOURCE_CODE_7,E,100000000007,M,100000000007,TD_AC_
CONTRACT_REF_NO_,342877,ROLE_CODE_8,762320,PAY,BRL,5144.800,8792.100,100,100000000008,3.85000000,INSTRUMENT_NO_8,CLEA,008,ROUTING_NO_8,END_POINT,PC_C,100000000008,100000000008,810821,PAYMENT_REF_NO_8,F,2026-01-08,2026-01-08,SECTOR_CO,PAYMENT_REMARKS_8,P,MODE_TXN_REF_NO_8,SOURCE_CODE_8,E,100000000008,M,100000000008,TD_AC_
CONTRACT_REF_NO_,342095,ROLE_CODE_9,286539,PAY,USD,14726.200,16074.500,100,100000000009,1.58000000,INSTRUMENT_NO_9,CLEA,009,ROUTING_NO_9,END_POINT,PC_C,100000000009,100000000009,131377,PAYMENT_REF_NO_9,F,2026-01-09,2026-01-09,SECTOR_CO,PAYMENT_REMARKS_9,P,MODE_TXN_REF_NO_9,SOURCE_CODE_9,E,100000000009,M,100000000009,TD_AC_
CONTRACT_REF_NO_,731530,ROLE_CODE_10,813723,PAY,PEN,11422.000,2247.800,100,100000000010,2.57000000,INSTRUMENT_NO_10,CLEA,010,ROUTING_NO_10,END_POINT,PC_C,100000000010,100000000010,435805,PAYMENT_REF_NO_1,F,2026-01-10,2026-01-10,SECTOR_CO,PAYMENT_REMARKS_10,P,MODE_TXN_REF_NO_10,SOURCE_CODE_10,E,100000000010,M,100000000010,TD_AC_
