ACCOUNT_NUMBER,BRANCH_CODE,APPLICATION_NUM,CUSTOMER_ID,PRODUCT_CODE,PRODUCT_CATEGORY,BOOK_DATE,VALUE_DATE,MATURITY_DATE,AMOUNT_FINANCED,DOWNPAYMENT_AMOUNT,CURRENCY,ORIGINAL_ST_DATE,PRIMARY_APPLICANT_ID,PRIMARY_APPLICANT_NAME,USER_DEFINED_STATUS,CALC_REQD,BACK_VAL_EFF_DT,AUTO_MAN_ROLLOVER,SCHEDULE_BASIS,UDE_ROLLOVER_BASIS,ROLLOVER_TYPE,SPECIAL_AMOUNT,RATE_CODE_PREF,PASSBOOK_FACILITY,ATM_FACILITY,ALLOW_BACK_PERIOD_ENTRY,INT_STMT,TRACK_RECEIVABLE_ALIQ,TRACK_RECEIVABLE_MLIQ,LIQUIDATION_MODE,AMEND_PAST_PAID_SCHEDULE,CHEQUE_BOOK_FACILITY,LIQ_BACK_VALUED_SCHEDULES,LIQ_COMP_DATES_FLAG,RETRIES_AUTO_LIQ,RESIDUAL_AMOUNT,ACCOUNT_STATUS,AUTH_STAT,VERSION_NO,LATEST_ESN,NEXT_ACCR_DATE,HAS_PROBLEMS,PROCESS_NO,AMOUNT_DISBURSED,STOP_ACCRUALS,FUNDED_STATUS,AMORTIZED,RECALC_ACTION_CODE,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,ARVN_APPLIED,ALT_ACC_NO,PARTIAL_LIQUIDATION,ALIQ_REVERSED_PMT,NO_OF_INSTALLMENTS,FREQUENCY,FREQUENCY_UNIT,FIRST_INS_DATE,LINKED_REFERENCE,LINKAGE_TYPE,FIELD_CHAR_1,FIELD_CHAR_2,FIELD_CHAR_3,FIELD_CHAR_4,FIELD_CHAR_5,FIELD_CHAR_6,FIELD_CHAR_7,FIELD_CHAR_8,FIELD_CHAR_9,FIELD_CHAR_10,FIELD_CHAR_11,FIELD_CHAR_12,FIELD_CHAR_13,FIELD_CHAR_14,FIELD_CHAR_15,FIELD_CHAR_16,FIELD_CHAR_17,FIELD_CHAR_18,FIELD_CHAR_19,FIELD_CHAR_20,FIELD_NUMBER_1,FIELD_NUMBER_2,FIELD_NUMBER_3,FIELD_NUMBER_4,FIELD_NUMBER_5,FIELD_NUMBER_6,FIELD_NUMBER_7,FIELD_NUMBER_8,FIELD_NUMBER_9,FIELD_NUMBER_10,FIELD_NUMBER_11,FIELD_NUMBER_12,FIELD_NUMBER_13,FIELD_NUMBER_14,FIELD_NUMBER_15,FIELD_NUMBER_16,FIELD_NUMBER_17,FIELD_NUMBER_18,FIELD_NUMBER_19,FIELD_NUMBER_20,FIELD_DATE_1,FIELD_DATE_2,FIELD_DATE_3,FIELD_DATE_4,FIELD_DATE_5,FIELD_DATE_6,FIELD_DATE_7,FIELD_DATE_8,FIELD_DATE_9,FIELD_DATE_10,ROLL_BY,MATURITY_TYPE,NET_PRINCIPAL,INDEX_XRATE,MIGRATION_DATE,DR_PAYMENT_MODE,CR_PAYMENT_MODE,DR_PROD_AC,CR_PROD_AC,DR_ACC_BRN,CR_ACC_BRN,EXT_ACC_NO_CR,EXT_ACC_NAME_CR,CLG_BANK_CODE_CR,CLG_BRN_CODE_CR,PC_CAT_CR,EXT_ACC_NO_DR,EXT_ACC_NAME_DR,CLG_BANK_CODE_DR,CLG_BRN_CODE_DR,PC_CAT_DR,CARD_NO,INSTRUMENT_NO_CR,ROUTING_NO_CR,END_POINT_CR,CLG_PROD_CODE_CR,SECTOR_CODE_CR,INSTRUMENT_NO_DR,ROUTING_NO_DR,END_POINT_DR,CLG_PROD_CODE_DR,SECTOR_CODE_DR,UPLOAD_SOURCE_DR,UPLOAD_SOURCE_CR,EMI_AMOUNT,CUTOFF_TRANSACTION,DELINQUENCY_STATUS,EXECUTION_DATE,USGT_STATUS,LAST_INTRADAY_ACCR_DT,DUE_DATES_ON,DETERIORATION_DATE,CURR_ACBAL_CHK,PARENT_LOAN,ALTERNATE_CCY
100000000001,001,APPLICATION_NUM_,CUST000001,SAV1,SAV1,2026-01-01,2026-01-01,2026-01-01,154484.800,175453.600,USD,2026-01-01,PRIMARY_APPLICANT_ID_1,Primary Applicant Name 1,USER,C,2026-01-01,A,S,U,R,13367.200,R,P,A,A,I,T,T,L,A,C,L,Y,2640,191088.800,1,U,9411,8443,2026-01-01,H,20,122431.200,1,620725,A,R,MAKER_ID_1,2026-01-01,CHECKER_ID_1,2026-01-01,A,100000000001,P,Y,25,121435,F,2026-01-01,LINKED_REFERENCE_1,LINKAGE_TYPE_1,FIELD_CHAR_1_1,FIELD_CHAR_2_1,FIELD_CHAR_3_1,FIELD_CHAR_4_1,FIELD_CHAR_5_1,FIELD_CHAR_6_1,FIELD_CHAR_7_1,FIELD_CHAR_8_1,FIELD_CHAR_9_1,FIELD_CHAR_10_1,FIELD_CHAR_11_1,FIELD_CHAR_12_1,FIELD_CHAR_13_1,FIELD_CHAR_14_1,FIELD_CHAR_15_1,FIELD_CHAR_16_1,FIELD_CHAR_17_1,FIELD_CHAR_18_1,FIELD_CHAR_19_1,FIELD_CHAR_20_1,511707,184744,903697,107407,725026,222322,381187,264269,801263,500506,361278,645974,597974,838748,964504,817212,106361,118761,241546,131543,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,R,M,948163,1.8600,2026-01-01,DR_PAYMENT_MODE_1,CR_PAYMENT_MODE_1,DR_PROD_AC_1,CR_PROD_AC_1,100,100,100000000001,100000000001,CLG_,CLG_BRN_CODE_CR_1,PC_C,100000000001,100000000001,CLG_,CLG_BRN_CODE_DR_1,PC_C,CARD_NO_1,INSTRUMENT_NO_CR,ROUTING_NO_CR_1,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_1,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,106384.000,C,D,2026-01-01,U,2026-01-01,58,2026-01-01,C,PARENT_LOAN_1,USD
100000000002,002,APPLICATION_NUM_,CUST000002,CURR,CURR,2026-01-02,2026-01-02,2026-01-02,11734.300,13800.500,PEN,2026-01-02,PRIMARY_APPLICANT_ID_2,Primary Applicant Name 2,USER,C,2026-01-02,A,S,U,R,19340.000,R,P,A,A,I,T,T,L,A,C,L,N,8092,23016.200,1,A,4319,1876,2026-01-02,H,52,24104.000,1,546517,A,R,MAKER_ID_2,2026-01-02,CHECKER_ID_2,2026-01-02,A,100000000002,P,N,27,726806,F,2026-01-02,LINKED_REFERENCE_2,LINKAGE_TYPE_2,FIELD_CHAR_1_2,FIELD_CHAR_2_2,FIELD_CHAR_3_2,FIELD_CHAR_4_2,FIELD_CHAR_5_2,FIELD_CHAR_6_2,FIELD_CHAR_7_2,FIELD_CHAR_8_2,FIELD_CHAR_9_2,FIELD_CHAR_10_2,FIELD_CHAR_11_2,FIELD_CHAR_12_2,FIELD_CHAR_13_2,FIELD_CHAR_14_2,FIELD_CHAR_15_2,FIELD_CHAR_16_2,FIELD_CHAR_17_2,FIELD_CHAR_18_2,FIELD_CHAR_19_2,FIELD_CHAR_20_2,482362,132222,209033,151926,409053,751502,641134,955741,883680,595536,956706,18500,180870,448411,167848,257499,395615,956791,262195,250849,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,R,M,478701,3.0900,2026-01-02,DR_PAYMENT_MODE_2,CR_PAYMENT_MODE_2,DR_PROD_AC_2,CR_PROD_AC_2,100,100,100000000002,100000000002,CLG_,CLG_BRN_CODE_CR_2,PC_C,100000000002,100000000002,CLG_,CLG_BRN_CODE_DR_2,PC_C,CARD_NO_2,INSTRUMENT_NO_CR,ROUTING_NO_CR_2,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_2,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,9105.000,C,D,2026-01-02,U,2026-01-02,94,2026-01-02,C,PARENT_LOAN_2,PEN
100000000003,003,APPLICATION_NUM_,CUST000003,LOAN,LOAN,2026-01-03,2026-01-03,2026-01-03,16922.000,3435.200,EUR,2026-01-03,PRIMARY_APPLICANT_ID_3,Primary Applicant Name 3,USER,C,2026-01-03,A,S,U,R,2070.500,R,P,A,A,I,T,T,L,A,C,L,N,7845,6833.500,1,A,9419,881,2026-01-03,H,5,18433.800,1,487323,A,R,MAKER_ID_3,2026-01-03,CHECKER_ID_3,2026-01-03,A,100000000003,P,N,10,905383,F,2026-01-03,LINKED_REFERENCE_3,LINKAGE_TYPE_3,FIELD_CHAR_1_3,FIELD_CHAR_2_3,FIELD_CHAR_3_3,FIELD_CHAR_4_3,FIELD_CHAR_5_3,FIELD_CHAR_6_3,FIELD_CHAR_7_3,FIELD_CHAR_8_3,FIELD_CHAR_9_3,FIELD_CHAR_10_3,FIELD_CHAR_11_3,FIELD_CHAR_12_3,FIELD_CHAR_13_3,FIELD_CHAR_14_3,FIELD_CHAR_15_3,FIELD_CHAR_16_3,FIELD_CHAR_17_3,FIELD_CHAR_18_3,FIELD_CHAR_19_3,FIELD_CHAR_20_3,127666,891612,898681,729181,857738,194138,913224,584095,78645,969790,882586,725947,50853,211875,690005,989580,332897,237118,308078,591727,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,R,M,922716,1.9500,2026-01-03,DR_PAYMENT_MODE_3,CR_PAYMENT_MODE_3,DR_PROD_AC_3,CR_PROD_AC_3,100,100,100000000003,100000000003,CLG_,CLG_BRN_CODE_CR_3,PC_C,100000000003,100000000003,CLG_,CLG_BRN_CODE_DR_3,PC_C,CARD_NO_3,INSTRUMENT_NO_CR,ROUTING_NO_CR_3,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_3,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,14107.700,C,D,2026-01-03,U,2026-01-03,78,2026-01-03,C,PARENT_LOAN_3,EUR
100000000004,004,APPLICATION_NUM_,CUST000004,TD01,TD01,2026-01-04,2026-01-04,2026-01-04,23877.600,7522.100,BRL,2026-01-04,PRIMARY_APPLICANT_ID_4,Primary Applicant Name 4,USER,C,2026-01-04,A,S,U,R,7968.100,R,P,A,A,I,T,T,L,A,C,L,N,2377,8626.600,1,A,9274,1875,2026-01-04,H,67,19811.000,1,433419,A,R,MAKER_ID_4,2026-01-04,CHECKER_ID_4,2026-01-04,A,100000000004,P,N,3,176531,F,2026-01-04,LINKED_REFERENCE_4,LINKAGE_TYPE_4,FIELD_CHAR_1_4,FIELD_CHAR_2_4,FIELD_CHAR_3_4,FIELD_CHAR_4_4,FIELD_CHAR_5_4,FIELD_CHAR_6_4,FIELD_CHAR_7_4,FIELD_CHAR_8_4,FIELD_CHAR_9_4,FIELD_CHAR_10_4,FIELD_CHAR_11_4,FIELD_CHAR_12_4,FIELD_CHAR_13_4,FIELD_CHAR_14_4,FIELD_CHAR_15_4,FIELD_CHAR_16_4,FIELD_CHAR_17_4,FIELD_CHAR_18_4,FIELD_CHAR_19_4,FIELD_CHAR_20_4,872576,633188,422790,499432,508955,198149,800006,196141,117663,201861,147064,154290,59643,949365,904442,987388,222273,462123,714967,928680,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,2026-01-04,R,M,765325,2.5700,2026-01-04,DR_PAYMENT_MODE_4,CR_PAYMENT_MODE_4,DR_PROD_AC_4,CR_PROD_AC_4,100,100,100000000004,100000000004,CLG_,CLG_BRN_CODE_CR_4,PC_C,100000000004,100000000004,CLG_,CLG_BRN_CODE_DR_4,PC_C,CARD_NO_4,INSTRUMENT_NO_CR,ROUTING_NO_CR_4,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_4,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,5554.500,C,D,2026-01-04,U,2026-01-04,90,2026-01-04,C,PARENT_LOAN_4,BRL
100000000005,005,APPLICATION_NUM_,CUST000005,CARD,CARD,2026-01-05,2026-01-05,2026-01-05,2805.300,15265.200,USD,2026-01-05,PRIMARY_APPLICANT_ID_5,Primary Applicant Name 5,USER,C,2026-01-05,A,S,U,R,23786.000,R,P,A,A,I,T,T,L,A,C,L,N,8279,4984.100,1,A,7989,3950,2026-01-05,H,1,14392.500,1,922638,A,R,MAKER_ID_5,2026-01-05,CHECKER_ID_5,2026-01-05,A,100000000005,P,N,29,348715,F,2026-01-05,LINKED_REFERENCE_5,LINKAGE_TYPE_5,FIELD_CHAR_1_5,FIELD_CHAR_2_5,FIELD_CHAR_3_5,FIELD_CHAR_4_5,FIELD_CHAR_5_5,FIELD_CHAR_6_5,FIELD_CHAR_7_5,FIELD_CHAR_8_5,FIELD_CHAR_9_5,FIELD_CHAR_10_5,FIELD_CHAR_11_5,FIELD_CHAR_12_5,FIELD_CHAR_13_5,FIELD_CHAR_14_5,FIELD_CHAR_15_5,FIELD_CHAR_16_5,FIELD_CHAR_17_5,FIELD_CHAR_18_5,FIELD_CHAR_19_5,FIELD_CHAR_20_5,537337,538291,878690,643656,795942,453195,528210,527942,468582,259450,584731,788820,260220,297463,2382,348456,557480,473648,826799,379007,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,2026-01-05,R,M,152169,1.8100,2026-01-05,DR_PAYMENT_MODE_5,CR_PAYMENT_MODE_5,DR_PROD_AC_5,CR_PROD_AC_5,100,100,100000000005,100000000005,CLG_,CLG_BRN_CODE_CR_5,PC_C,100000000005,100000000005,CLG_,CLG_BRN_CODE_DR_5,PC_C,CARD_NO_5,INSTRUMENT_NO_CR,ROUTING_NO_CR_5,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_5,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,13309.300,C,D,2026-01-05,U,2026-01-05,31,2026-01-05,C,PARENT_LOAN_5,USD
100000000006,006,APPLICATION_NUM_,CUST000006,CLRG,CLRG,2026-01-06,2026-01-06,2026-01-06,24482.000,2409.000,PEN,2026-01-06,PRIMARY_APPLICANT_ID_6,Primary Applicant Name 6,USER,C,2026-01-06,A,S,U,R,18122.600,R,P,A,A,I,T,T,L,A,C,L,Y,4034,24693.900,1,A,6727,9810,2026-01-06,H,18,22866.600,1,820419,A,R,MAKER_ID_6,2026-01-06,CHECKER_ID_6,2026-01-06,A,100000000006,P,N,1,766382,F,2026-01-06,LINKED_REFERENCE_6,LINKAGE_TYPE_6,FIELD_CHAR_1_6,FIELD_CHAR_2_6,FIELD_CHAR_3_6,FIELD_CHAR_4_6,FIELD_CHAR_5_6,FIELD_CHAR_6_6,FIELD_CHAR_7_6,FIELD_CHAR_8_6,FIELD_CHAR_9_6,FIELD_CHAR_10_6,FIELD_CHAR_11_6,FIELD_CHAR_12_6,FIELD_CHAR_13_6,FIELD_CHAR_14_6,FIELD_CHAR_15_6,FIELD_CHAR_16_6,FIELD_CHAR_17_6,FIELD_CHAR_18_6,FIELD_CHAR_19_6,FIELD_CHAR_20_6,43660,20224,772642,926757,707206,379926,994620,921197,732192,214101,622637,295051,221301,138058,33893,356477,176155,607403,722730,305639,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06,R,M,752495,1.2100,2026-01-06,DR_PAYMENT_MODE_6,CR_PAYMENT_MODE_6,DR_PROD_AC_6,CR_PROD_AC_6,100,100,100000000006,100000000006,CLG_,CLG_BRN_CODE_CR_6,PC_C,100000000006,100000000006,CLG_,CLG_BRN_CODE_DR_6,PC_C,CARD_NO_6,INSTRUMENT_NO_CR,ROUTING_NO_CR_6,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_6,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,18342.700,C,D,2026-01-06,U,2026-01-06,79,2026-01-06,C,PARENT_LOAN_6,PEN
100000000007,007,APPLICATION_NUM_,CUST000007,SAV1,SAV1,2026-01-07,2026-01-07,2026-01-07,7682.100,1093.100,EUR,2026-01-07,PRIMARY_APPLICANT_ID_7,Primary Applicant Name 7,USER,C,2026-01-07,A,S,U,R,10967.700,R,P,A,A,I,T,T,L,A,C,L,N,2153,8802.900,1,A,8913,1311,2026-01-07,H,53,11066.900,1,590592,A,R,MAKER_ID_7,2026-01-07,CHECKER_ID_7,2026-01-07,A,100000000007,P,N,33,901239,F,2026-01-07,LINKED_REFERENCE_7,LINKAGE_TYPE_7,FIELD_CHAR_1_7,FIELD_CHAR_2_7,FIELD_CHAR_3_7,FIELD_CHAR_4_7,FIELD_CHAR_5_7,FIELD_CHAR_6_7,FIELD_CHAR_7_7,FIELD_CHAR_8_7,FIELD_CHAR_9_7,FIELD_CHAR_10_7,FIELD_CHAR_11_7,FIELD_CHAR_12_7,FIELD_CHAR_13_7,FIELD_CHAR_14_7,FIELD_CHAR_15_7,FIELD_CHAR_16_7,FIELD_CHAR_17_7,FIELD_CHAR_18_7,FIELD_CHAR_19_7,FIELD_CHAR_20_7,644687,98500,221760,136365,850875,510067,608743,127150,647454,154100,737494,446458,802838,396554,272576,164713,393136,374807,452102,602533,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07,R,M,988674,2.9500,2026-01-07,DR_PAYMENT_MODE_7,CR_PAYMENT_MODE_7,DR_PROD_AC_7,CR_PROD_AC_7,100,100,100000000007,100000000007,CLG_,CLG_BRN_CODE_CR_7,PC_C,100000000007,100000000007,CLG_,CLG_BRN_CODE_DR_7,PC_C,CARD_NO_7,INSTRUMENT_NO_CR,ROUTING_NO_CR_7,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_7,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,19788.000,C,D,2026-01-07,U,2026-01-07,28,2026-01-07,C,PARENT_LOAN_7,EUR
100000000008,008,APPLICATION_NUM_,CUST000008,CURR,CURR,2026-01-08,2026-01-08,2026-01-08,15399.100,4702.400,BRL,2026-01-08,PRIMARY_APPLICANT_ID_8,Primary Applicant Name 8,USER,C,2026-01-08,A,S,U,R,12367.800,R,P,A,A,I,T,T,L,A,C,L,N,7741,9515.200,1,A,2803,6175,2026-01-08,H,34,8152.500,1,343582,A,R,MAKER_ID_8,2026-01-08,CHECKER_ID_8,2026-01-08,A,100000000008,P,N,32,616959,F,2026-01-08,LINKED_REFERENCE_8,LINKAGE_TYPE_8,FIELD_CHAR_1_8,FIELD_CHAR_2_8,FIELD_CHAR_3_8,FIELD_CHAR_4_8,FIELD_CHAR_5_8,FIELD_CHAR_6_8,FIELD_CHAR_7_8,FIELD_CHAR_8_8,FIELD_CHAR_9_8,FIELD_CHAR_10_8,FIELD_CHAR_11_8,FIELD_CHAR_12_8,FIELD_CHAR_13_8,FIELD_CHAR_14_8,FIELD_CHAR_15_8,FIELD_CHAR_16_8,FIELD_CHAR_17_8,FIELD_CHAR_18_8,FIELD_CHAR_19_8,FIELD_CHAR_20_8,133224,252768,861070,271857,230244,760790,400757,834960,962464,442157,520909,324044,450321,116535,467527,18243,751356,208701,144664,495296,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,2026-01-08,R,M,718269,1.8400,2026-01-08,DR_PAYMENT_MODE_8,CR_PAYMENT_MODE_8,DR_PROD_AC_8,CR_PROD_AC_8,100,100,100000000008,100000000008,CLG_,CLG_BRN_CODE_CR_8,PC_C,100000000008,100000000008,CLG_,CLG_BRN_CODE_DR_8,PC_C,CARD_NO_8,INSTRUMENT_NO_CR,ROUTING_NO_CR_8,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_8,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,3184.800,C,D,2026-01-08,U,2026-01-08,40,2026-01-08,C,PARENT_LOAN_8,BRL
100000000009,009,APPLICATION_NUM_,CUST000009,LOAN,LOAN,2026-01-09,2026-01-09,2026-01-09,6092.000,18817.000,USD,2026-01-09,PRIMARY_APPLICANT_ID_9,Primary Applicant Name 9,USER,C,2026-01-09,A,S,U,R,4399.800,R,P,A,A,I,T,T,L,A,C,L,N,7810,12123.300,1,A,2630,8613,2026-01-09,H,82,8116.300,1,981136,A,R,MAKER_ID_9,2026-01-09,CHECKER_ID_9,2026-01-09,A,100000000009,P,N,15,501207,F,2026-01-09,LINKED_REFERENCE_9,LINKAGE_TYPE_9,FIELD_CHAR_1_9,FIELD_CHAR_2_9,FIELD_CHAR_3_9,FIELD_CHAR_4_9,FIELD_CHAR_5_9,FIELD_CHAR_6_9,FIELD_CHAR_7_9,FIELD_CHAR_8_9,FIELD_CHAR_9_9,FIELD_CHAR_10_9,FIELD_CHAR_11_9,FIELD_CHAR_12_9,FIELD_CHAR_13_9,FIELD_CHAR_14_9,FIELD_CHAR_15_9,FIELD_CHAR_16_9,FIELD_CHAR_17_9,FIELD_CHAR_18_9,FIELD_CHAR_19_9,FIELD_CHAR_20_9,505067,457659,591739,405958,791641,766886,170882,228460,543167,979926,987246,537135,618686,594509,437731,734649,985422,704688,449246,653833,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,R,M,46333,4.2600,2026-01-09,DR_PAYMENT_MODE_9,CR_PAYMENT_MODE_9,DR_PROD_AC_9,CR_PROD_AC_9,100,100,100000000009,100000000009,CLG_,CLG_BRN_CODE_CR_9,PC_C,100000000009,100000000009,CLG_,CLG_BRN_CODE_DR_9,PC_C,CARD_NO_9,INSTRUMENT_NO_CR,ROUTING_NO_CR_9,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_9,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,19276.500,C,D,2026-01-09,U,2026-01-09,85,2026-01-09,C,PARENT_LOAN_9,USD
100000000010,010,APPLICATION_NUM_,CUST000010,TD01,TD01,2026-01-10,2026-01-10,2026-01-10,10185.800,19467.100,PEN,2026-01-10,PRIMARY_APPLICANT_ID_10,Primary Applicant Name 10,USER,C,2026-01-10,A,S,U,R,18626.200,R,P,A,A,I,T,T,L,A,C,L,N,1215,11904.400,1,A,2667,8331,2026-01-10,H,93,7947.300,1,836938,A,R,MAKER_ID_10,2026-01-10,CHECKER_ID_10,2026-01-10,A,100000000010,P,N,23,988114,F,2026-01-10,LINKED_REFERENCE_10,LINKAGE_TYPE_10,FIELD_CHAR_1_10,FIELD_CHAR_2_10,FIELD_CHAR_3_10,FIELD_CHAR_4_10,FIELD_CHAR_5_10,FIELD_CHAR_6_10,FIELD_CHAR_7_10,FIELD_CHAR_8_10,FIELD_CHAR_9_10,FIELD_CHAR_10_10,FIELD_CHAR_11_10,FIELD_CHAR_12_10,FIELD_CHAR_13_10,FIELD_CHAR_14_10,FIELD_CHAR_15_10,FIELD_CHAR_16_10,FIELD_CHAR_17_10,FIELD_CHAR_18_10,FIELD_CHAR_19_10,FIELD_CHAR_20_10,411769,851572,65830,104905,389872,308035,538636,874093,23706,762379,337636,919721,920364,926126,979133,776995,245290,886918,63974,471879,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10,R,M,652327,3.6600,2026-01-10,DR_PAYMENT_MODE_10,CR_PAYMENT_MODE_10,DR_PROD_AC_10,CR_PROD_AC_10,100,100,100000000010,100000000010,CLG_,CLG_BRN_CODE_CR_10,PC_C,100000000010,100000000010,CLG_,CLG_BRN_CODE_DR_10,PC_C,CARD_NO_10,INSTRUMENT_NO_CR,ROUTING_NO_CR_10,END_POINT_,CLG_,SECTOR_CO,INSTRUMENT_NO_DR,ROUTING_NO_DR_10,END_POINT_,CLG_,SECTOR_CO,UPLOAD_SOURCE_D,UPLOAD_SOURCE_C,17404.900,C,D,2026-01-10,U,2026-01-10,73,2026-01-10,C,PARENT_LOAN_10,PEN
