XREF,PRODUCT_CODE,BRANCH_CODE,TRN_REF_NO,TXN_ACC,TXN_CCY,TXN_AMOUNT,TXN_BRANCH,TXN_TRN_CODE,OFS_ACC,OFS_CCY,OFS_AMOUNT,OFS_BRANCH,OFS_TRN_CODE,EXCH_RATE,LCY_AMOUNT,TRN_DT,VALUE_DT,DR_INSTRUMENT_CODE,CR_INSTRUMENT_CODE,REL_CUSTOMER,CHARGE_ACCOUNT,CHG_GL,CHG_CCY,CHG_AMT,CHG_IN_ACY,CHG_IN_LCY,CHG_CCY_ACY_RATE,ACY_LCY_RATE,NETTING_IND,TXN_CODE,MIS_HEAD_1,CHG_GL_1,CHG_CCY_1,CHG_AMT_1,CHG_IN_ACY_1,CHG_IN_LCY_1,CHG_CCY_ACY_RATE_1,ACY_LCY_RATE_1,NETTING_IND_1,TXN_CODE_1,MIS_HEAD_2,CHG_GL_2,CHG_CCY_2,CHG_AMT_2,CHG_IN_ACY_2,CHG_IN_LCY_2,CHG_CCY_ACY_RATE_2,ACY_LCY_RATE_2,NETTING_IND_2,TXN_CODE_2,MIS_HEAD_3,CHG_GL_3,CHG_CCY_3,CHG_AMT_3,CHG_IN_ACY_3,CHG_IN_LCY_3,CHG_CCY_ACY_RATE_3,ACY_LCY_RATE_3,NETTING_IND_3,TXN_CODE_3,MIS_HEAD_4,CHG_GL_4,CHG_CCY_4,CHG_AMT_4,CHG_IN_ACY_4,CHG_IN_LCY_4,CHG_CCY_ACY_RATE_4,ACY_LCY_RATE_4,NETTING_IND_4,TXN_CODE_4,MIS_HEAD_5,REM_ACC,REM_BANK,REM_BRANCH,ROUTING_NO,END_POINT,SERIAL_NO,RECORD_STAT,AUTH_STAT,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,REPAIR_REASON,MOD_NO,SCODE,MIS_HEAD,NARRATIVE,DR_ACC,MODULE,ESN,EVENT_CODE,ROUTE_CODE,FT_PROBLEM,TRACK_RECEIVABLE,TIME_RECEIVED,THEIR_CHGS2,THEIR_CHGS3,THEIR_CHGS4,THEIR_CHGS,THEIR_CHGS1,THEIR_ACC,THEIR_ACC1,THEIR_ACC2,THEIR_ACC3,THEIR_ACC4,LCY_EXCH_RATE,CR_CUST_NO,TXN_ID,UDF_1,UDF_2,UDF_3,UDF_4,UDF_5,JOB_NO,BEN_ACC,ADJ_AMT,HOUSE_LOCATION,PASSBOOK_NO,PASSBOOK_AMT,REG_FLAG,EXT_OFSTXN_CODE,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,ACTUAL_TXN_AMOUNT,SAV_CODE,SAV_VAL_STAT,DD_CREATION_DT,DD_LAST_UPD,DD_ID
TL_PENDING_001,SAV1,001,TL_PENDING_001,001234567890,USD,12500.000,001,WDR,001234567890,USD,12500.000,001,WDR,1.0900,12500.000,2026-05-07,2026-05-07,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000123,100000000001,CHG_GL_1,USD,81676.000,11640,542315,3.0500,2.7900,Y,ATM,MIS_HEAD_,CHG_GL_1_,CHG,88656.000,894057,864165,4.3200,1.3100,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,49040.800,257255,616101,1.0000,1.7400,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,133325.600,569617,360343,3.9400,0.8500,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,160100.800,355393,277062,1.1200,4.2800,N,TXN,MIS_HEAD_,100000000001,REM_BANK_1,001,ROUTING_NO_1,END_POINT,SERIAL_NO_1,O,U,TELLER_M01,2026-01-01,,2026-01-01,REPAIR_REASON_1,898462,SCODE_1,MIS_HEAD_,Pending teller withdrawal awaiting authorization,100,TL,1,EVEN,ROUTE_CODE_1,F,T,2026-05-07 09:15:00,T,T,T,T,T,100000000001,100000000001,100000000001,100000000001,100000000001,1.980000000000,CUST000001,TL_TXN_PENDING_001,UDF_1_1,UDF_2_1,UDF_3_1,UDF_4_1,UDF_5_1,1,100000000001,849.600,HOUS,PASSBOOK_NO_1,105506.400,Y,EXT_OFSTXN_CODE,DATA_1_1,DATA_2_1,DATA_3_1,DATA_4_1,DATA_5_1,DATA_6_1,DATA_7_1,DATA_8_1,DATA_9_1,C,BATCH_REF_NO_1,ATM,135599.200,SAV_,S,2026-01-01 00:00:00,2026-01-01 00:00:00,1
TL_PENDING_002,CURR,002,TL_PENDING_002,001234567891,USD,7800.000,002,DEP,001234567891,USD,7800.000,002,DEP,1.2000,7800.000,2026-05-07,2026-05-07,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000124,100000000002,CHG_GL_2,PEN,17681.400,57078,936595,2.7500,2.4100,N,DEP,MIS_HEAD_,CHG_GL_1_,CHG,704.200,291552,854700,4.3800,2.4300,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,21275.200,279191,746253,1.1400,2.7000,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,11275.000,481315,153326,2.0300,1.8000,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,8723.800,819298,148217,4.3800,4.3000,N,TXN,MIS_HEAD_,100000000002,REM_BANK_2,002,ROUTING_NO_2,END_POINT,SERIAL_NO_2,O,U,TELLER_M02,2026-01-02,,2026-01-02,REPAIR_REASON_2,176894,SCODE_2,MIS_HEAD_,Pending teller deposit awaiting authorization,100,TL,2,EVEN,ROUTE_CODE_2,F,T,2026-05-07 10:20:00,T,T,T,T,T,100000000002,100000000002,100000000002,100000000002,100000000002,1.050000000000,CUST000002,TL_TXN_PENDING_002,UDF_1_2,UDF_2_2,UDF_3_2,UDF_4_2,UDF_5_2,2,100000000002,16845.000,HOUS,PASSBOOK_NO_2,10233.200,N,EXT_OFSTXN_CODE,DATA_1_2,DATA_2_2,DATA_3_2,DATA_4_2,DATA_5_2,DATA_6_2,DATA_7_2,DATA_8_2,DATA_9_2,C,BATCH_REF_NO_2,DEP,751.500,SAV_,S,2026-01-02 01:07:00,2026-01-02 01:07:00,2
XREF_3,LOAN,003,TRN000000000003,100000000003,EUR,13233.700,003,WDR,100000000003,EUR,9666.200,003,WDR,4.5000,12731.000,2026-01-03,2026-01-03,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000003,100000000003,CHG_GL_3,EUR,17214.500,465361,491538,1.7300,1.9200,N,WDR,MIS_HEAD_,CHG_GL_1_,CHG,5446.500,433769,14724,2.4600,0.9700,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,12101.200,707531,360594,0.8600,3.2600,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,11770.200,794466,629524,3.5000,4.4800,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,3118.200,64273,516183,1.0400,3.5400,N,TXN,MIS_HEAD_,100000000003,REM_BANK_3,003,ROUTING_NO_3,END_POINT,SERIAL_NO_3,O,A,MAKER_ID_3,2026-01-03,CHECKER_ID_3,2026-01-03,REPAIR_REASON_3,943202,SCODE_3,MIS_HEAD_,Synthetic banking narrative row 3,100,MO,3,EVEN,ROUTE_CODE_3,F,T,2026-01-03 02:14:00,T,T,T,T,T,100000000003,100000000003,100000000003,100000000003,100000000003,2.230000000000,CUST000003,TXN0000000000000003,UDF_1_3,UDF_2_3,UDF_3_3,UDF_4_3,UDF_5_3,3,100000000003,24094.800,HOUS,PASSBOOK_NO_3,17150.900,N,EXT_OFSTXN_CODE,DATA_1_3,DATA_2_3,DATA_3_3,DATA_4_3,DATA_5_3,DATA_6_3,DATA_7_3,DATA_8_3,DATA_9_3,C,BATCH_REF_NO_3,WDR,22738.400,SAV_,S,2026-01-03 02:14:00,2026-01-03 02:14:00,3
XREF_4,TD01,004,TRN000000000004,100000000004,BRL,11864.700,004,TRF,100000000004,BRL,3237.700,004,TRF,3.9500,3426.100,2026-01-04,2026-01-04,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000004,100000000004,CHG_GL_4,BRL,6485.500,947634,439188,1.1800,2.4100,N,TRF,MIS_HEAD_,CHG_GL_1_,CHG,16658.400,606022,614834,2.7000,0.9600,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,8348.200,567276,162340,2.0700,2.2900,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,1720.000,794143,910477,3.8700,2.4300,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,9850.200,505664,915323,3.1400,3.0100,N,TXN,MIS_HEAD_,100000000004,REM_BANK_4,004,ROUTING_NO_4,END_POINT,SERIAL_NO_4,O,A,MAKER_ID_4,2026-01-04,CHECKER_ID_4,2026-01-04,REPAIR_REASON_4,891378,SCODE_4,MIS_HEAD_,Synthetic banking narrative row 4,100,MO,4,EVEN,ROUTE_CODE_4,F,T,2026-01-04 03:21:00,T,T,T,T,T,100000000004,100000000004,100000000004,100000000004,100000000004,4.480000000000,CUST000004,TXN0000000000000004,UDF_1_4,UDF_2_4,UDF_3_4,UDF_4_4,UDF_5_4,4,100000000004,20142.100,HOUS,PASSBOOK_NO_4,10213.800,N,EXT_OFSTXN_CODE,DATA_1_4,DATA_2_4,DATA_3_4,DATA_4_4,DATA_5_4,DATA_6_4,DATA_7_4,DATA_8_4,DATA_9_4,C,BATCH_REF_NO_4,TRF,21556.700,SAV_,S,2026-01-04 03:21:00,2026-01-04 03:21:00,4
XREF_5,CARD,005,TRN000000000005,100000000005,USD,24593.300,005,FEE,100000000005,USD,21884.600,005,FEE,2.9700,13961.800,2026-01-05,2026-01-05,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000005,100000000005,CHG_GL_5,USD,23129.700,522090,234919,3.0600,2.4300,N,FEE,MIS_HEAD_,CHG_GL_1_,CHG,20404.100,408605,725737,3.9700,0.9900,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,19433.900,740479,49088,4.3800,2.8700,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,2018.900,734172,298619,1.0700,2.4400,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,13951.000,139911,662537,2.3700,2.1700,N,TXN,MIS_HEAD_,100000000005,REM_BANK_5,005,ROUTING_NO_5,END_POINT,SERIAL_NO_5,O,A,MAKER_ID_5,2026-01-05,CHECKER_ID_5,2026-01-05,REPAIR_REASON_5,791613,SCODE_5,MIS_HEAD_,Synthetic banking narrative row 5,100,MO,5,EVEN,ROUTE_CODE_5,F,T,2026-01-05 04:28:00,T,T,T,T,T,100000000005,100000000005,100000000005,100000000005,100000000005,3.360000000000,CUST000005,TXN0000000000000005,UDF_1_5,UDF_2_5,UDF_3_5,UDF_4_5,UDF_5_5,5,100000000005,23698.000,HOUS,PASSBOOK_NO_5,9667.700,N,EXT_OFSTXN_CODE,DATA_1_5,DATA_2_5,DATA_3_5,DATA_4_5,DATA_5_5,DATA_6_5,DATA_7_5,DATA_8_5,DATA_9_5,C,BATCH_REF_NO_5,FEE,22672.400,SAV_,S,2026-01-05 04:28:00,2026-01-05 04:28:00,5
XREF_6,CLRG,006,TRN000000000006,100000000006,PEN,5702.100,006,INT,100000000006,PEN,14606.600,006,INT,1.7600,7124.800,2026-01-06,2026-01-06,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000006,100000000006,CHG_GL_6,PEN,11014.100,330780,287126,2.3700,4.4000,Y,INT,MIS_HEAD_,CHG_GL_1_,CHG,18695.900,620792,998892,1.5400,3.8400,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,17340.700,884755,449899,2.8700,1.8600,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,20121.100,367776,560055,3.4400,3.1400,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,2757.200,443576,382382,2.2700,2.6800,N,TXN,MIS_HEAD_,100000000006,REM_BANK_6,006,ROUTING_NO_6,END_POINT,SERIAL_NO_6,O,A,MAKER_ID_6,2026-01-06,CHECKER_ID_6,2026-01-06,REPAIR_REASON_6,563241,SCODE_6,MIS_HEAD_,Synthetic banking narrative row 6,100,MO,6,EVEN,ROUTE_CODE_6,F,T,2026-01-06 05:35:00,T,T,T,T,T,100000000006,100000000006,100000000006,100000000006,100000000006,0.870000000000,CUST000006,TXN0000000000000006,UDF_1_6,UDF_2_6,UDF_3_6,UDF_4_6,UDF_5_6,6,100000000006,6055.300,HOUS,PASSBOOK_NO_6,10749.500,Y,EXT_OFSTXN_CODE,DATA_1_6,DATA_2_6,DATA_3_6,DATA_4_6,DATA_5_6,DATA_6_6,DATA_7_6,DATA_8_6,DATA_9_6,C,BATCH_REF_NO_6,INT,1908.800,SAV_,S,2026-01-06 05:35:00,2026-01-06 05:35:00,6
XREF_7,SAV1,007,TRN000000000007,100000000007,EUR,11550.600,007,REV,100000000007,EUR,8570.100,007,REV,3.3400,24372.300,2026-01-07,2026-01-07,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000007,100000000007,CHG_GL_7,EUR,5393.900,589710,943259,3.0600,3.8900,N,REV,MIS_HEAD_,CHG_GL_1_,CHG,7345.300,147819,440125,1.7700,2.7000,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,17501.200,791365,647220,1.8300,3.2300,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,22766.600,422157,852839,3.4800,1.4600,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,325.600,244268,255952,3.6900,3.4300,N,TXN,MIS_HEAD_,100000000007,REM_BANK_7,007,ROUTING_NO_7,END_POINT,SERIAL_NO_7,O,A,MAKER_ID_7,2026-01-07,CHECKER_ID_7,2026-01-07,REPAIR_REASON_7,322408,SCODE_7,MIS_HEAD_,Synthetic banking narrative row 7,100,MO,7,EVEN,ROUTE_CODE_7,F,T,2026-01-07 06:42:00,T,T,T,T,T,100000000007,100000000007,100000000007,100000000007,100000000007,0.930000000000,CUST000007,TXN0000000000000007,UDF_1_7,UDF_2_7,UDF_3_7,UDF_4_7,UDF_5_7,7,100000000007,11711.400,HOUS,PASSBOOK_NO_7,22612.400,N,EXT_OFSTXN_CODE,DATA_1_7,DATA_2_7,DATA_3_7,DATA_4_7,DATA_5_7,DATA_6_7,DATA_7_7,DATA_8_7,DATA_9_7,C,BATCH_REF_NO_7,REV,103.300,SAV_,S,2026-01-07 06:42:00,2026-01-07 06:42:00,7
XREF_8,CURR,008,TRN000000000008,100000000008,BRL,24401.700,008,PAY,100000000008,BRL,12148.600,008,PAY,1.8700,19134.500,2026-01-08,2026-01-08,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000008,100000000008,CHG_GL_8,BRL,24569.400,545574,158772,1.0800,1.6400,N,PAY,MIS_HEAD_,CHG_GL_1_,CHG,19753.800,220634,802321,1.0000,2.9000,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,7902.900,697306,851105,2.1000,3.8000,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,5141.200,507021,449279,1.4100,1.5500,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,21256.600,962104,752306,2.7500,1.3200,N,TXN,MIS_HEAD_,100000000008,REM_BANK_8,008,ROUTING_NO_8,END_POINT,SERIAL_NO_8,O,A,MAKER_ID_8,2026-01-08,CHECKER_ID_8,2026-01-08,REPAIR_REASON_8,323838,SCODE_8,MIS_HEAD_,Synthetic banking narrative row 8,100,MO,8,EVEN,ROUTE_CODE_8,F,T,2026-01-08 07:49:00,T,T,T,T,T,100000000008,100000000008,100000000008,100000000008,100000000008,0.950000000000,CUST000008,TXN0000000000000008,UDF_1_8,UDF_2_8,UDF_3_8,UDF_4_8,UDF_5_8,8,100000000008,12546.900,HOUS,PASSBOOK_NO_8,3037.600,N,EXT_OFSTXN_CODE,DATA_1_8,DATA_2_8,DATA_3_8,DATA_4_8,DATA_5_8,DATA_6_8,DATA_7_8,DATA_8_8,DATA_9_8,C,BATCH_REF_NO_8,PAY,13662.000,SAV_,S,2026-01-08 07:49:00,2026-01-08 07:49:00,8
XREF_9,LOAN,009,TRN000000000009,100000000009,USD,24889.000,009,ATM,100000000009,USD,20347.900,009,ATM,2.5500,20079.900,2026-01-09,2026-01-09,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000009,100000000009,CHG_GL_9,USD,19796.800,928536,333004,2.2400,2.4100,N,ATM,MIS_HEAD_,CHG_GL_1_,CHG,9215.900,287384,930266,2.2600,2.6800,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,18870.700,861427,651576,4.3900,2.8400,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,19133.500,142493,342006,2.3400,3.7100,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,18415.800,174089,159154,2.2800,1.0500,N,TXN,MIS_HEAD_,100000000009,REM_BANK_9,009,ROUTING_NO_9,END_POINT,SERIAL_NO_9,O,A,MAKER_ID_9,2026-01-09,CHECKER_ID_9,2026-01-09,REPAIR_REASON_9,962028,SCODE_9,MIS_HEAD_,Synthetic banking narrative row 9,100,MO,9,EVEN,ROUTE_CODE_9,F,T,2026-01-09 08:56:00,T,T,T,T,T,100000000009,100000000009,100000000009,100000000009,100000000009,3.750000000000,CUST000009,TXN0000000000000009,UDF_1_9,UDF_2_9,UDF_3_9,UDF_4_9,UDF_5_9,9,100000000009,18543.000,HOUS,PASSBOOK_NO_9,23251.700,N,EXT_OFSTXN_CODE,DATA_1_9,DATA_2_9,DATA_3_9,DATA_4_9,DATA_5_9,DATA_6_9,DATA_7_9,DATA_8_9,DATA_9_9,C,BATCH_REF_NO_9,ATM,15026.000,SAV_,S,2026-01-09 08:56:00,2026-01-09 08:56:00,9
XREF_10,TD01,010,TRN000000000010,100000000010,PEN,10933.800,010,DEP,100000000010,PEN,2263.700,010,DEP,1.5100,21498.000,2026-01-10,2026-01-10,DR_INSTRUMENT_CO,CR_INSTRUMENT_CO,CUST000010,100000000010,CHG_GL_10,PEN,7878.400,58105,79523,2.3700,1.4700,N,DEP,MIS_HEAD_,CHG_GL_1_,CHG,22016.100,630202,849841,3.2700,4.1100,N,TXN,MIS_HEAD_,CHG_GL_2_,CHG,10366.900,613753,709630,3.9700,4.2200,N,TXN,MIS_HEAD_,CHG_GL_3_,CHG,13210.100,565507,542744,2.8800,1.8800,N,TXN,MIS_HEAD_,CHG_GL_4_,CHG,7263.900,831152,621735,2.4300,4.1800,N,TXN,MIS_HEAD_,100000000010,REM_BANK_10,010,ROUTING_NO_10,END_POINT,SERIAL_NO_10,O,A,MAKER_ID_10,2026-01-10,CHECKER_ID_1,2026-01-10,REPAIR_REASON_10,541775,SCODE_10,MIS_HEAD_,Synthetic banking narrative row 10,100,MO,10,EVEN,ROUTE_CODE_10,F,T,2026-01-10 09:03:00,T,T,T,T,T,100000000010,100000000010,100000000010,100000000010,100000000010,3.930000000000,CUST000010,TXN0000000000000010,UDF_1_10,UDF_2_10,UDF_3_10,UDF_4_10,UDF_5_10,10,100000000010,8083.800,HOUS,PASSBOOK_NO_10,8572.300,N,EXT_OFSTXN_CODE,DATA_1_10,DATA_2_10,DATA_3_10,DATA_4_10,DATA_5_10,DATA_6_10,DATA_7_10,DATA_8_10,DATA_9_10,C,BATCH_REF_NO_10,DEP,3206.100,SAV_,S,2026-01-10 09:03:00,2026-01-10 09:03:00,10
