TRN_REF_NO,TRN_DT,TXN_BRANCH,PRODUCT_CODE,VALUE_DATE,AC_BRANCH,ACCOUNT_NO,TRN_CODE,LCY_AMOUNT,AMOUNT,DRCR_IND,MODULE,INSTRUMENT_NO,EXTENDED_CODE,RELATED_CUSTOMER,TXN_INIT_DATE,EXTRACTION_DATE,AC_ENTRY_SR_NO,EVENT,AMOUNT_TAG,OFS_ACC,OFS_BRANCH,EVENT_SR_NO,AC_CCY,GROUP_TXN_COUNT,HIDE_TXN_IN_STMT,AUTH_STAT,PERIOD_CODE,TXN_ID,EXT_OFSTXN_CODE,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,REAL_DT_TIME,SOURCE_CODE
TRN_DOC_MAR_0001,2026-03-01,001,SAV1,2026-03-01,001,9988776655,ATM,15000.000,15000.000,D,MOD,INSTRUMENT_NO_1,149572,CUST000001,2026-03-01 10:00:00,2026-03-01,784700,EVEN,AMOUNT_TAG_1,100000000001,001,787380,USD,25,N,A,PER,TXN_DOC_MAR_0001,EXT_OFSTXN_CODE,DATA_1_1,DATA_2_1,DATA_3_1,DATA_4_1,DATA_5_1,DATA_6_1,DATA_7_1,DATA_8_1,DATA_9_1,C,BATCH_REF_NO_1,ATM,2026-03-01 10:00:00,SOURCE_CODE_1
TRN_DOC_MAR_0002,2026-03-02,002,CURR,2026-03-02,002,9988776655,DEP,11875.000,11875.000,C,MOD,INSTRUMENT_NO_2,821615,CUST000002,2026-03-02 10:01:00,2026-03-02,541948,EVEN,AMOUNT_TAG_2,100000000002,002,939780,USD,23,N,A,PER,TXN_DOC_MAR_0002,EXT_OFSTXN_CODE,DATA_1_2,DATA_2_2,DATA_3_2,DATA_4_2,DATA_5_2,DATA_6_2,DATA_7_2,DATA_8_2,DATA_9_2,C,BATCH_REF_NO_2,DEP,2026-03-02 10:01:00,SOURCE_CODE_2
TRN_DOC_MAR_0003,2026-03-03,003,LOAN,2026-03-03,003,9988776655,WDR,15000.000,15000.000,D,MOD,INSTRUMENT_NO_3,803775,CUST000003,2026-03-03 10:02:00,2026-03-03,396707,EVEN,AMOUNT_TAG_3,100000000003,003,992874,USD,31,N,A,PER,TXN_DOC_MAR_0003,EXT_OFSTXN_CODE,DATA_1_3,DATA_2_3,DATA_3_3,DATA_4_3,DATA_5_3,DATA_6_3,DATA_7_3,DATA_8_3,DATA_9_3,C,BATCH_REF_NO_3,WDR,2026-03-03 10:02:00,SOURCE_CODE_3
TRN_DOC_MAR_0004,2026-03-04,004,TD01,2026-03-04,004,9988776655,TRF,11875.000,11875.000,C,MOD,INSTRUMENT_NO_4,884262,CUST000004,2026-03-04 10:03:00,2026-03-04,354965,EVEN,AMOUNT_TAG_4,100000000004,004,551136,USD,12,N,A,PER,TXN_DOC_MAR_0004,EXT_OFSTXN_CODE,DATA_1_4,DATA_2_4,DATA_3_4,DATA_4_4,DATA_5_4,DATA_6_4,DATA_7_4,DATA_8_4,DATA_9_4,C,BATCH_REF_NO_4,TRF,2026-03-04 10:03:00,SOURCE_CODE_4
TRN_DOC_MAR_0005,2026-03-05,005,CARD,2026-03-05,005,9988776655,FEE,15000.000,15000.000,D,MOD,INSTRUMENT_NO_5,223018,CUST000005,2026-03-05 10:04:00,2026-03-05,483140,EVEN,AMOUNT_TAG_5,100000000005,005,881450,USD,13,N,A,PER,TXN_DOC_MAR_0005,EXT_OFSTXN_CODE,DATA_1_5,DATA_2_5,DATA_3_5,DATA_4_5,DATA_5_5,DATA_6_5,DATA_7_5,DATA_8_5,DATA_9_5,C,BATCH_REF_NO_5,FEE,2026-03-05 10:04:00,SOURCE_CODE_5
TRN_DOC_MAR_0006,2026-03-06,006,CLRG,2026-03-06,006,9988776655,INT,11875.000,11875.000,C,MOD,INSTRUMENT_NO_6,506038,CUST000006,2026-03-06 10:05:00,2026-03-06,54852,EVEN,AMOUNT_TAG_6,100000000006,006,352506,USD,26,N,A,PER,TXN_DOC_MAR_0006,EXT_OFSTXN_CODE,DATA_1_6,DATA_2_6,DATA_3_6,DATA_4_6,DATA_5_6,DATA_6_6,DATA_7_6,DATA_8_6,DATA_9_6,C,BATCH_REF_NO_6,INT,2026-03-06 10:05:00,SOURCE_CODE_6
TRN_DOC_MAR_0007,2026-03-07,007,SAV1,2026-03-07,007,9988776655,REV,15000.000,15000.000,D,MOD,INSTRUMENT_NO_7,957024,CUST000007,2026-03-07 10:06:00,2026-03-07,24982,EVEN,AMOUNT_TAG_7,100000000007,007,842069,USD,9,N,A,PER,TXN_DOC_MAR_0007,EXT_OFSTXN_CODE,DATA_1_7,DATA_2_7,DATA_3_7,DATA_4_7,DATA_5_7,DATA_6_7,DATA_7_7,DATA_8_7,DATA_9_7,C,BATCH_REF_NO_7,REV,2026-03-07 10:06:00,SOURCE_CODE_7
TRN_DOC_MAR_0008,2026-03-08,008,CURR,2026-03-08,008,9988776655,PAY,11875.000,11875.000,C,MOD,INSTRUMENT_NO_8,236419,CUST000008,2026-03-08 10:07:00,2026-03-08,682947,EVEN,AMOUNT_TAG_8,100000000008,008,823758,USD,3,N,A,PER,TXN_DOC_MAR_0008,EXT_OFSTXN_CODE,DATA_1_8,DATA_2_8,DATA_3_8,DATA_4_8,DATA_5_8,DATA_6_8,DATA_7_8,DATA_8_8,DATA_9_8,C,BATCH_REF_NO_8,PAY,2026-03-08 10:07:00,SOURCE_CODE_8
TRN_DOC_MAR_0009,2026-03-09,009,LOAN,2026-03-09,009,9988776655,ATM,15000.000,15000.000,D,MOD,INSTRUMENT_NO_9,60115,CUST000009,2026-03-09 10:08:00,2026-03-09,935548,EVEN,AMOUNT_TAG_9,100000000009,009,319356,USD,30,N,A,PER,TXN_DOC_MAR_0009,EXT_OFSTXN_CODE,DATA_1_9,DATA_2_9,DATA_3_9,DATA_4_9,DATA_5_9,DATA_6_9,DATA_7_9,DATA_8_9,DATA_9_9,C,BATCH_REF_NO_9,ATM,2026-03-09 10:08:00,SOURCE_CODE_9
TRN_DOC_MAR_0010,2026-03-10,010,TD01,2026-03-10,010,9988776655,DEP,11875.000,11875.000,C,MOD,INSTRUMENT_NO_10,822155,CUST000010,2026-03-10 10:09:00,2026-03-10,345925,EVEN,AMOUNT_TAG_10,100000000010,010,671610,USD,31,N,A,PER,TXN_DOC_MAR_0010,EXT_OFSTXN_CODE,DATA_1_10,DATA_2_10,DATA_3_10,DATA_4_10,DATA_5_10,DATA_6_10,DATA_7_10,DATA_8_10,DATA_9_10,C,BATCH_REF_NO_10,DEP,2026-03-10 10:09:00,SOURCE_CODE_10
TRN_DOC_MAR_0011,2026-03-11,011,CARD,2026-03-11,011,9988776655,WDR,15000.000,15000.000,D,MOD,INSTRUMENT_NO_11,715571,CUST000011,2026-03-11 10:10:00,2026-03-11,2642,EVEN,AMOUNT_TAG_11,100000000011,011,983018,USD,13,N,A,PER,TXN_DOC_MAR_0011,EXT_OFSTXN_CODE,DATA_1_11,DATA_2_11,DATA_3_11,DATA_4_11,DATA_5_11,DATA_6_11,DATA_7_11,DATA_8_11,DATA_9_11,C,BATCH_REF_NO_11,WDR,2026-03-11 10:10:00,SOURCE_CODE_11
TRN_DOC_MAR_0012,2026-03-12,012,CLRG,2026-03-12,012,9988776655,TRF,11875.000,11875.000,C,MOD,INSTRUMENT_NO_12,844096,CUST000012,2026-03-12 10:11:00,2026-03-12,409251,EVEN,AMOUNT_TAG_12,100000000012,012,956580,USD,3,N,A,PER,TXN_DOC_MAR_0012,EXT_OFSTXN_CODE,DATA_1_12,DATA_2_12,DATA_3_12,DATA_4_12,DATA_5_12,DATA_6_12,DATA_7_12,DATA_8_12,DATA_9_12,C,BATCH_REF_NO_12,TRF,2026-03-12 10:11:00,SOURCE_CODE_12
TRN_DOC_MAR_0013,2026-03-13,013,SAV1,2026-03-13,013,9988776655,FEE,15000.000,15000.000,D,MOD,INSTRUMENT_NO_13,458867,CUST000013,2026-03-13 10:12:00,2026-03-13,135809,EVEN,AMOUNT_TAG_13,100000000013,013,474347,USD,6,N,A,PER,TXN_DOC_MAR_0013,EXT_OFSTXN_CODE,DATA_1_13,DATA_2_13,DATA_3_13,DATA_4_13,DATA_5_13,DATA_6_13,DATA_7_13,DATA_8_13,DATA_9_13,C,BATCH_REF_NO_13,FEE,2026-03-13 10:12:00,SOURCE_CODE_13
TRN_DOC_MAR_0014,2026-03-14,014,CURR,2026-03-14,014,9988776655,INT,11875.000,11875.000,C,MOD,INSTRUMENT_NO_14,258878,CUST000014,2026-03-14 10:13:00,2026-03-14,869485,EVEN,AMOUNT_TAG_14,100000000014,014,785818,USD,17,N,A,PER,TXN_DOC_MAR_0014,EXT_OFSTXN_CODE,DATA_1_14,DATA_2_14,DATA_3_14,DATA_4_14,DATA_5_14,DATA_6_14,DATA_7_14,DATA_8_14,DATA_9_14,C,BATCH_REF_NO_14,INT,2026-03-14 10:13:00,SOURCE_CODE_14
TRN_DOC_MAR_0015,2026-03-15,015,LOAN,2026-03-15,015,9988776655,REV,15000.000,15000.000,D,MOD,INSTRUMENT_NO_15,118114,CUST000015,2026-03-15 10:14:00,2026-03-15,846216,EVEN,AMOUNT_TAG_15,100000000015,015,577506,USD,0,N,A,PER,TXN_DOC_MAR_0015,EXT_OFSTXN_CODE,DATA_1_15,DATA_2_15,DATA_3_15,DATA_4_15,DATA_5_15,DATA_6_15,DATA_7_15,DATA_8_15,DATA_9_15,C,BATCH_REF_NO_15,REV,2026-03-15 10:14:00,SOURCE_CODE_15
TRN_DOC_MAR_0016,2026-03-16,016,TD01,2026-03-16,016,9988776655,PAY,11875.000,11875.000,C,MOD,INSTRUMENT_NO_16,590914,CUST000016,2026-03-16 10:15:00,2026-03-16,217764,EVEN,AMOUNT_TAG_16,100000000016,016,458579,USD,34,N,A,PER,TXN_DOC_MAR_0016,EXT_OFSTXN_CODE,DATA_1_16,DATA_2_16,DATA_3_16,DATA_4_16,DATA_5_16,DATA_6_16,DATA_7_16,DATA_8_16,DATA_9_16,C,BATCH_REF_NO_16,PAY,2026-03-16 10:15:00,SOURCE_CODE_16
