BRN,ACC,CCY,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,TENOR,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CREATION_DT,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_VERSION_NO,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,LATEST_EVENT_SEQ_NO,TXN_ID,NEXT_RATE_CHANGE_DT,TD_INT_AMT_READJ_CCY,TD_INT_AMT,TD_MATURITY_AMT,TD_PRN_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,INPUT_TAX_AMT,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY
001,TD0000000001,USD,P,25000.000,OFF,001234567890,TD_NEXT_001,127,Td Withdrawer Name 1,2026-01-01,E,J,JOINT_HOLDER,2026-01-01,PAY,001234567890,USD,RA,RO,100000000001,INT,USD,A,G,GE,ADVICE_MEDIA_1,EMAIL_1,2026-01-01,CU,D,A,A,REASON_CODE_1,LATE,2026-05-07,CUST000123,Nadia Test Customer,TD_CERT_COLL,Td Cert Collector Name 1,TD_WITHDRAWE,3428,TD_TXN_NEXT_001,2026-05-07,152213.6000,725.000,25725.000,175817.6000,92980.0000,25000.000,A,127,0.96000,2026-01-01,601921,789887,DOCUME,D,001,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-01,001,MAI,MAI,MAI,CMA,1.4100,COMME,001,159955,663708,BAE,AUTHORIZE,VAL,M,DESTI,CUST000123,Nadia Test Customer,TD_NEXT_001,Y,D,B,4.50000,3.37000,A,RATE_CODE_,4.05000,M,RETN_,RETN_,194018.400,701996.00000,63041.00000,109302.4000,NAT
002,TD0000000002,PEN,P,18000.000,OFF,100000000002,TD_NEXT_002,8293,Td Withdrawer Name 2,2026-01-02,E,J,JOINT_HOLDER,2026-01-02,PAY,100000000002,PEN,RA,RO,100000000002,INT,PEN,A,G,GE,ADVICE_MEDIA_2,EMAIL_2,2026-01-02,CU,D,A,A,REASON_CODE_2,LATE,2026-05-11,CUST000124,Second Test Customer,TD_CERT_COLL,Td Cert Collector Name 2,TD_WITHDRAWE,8844,TD_TXN_NEXT_002,2026-01-02,2405.7000,20743.800,18480.000,11080.2000,19597.5000,19822.400,A,902811,3.26000,2026-01-02,469752,340216,DOCUME,D,002,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-02,002,MAI,MAI,MAI,CMA,0.9400,COMME,002,778328,886083,BAE,AUTHORIZE,VAL,M,DESTI,CUST000124,CUST000002,TD_NEXT_002,Y,D,B,3.19000,1.08000,A,RATE_CODE_,1.99000,M,RETN_,RETN_,6990.600,927046.00000,816089.00000,3878.5000,NAT
003,100000000003,EUR,P,2116.500,OFF,100000000003,TRN000000000003,2803,Td Withdrawer Name 3,2026-01-03,E,J,JOINT_HOLDER,2026-01-03,PAY,100000000003,EUR,RA,RO,100000000003,INT,EUR,A,G,GE,ADVICE_MEDIA_3,EMAIL_3,2026-01-03,CU,D,A,A,REASON_CODE_3,LATE,2026-01-03,TD_DEPOSITER,Td Depositer Name 3,TD_CERT_COLL,Td Cert Collector Name 3,TD_WITHDRAWE,4290,TXN0000000000000003,2026-01-03,22859.4000,12023.500,14327.100,20701.6000,11388.6000,17913.600,A,486967,3.91000,2026-01-03,62160,323852,DOCUME,D,003,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-03,003,MAI,MAI,MAI,CMA,1.8700,COMME,003,578022,613002,BAE,AUTHORIZE,VAL,M,DESTI,CUST000003,CUST000003,OPERATION_KEY_3,D,D,B,3.06000,2.84000,A,RATE_CODE_,2.35000,M,RETN_,RETN_,9259.500,807407.00000,734180.00000,6126.9000,NAT
004,100000000004,BRL,P,6781.700,OFF,100000000004,TRN000000000004,6341,Td Withdrawer Name 4,2026-01-04,E,J,JOINT_HOLDER,2026-01-04,PAY,100000000004,BRL,RA,RO,100000000004,INT,BRL,A,G,GE,ADVICE_MEDIA_4,EMAIL_4,2026-01-04,CU,D,A,A,REASON_CODE_4,LATE,2026-01-04,TD_DEPOSITER,Td Depositer Name 4,TD_CERT_COLL,Td Cert Collector Name 4,TD_WITHDRAWE,2125,TXN0000000000000004,2026-01-04,24904.3000,22452.600,18841.700,15216.5000,16673.8000,11221.300,A,10153,3.86000,2026-01-04,519524,790104,DOCUME,D,004,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-04,004,MAI,MAI,MAI,CMA,2.6400,COMME,004,508455,955119,BAE,AUTHORIZE,VAL,M,DESTI,CUST000004,CUST000004,OPERATION_KEY_4,D,D,B,3.55000,1.02000,A,RATE_CODE_,1.40000,M,RETN_,RETN_,1466.100,474067.00000,319929.00000,24293.0000,NAT
005,100000000005,USD,P,5810.600,OFF,100000000005,TRN000000000005,236,Td Withdrawer Name 5,2026-01-05,E,J,JOINT_HOLDER,2026-01-05,PAY,100000000005,USD,RA,RO,100000000005,INT,USD,A,G,GE,ADVICE_MEDIA_5,EMAIL_5,2026-01-05,CU,D,A,A,REASON_CODE_5,LATE,2026-01-05,TD_DEPOSITER,Td Depositer Name 5,TD_CERT_COLL,Td Cert Collector Name 5,TD_WITHDRAWE,4080,TXN0000000000000005,2026-01-05,2381.8000,19458.200,16783.900,3633.5000,11726.7000,4963.900,A,340586,3.68000,2026-01-05,610856,392910,DOCUME,D,005,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-05,005,MAI,MAI,MAI,CMA,4.3500,COMME,005,890075,779331,BAE,AUTHORIZE,VAL,M,DESTI,CUST000005,CUST000005,OPERATION_KEY_5,D,D,B,2.23000,3.74000,A,RATE_CODE_,1.91000,M,RETN_,RETN_,14098.800,594534.00000,358576.00000,13270.2000,NAT
006,100000000006,PEN,P,11038.700,OFF,100000000006,TRN000000000006,1593,Td Withdrawer Name 6,2026-01-06,E,J,JOINT_HOLDER,2026-01-06,PAY,100000000006,PEN,RA,RO,100000000006,INT,PEN,A,G,GE,ADVICE_MEDIA_6,EMAIL_6,2026-01-06,CU,D,A,A,REASON_CODE_6,LATE,2026-01-06,TD_DEPOSITER,Td Depositer Name 6,TD_CERT_COLL,Td Cert Collector Name 6,TD_WITHDRAWE,4160,TXN0000000000000006,2026-01-06,6483.8000,9018.300,14421.000,17693.8000,13894.9000,320.000,A,797988,1.67000,2026-01-06,330700,451010,DOCUME,D,006,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-06,006,MAI,MAI,MAI,CMA,0.9600,COMME,006,197682,135343,BAE,AUTHORIZE,VAL,M,DESTI,CUST000006,CUST000006,OPERATION_KEY_6,D,D,B,3.65000,2.98000,A,RATE_CODE_,2.86000,M,RETN_,RETN_,957.100,307471.00000,301602.00000,13710.8000,NAT
007,100000000007,EUR,P,15627.200,OFF,100000000007,TRN000000000007,9796,Td Withdrawer Name 7,2026-01-07,E,J,JOINT_HOLDER,2026-01-07,PAY,100000000007,EUR,RA,RO,100000000007,INT,EUR,A,G,GE,ADVICE_MEDIA_7,EMAIL_7,2026-01-07,CU,D,A,A,REASON_CODE_7,LATE,2026-01-07,TD_DEPOSITER,Td Depositer Name 7,TD_CERT_COLL,Td Cert Collector Name 7,TD_WITHDRAWE,4683,TXN0000000000000007,2026-01-07,14619.3000,8691.000,24835.200,7287.6000,17172.6000,5609.000,A,286648,2.59000,2026-01-07,889022,428848,DOCUME,D,007,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-07,007,MAI,MAI,MAI,CMA,3.7400,COMME,007,910422,757395,BAE,AUTHORIZE,VAL,M,DESTI,CUST000007,CUST000007,OPERATION_KEY_7,D,D,B,2.06000,3.77000,A,RATE_CODE_,3.10000,M,RETN_,RETN_,3040.700,480875.00000,916255.00000,21981.5000,NAT
008,100000000008,BRL,P,7818.200,OFF,100000000008,TRN000000000008,2621,Td Withdrawer Name 8,2026-01-08,E,J,JOINT_HOLDER,2026-01-08,PAY,100000000008,BRL,RA,RO,100000000008,INT,BRL,A,G,GE,ADVICE_MEDIA_8,EMAIL_8,2026-01-08,CU,D,A,A,REASON_CODE_8,LATE,2026-01-08,TD_DEPOSITER,Td Depositer Name 8,TD_CERT_COLL,Td Cert Collector Name 8,TD_WITHDRAWE,7801,TXN0000000000000008,2026-01-08,19583.0000,15116.100,6190.400,23589.2000,19180.6000,18997.800,A,930098,3.80000,2026-01-08,470428,929607,DOCUME,D,008,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-08,008,MAI,MAI,MAI,CMA,1.8300,COMME,008,218009,775400,BAE,AUTHORIZE,VAL,M,DESTI,CUST000008,CUST000008,OPERATION_KEY_8,D,D,B,3.01000,2.36000,A,RATE_CODE_,1.93000,M,RETN_,RETN_,3633.700,15400.00000,110780.00000,2161.0000,NAT
009,100000000009,USD,P,3973.600,OFF,100000000009,TRN000000000009,4356,Td Withdrawer Name 9,2026-01-09,E,J,JOINT_HOLDER,2026-01-09,PAY,100000000009,USD,RA,RO,100000000009,INT,USD,A,G,GE,ADVICE_MEDIA_9,EMAIL_9,2026-01-09,CU,D,A,A,REASON_CODE_9,LATE,2026-01-09,TD_DEPOSITER,Td Depositer Name 9,TD_CERT_COLL,Td Cert Collector Name 9,TD_WITHDRAWE,2619,TXN0000000000000009,2026-01-09,24623.0000,11868.800,8765.200,6128.3000,21524.3000,17089.500,A,297914,1.99000,2026-01-09,704219,710759,DOCUME,D,009,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-09,009,MAI,MAI,MAI,CMA,2.0100,COMME,009,879102,686389,BAE,AUTHORIZE,VAL,M,DESTI,CUST000009,CUST000009,OPERATION_KEY_9,D,D,B,2.88000,3.14000,A,RATE_CODE_,1.42000,M,RETN_,RETN_,12858.800,521001.00000,683689.00000,307.4000,NAT
010,100000000010,PEN,P,5265.900,OFF,100000000010,TRN000000000010,3891,Td Withdrawer Name 10,2026-01-10,E,J,JOINT_HOLDER,2026-01-10,PAY,100000000010,PEN,RA,RO,100000000010,INT,PEN,A,G,GE,ADVICE_MEDIA_10,EMAIL_10,2026-01-10,CU,D,A,A,REASON_CODE_10,LATE,2026-01-10,TD_DEPOSITER,Td Depositer Name 10,TD_CERT_COLL,Td Cert Collector Name 10,TD_WITHDRAWE,2800,TXN0000000000000010,2026-01-10,5609.0000,20994.200,18654.100,20568.1000,12482.9000,6529.500,A,200676,2.19000,2026-01-10,299599,153575,DOCUME,D,010,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-10,010,MAI,MAI,MAI,CMA,1.4400,COMME,010,862706,374138,BAE,AUTHORIZE,VAL,M,DESTI,CUST000010,CUST000010,OPERATION_KEY_1,D,D,B,3.69000,3.38000,A,RATE_CODE_,3.27000,M,RETN_,RETN_,23321.100,193968.00000,627816.00000,2822.1000,NAT
