BRN,ACC,CCY,VERSION_NO,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,CREATION_DT,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_EVENT_SEQ_NO,TENOR,NEXT_RATE_CHANGE_DT,INPUT_TAX_AMT,TD_MATURITY_AMT,TD_INT_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,XREF,TD_PRN_AMT_READJ_CCY,TD_INT_AMT,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,TXN_ID,ARCHIVE_DATE
001,TD0000000001,USD,1476,P,25000.000,OFF,001234567890,TD_NEXT_001,2026-01-01,2026-05-07,CUST000123,Nadia Test Customer,TD_CERT_COLL,Td Cert Collector Name 1,TD_WITHDRAWE,Td Withdrawer Name 1,2026-01-01,E,J,JOINT_HOLDER,2026-01-01,PAY,001234567890,USD,RA,RO,100000000001,INT,USD,A,G,G,ADVICE_MEDIA_1,EMAIL_1,CU,D,A,A,REASON_CODE_1,7222,127,2026-05-07,68316.000,25725.000,34958.4000,181674.4000,XREF_1,150883.2000,725.000,25000.000,A,127,3.31000,2026-01-01,295327,984834,DOCUME,D,001,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-01,001,MAI,MAI,MAI,CMA,0.8400,COMME,001,579943,815329,BAE,AUTHORIZE,VAL,M,DESTI,CUST000123,Nadia Test Customer,TD_NEXT_001,Y,D,B,4.50000,1.96000,A,RATE_CODE_,1.88000,M,RETN_,RETN_,437797.00000,736097.00000,24924.8000,NAT,TD_TXN_NEXT_001,2026-01-01
002,TD0000000002,PEN,8275,P,18000.000,OFF,100000000002,TD_NEXT_002,2026-01-02,2026-05-11,CUST000124,Second Test Customer,TD_CERT_COLL,Td Cert Collector Name 2,TD_WITHDRAWE,Td Withdrawer Name 2,2026-01-02,E,J,JOINT_HOLDER,2026-01-02,PAY,100000000002,PEN,RA,RO,100000000002,INT,PEN,A,G,G,ADVICE_MEDIA_2,EMAIL_2,CU,D,A,A,REASON_CODE_2,5369,5233,2026-01-02,5347.300,18480.000,20466.7000,2824.2000,XREF_2,12011.9000,22472.600,22815.5000,A,730647,1.51000,2026-01-02,258342,25757,DOCUME,D,002,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-02,002,MAI,MAI,MAI,CMA,3.2000,COMME,002,226194,485776,BAE,AUTHORIZE,VAL,M,DESTI,CUST000124,CUST000002,TD_NEXT_002,Y,D,B,3.48000,2.81000,A,RATE_CODE_,2.01000,M,RETN_,RETN_,880666.00000,835236.00000,18575.5000,NAT,TD_TXN_NEXT_002,2026-01-02
003,100000000003,EUR,1614,P,1971.800,OFF,100000000003,TRN000000000003,2026-01-03,2026-01-03,TD_DEPOSITER,Td Depositer Name 3,TD_CERT_COLL,Td Cert Collector Name 3,TD_WITHDRAWE,Td Withdrawer Name 3,2026-01-03,E,J,JOINT_HOLDER,2026-01-03,PAY,100000000003,EUR,RA,RO,100000000003,INT,EUR,A,G,G,ADVICE_MEDIA_3,EMAIL_3,CU,D,A,A,REASON_CODE_3,4940,1053,2026-01-03,21301.500,23278.700,6143.2000,7360.5000,XREF_3,3570.5000,13817.600,15434.7000,A,123193,1.36000,2026-01-03,289288,348664,DOCUME,D,003,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-03,003,MAI,MAI,MAI,CMA,3.7700,COMME,003,425232,634487,BAE,AUTHORIZE,VAL,M,DESTI,CUST000003,CUST000003,OPERATION_KEY_3,D,D,B,3.05000,2.60000,A,RATE_CODE_,0.97000,M,RETN_,RETN_,202416.00000,149370.00000,8159.2000,NAT,TXN0000000000000003,2026-01-03
004,100000000004,BRL,9556,P,21463.000,OFF,100000000004,TRN000000000004,2026-01-04,2026-01-04,TD_DEPOSITER,Td Depositer Name 4,TD_CERT_COLL,Td Cert Collector Name 4,TD_WITHDRAWE,Td Withdrawer Name 4,2026-01-04,E,J,JOINT_HOLDER,2026-01-04,PAY,100000000004,BRL,RA,RO,100000000004,INT,BRL,A,G,G,ADVICE_MEDIA_4,EMAIL_4,CU,D,A,A,REASON_CODE_4,3821,673,2026-01-04,9702.500,2483.000,17791.8000,16780.7000,XREF_4,23295.8000,23475.900,12175.5000,A,846726,1.58000,2026-01-04,424226,269666,DOCUME,D,004,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-04,004,MAI,MAI,MAI,CMA,3.8300,COMME,004,161248,901866,BAE,AUTHORIZE,VAL,M,DESTI,CUST000004,CUST000004,OPERATION_KEY_4,D,D,B,1.11000,1.27000,A,RATE_CODE_,2.10000,M,RETN_,RETN_,179448.00000,881060.00000,7681.2000,NAT,TXN0000000000000004,2026-01-04
005,100000000005,USD,9772,P,20938.700,OFF,100000000005,TRN000000000005,2026-01-05,2026-01-05,TD_DEPOSITER,Td Depositer Name 5,TD_CERT_COLL,Td Cert Collector Name 5,TD_WITHDRAWE,Td Withdrawer Name 5,2026-01-05,E,J,JOINT_HOLDER,2026-01-05,PAY,100000000005,USD,RA,RO,100000000005,INT,USD,A,G,G,ADVICE_MEDIA_5,EMAIL_5,CU,D,A,A,REASON_CODE_5,5584,9595,2026-01-05,2893.300,23508.900,18152.2000,2347.7000,XREF_5,16182.2000,10279.400,22607.3000,A,621405,3.61000,2026-01-05,38410,406506,DOCUME,D,005,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-05,005,MAI,MAI,MAI,CMA,2.7600,COMME,005,620364,312335,BAE,AUTHORIZE,VAL,M,DESTI,CUST000005,CUST000005,OPERATION_KEY_5,D,D,B,2.88000,2.22000,A,RATE_CODE_,3.53000,M,RETN_,RETN_,736861.00000,731796.00000,22664.4000,NAT,TXN0000000000000005,2026-01-05
006,100000000006,PEN,2335,P,8532.300,OFF,100000000006,TRN000000000006,2026-01-06,2026-01-06,TD_DEPOSITER,Td Depositer Name 6,TD_CERT_COLL,Td Cert Collector Name 6,TD_WITHDRAWE,Td Withdrawer Name 6,2026-01-06,E,J,JOINT_HOLDER,2026-01-06,PAY,100000000006,PEN,RA,RO,100000000006,INT,PEN,A,G,G,ADVICE_MEDIA_6,EMAIL_6,CU,D,A,A,REASON_CODE_6,5609,2775,2026-01-06,5403.500,11062.800,12051.1000,14653.2000,XREF_6,15848.5000,3414.500,11056.5000,A,71220,3.82000,2026-01-06,630846,923232,DOCUME,D,006,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-06,006,MAI,MAI,MAI,CMA,2.2300,COMME,006,763704,437268,BAE,AUTHORIZE,VAL,M,DESTI,CUST000006,CUST000006,OPERATION_KEY_6,D,D,B,1.23000,2.85000,A,RATE_CODE_,1.86000,M,RETN_,RETN_,838967.00000,926240.00000,928.8000,NAT,TXN0000000000000006,2026-01-06
007,100000000007,EUR,3118,P,18745.000,OFF,100000000007,TRN000000000007,2026-01-07,2026-01-07,TD_DEPOSITER,Td Depositer Name 7,TD_CERT_COLL,Td Cert Collector Name 7,TD_WITHDRAWE,Td Withdrawer Name 7,2026-01-07,E,J,JOINT_HOLDER,2026-01-07,PAY,100000000007,EUR,RA,RO,100000000007,INT,EUR,A,G,G,ADVICE_MEDIA_7,EMAIL_7,CU,D,A,A,REASON_CODE_7,2999,42,2026-01-07,14248.200,8287.700,15425.1000,21678.8000,XREF_7,15717.2000,20258.000,15209.7000,A,252395,4.43000,2026-01-07,42486,190118,DOCUME,D,007,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-07,007,MAI,MAI,MAI,CMA,2.4400,COMME,007,996224,33211,BAE,AUTHORIZE,VAL,M,DESTI,CUST000007,CUST000007,OPERATION_KEY_7,D,D,B,2.23000,2.00000,A,RATE_CODE_,1.66000,M,RETN_,RETN_,412556.00000,969379.00000,1276.2000,NAT,TXN0000000000000007,2026-01-07
008,100000000008,BRL,6556,P,4325.500,OFF,100000000008,TRN000000000008,2026-01-08,2026-01-08,TD_DEPOSITER,Td Depositer Name 8,TD_CERT_COLL,Td Cert Collector Name 8,TD_WITHDRAWE,Td Withdrawer Name 8,2026-01-08,E,J,JOINT_HOLDER,2026-01-08,PAY,100000000008,BRL,RA,RO,100000000008,INT,BRL,A,G,G,ADVICE_MEDIA_8,EMAIL_8,CU,D,A,A,REASON_CODE_8,3301,3358,2026-01-08,4692.800,1962.700,6983.7000,4213.2000,XREF_8,4716.9000,13349.800,1714.5000,A,455200,4.37000,2026-01-08,342645,848490,DOCUME,D,008,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-08,008,MAI,MAI,MAI,CMA,2.2400,COMME,008,69872,905077,BAE,AUTHORIZE,VAL,M,DESTI,CUST000008,CUST000008,OPERATION_KEY_8,D,D,B,4.36000,1.76000,A,RATE_CODE_,2.08000,M,RETN_,RETN_,596318.00000,483094.00000,24323.5000,NAT,TXN0000000000000008,2026-01-08
009,100000000009,USD,2548,P,12421.900,OFF,100000000009,TRN000000000009,2026-01-09,2026-01-09,TD_DEPOSITER,Td Depositer Name 9,TD_CERT_COLL,Td Cert Collector Name 9,TD_WITHDRAWE,Td Withdrawer Name 9,2026-01-09,E,J,JOINT_HOLDER,2026-01-09,PAY,100000000009,USD,RA,RO,100000000009,INT,USD,A,G,G,ADVICE_MEDIA_9,EMAIL_9,CU,D,A,A,REASON_CODE_9,774,1498,2026-01-09,17072.500,18769.600,2895.9000,13744.4000,XREF_9,19802.7000,20696.800,8115.7000,A,512711,4.26000,2026-01-09,448429,369477,DOCUME,D,009,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-09,009,MAI,MAI,MAI,CMA,3.4900,COMME,009,135201,575983,BAE,AUTHORIZE,VAL,M,DESTI,CUST000009,CUST000009,OPERATION_KEY_9,D,D,B,1.84000,2.47000,A,RATE_CODE_,3.97000,M,RETN_,RETN_,918276.00000,214714.00000,13356.3000,NAT,TXN0000000000000009,2026-01-09
010,100000000010,PEN,5517,P,15215.300,OFF,100000000010,TRN000000000010,2026-01-10,2026-01-10,TD_DEPOSITER,Td Depositer Name 10,TD_CERT_COLL,Td Cert Collector Name 10,TD_WITHDRAWE,Td Withdrawer Name 10,2026-01-10,E,J,JOINT_HOLDER,2026-01-10,PAY,100000000010,PEN,RA,RO,100000000010,INT,PEN,A,G,G,ADVICE_MEDIA_10,EMAIL_10,CU,D,A,A,REASON_CODE_10,1789,3317,2026-01-10,20499.500,10715.200,13984.2000,10519.4000,XREF_10,4135.1000,2202.300,17777.8000,A,273625,2.52000,2026-01-10,618539,866158,DOCUME,D,010,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-10,010,MAI,MAI,MAI,CMA,2.8500,COMME,010,630798,883699,BAE,AUTHORIZE,VAL,M,DESTI,CUST000010,CUST000010,OPERATION_KEY_1,D,D,B,3.32000,0.86000,A,RATE_CODE_,1.10000,M,RETN_,RETN_,907614.00000,255124.00000,20441.4000,NAT,TXN0000000000000010,2026-01-10
