ACCOUNT_NUMBER,BRANCH_CODE,EVENT_SEQ_NO,VALUE_DATE,EXECUTION_DATE,PAYMENT_STATUS,AUTH_STAT,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,REV_MAKER_ID,REV_MAKER_DT_STAMP,REV_CHECKER_ID,REV_CHECKER_DT_STAMP,REVP_ESN,MLIQ_ESN,PROCESS_NO,PREPMNT_RECOMP_BASIS,PREPMNT_RECOMP_FROM,INSTALLMENT_PAYMENT,LIMIT_DATE,SIMULATED,CURR_ACBAL_CHK,LIQD_WOFF_LOAN
100000000001,001,362729,2026-01-01,2026-01-01,P,U,MAKER_ID_1,2026-01-01,CHECKER_ID_1,2026-01-01,REV_MAKER_ID,2026-01-01,REV_CHECKER_,2026-01-01,913520,118285,8,P,P,I,2026-01-01,S,C,L
100000000002,002,272052,2026-01-02,2026-01-02,P,A,MAKER_ID_2,2026-01-02,CHECKER_ID_2,2026-01-02,REV_MAKER_ID,2026-01-02,REV_CHECKER_,2026-01-02,817009,238555,16,P,P,I,2026-01-02,S,C,L
100000000003,003,340821,2026-01-03,2026-01-03,P,A,MAKER_ID_3,2026-01-03,CHECKER_ID_3,2026-01-03,REV_MAKER_ID,2026-01-03,REV_CHECKER_,2026-01-03,339422,846220,16,P,P,I,2026-01-03,S,C,L
100000000004,004,527964,2026-01-04,2026-01-04,P,A,MAKER_ID_4,2026-01-04,CHECKER_ID_4,2026-01-04,REV_MAKER_ID,2026-01-04,REV_CHECKER_,2026-01-04,962782,947303,3,P,P,I,2026-01-04,S,C,L
100000000005,005,597627,2026-01-05,2026-01-05,P,A,MAKER_ID_5,2026-01-05,CHECKER_ID_5,2026-01-05,REV_MAKER_ID,2026-01-05,REV_CHECKER_,2026-01-05,804089,632437,7,P,P,I,2026-01-05,S,C,L
100000000006,006,57806,2026-01-06,2026-01-06,P,A,MAKER_ID_6,2026-01-06,CHECKER_ID_6,2026-01-06,REV_MAKER_ID,2026-01-06,REV_CHECKER_,2026-01-06,362584,115336,57,P,P,I,2026-01-06,S,C,L
100000000007,007,406965,2026-01-07,2026-01-07,P,A,MAKER_ID_7,2026-01-07,CHECKER_ID_7,2026-01-07,REV_MAKER_ID,2026-01-07,REV_CHECKER_,2026-01-07,615972,30433,98,P,P,I,2026-01-07,S,C,L
100000000008,008,632827,2026-01-08,2026-01-08,P,A,MAKER_ID_8,2026-01-08,CHECKER_ID_8,2026-01-08,REV_MAKER_ID,2026-01-08,REV_CHECKER_,2026-01-08,944451,256450,39,P,P,I,2026-01-08,S,C,L
100000000009,009,599087,2026-01-09,2026-01-09,P,A,MAKER_ID_9,2026-01-09,CHECKER_ID_9,2026-01-09,REV_MAKER_ID,2026-01-09,REV_CHECKER_,2026-01-09,14804,405104,20,P,P,I,2026-01-09,S,C,L
100000000010,010,550532,2026-01-10,2026-01-10,P,A,MAKER_ID_10,2026-01-10,CHECKER_ID_1,2026-01-10,REV_MAKER_ID,2026-01-10,REV_CHECKER_,2026-01-10,258220,471411,82,P,P,I,2026-01-10,S,C,L
