BRN,ACC,CALC_ACC,BOOK_ACC,HAS_IS,INT_START_DATE,LAST_IS_DATE,ACC_TYPE,BOOK_BRN,SHOW_BV_IS,BVT_DATE,CHARGE_ACC,BOOK_CCY,CHARGE_CCY,COMBVT_DATE,VERSION_NO,AUTO_ROLLOVER,CLOSE_ON_MATURITY,MOVE_INT_TO_UNCLAIMED,MOVE_PRIC_TO_UNCLAIMED,MATURITY_DATE,PRINC_LIQ_AC,ROLLOVER_TYPE,ROLLOVER_AMT,PRINC_LIQ_BRANCH,NEXT_MATURITY_DATE,HAS_DRCR_ADV,RD_FLAG,RD_AUTO_PMNT_TAKEDOWN,RD_MOVE_MAT_TO_UNCLAIMED,RD_MOVE_FUNDS_ON_OVD,RD_TAKEDOWN_DAYS,RD_TAKEDOWN_MONTHS,RD_TAKEDOWN_YEARS,RD_PAYMENT_ACC,RD_PAYMENT_BRN,RD_PAYMENT_CCY,RD_INSTALLMENT_AMT,RD_PAY_SCHDT,OVERRIDE_AMT_BLOCK,CHG_START_DATE,CHARGE_BRN,REDIRECT_LCY_ENTRIES,PRINC_LIQ_MODE,PRINC_LIQ_CCY,ARCHIVE_DATE,REFERENCE_NO
001,100000000001,100000000001,100000000001,H,2026-01-01,2026-01-01,1,BOO,S,2026-01-01,100000000001,USD,USD,2026-01-01,170774,A,C,M,M,2026-01-01,PRINC_LIQ_AC_1,R,48304,001,2026-01-01,D,Y,R,R,R,8,8031,53150,100000000001,RD_,USD,94146.400,2026-01-01,O,2026-01-01,CHA,R,PRI,USD,2026-01-01,TRN000000000001
002,100000000002,100000000002,100000000002,H,2026-01-02,2026-01-02,1,BOO,S,2026-01-02,100000000002,PEN,PEN,2026-01-02,641972,A,C,M,M,2026-01-02,PRINC_LIQ_AC_2,R,1115,002,2026-01-02,C,N,R,R,R,12,63146,56222,100000000002,RD_,PEN,1034.000,2026-01-02,O,2026-01-02,CHA,R,PRI,PEN,2026-01-02,TRN000000000002
003,100000000003,100000000003,100000000003,H,2026-01-03,2026-01-03,1,BOO,S,2026-01-03,100000000003,EUR,EUR,2026-01-03,819433,A,C,M,M,2026-01-03,PRINC_LIQ_AC_3,R,14733,003,2026-01-03,D,N,R,R,R,30,36935,71285,100000000003,RD_,EUR,17278.600,2026-01-03,O,2026-01-03,CHA,R,PRI,EUR,2026-01-03,TRN000000000003
004,100000000004,100000000004,100000000004,H,2026-01-04,2026-01-04,1,BOO,S,2026-01-04,100000000004,BRL,BRL,2026-01-04,315048,A,C,M,M,2026-01-04,PRINC_LIQ_AC_4,R,21817,004,2026-01-04,C,N,R,R,R,31,33945,80946,100000000004,RD_,BRL,12092.300,2026-01-04,O,2026-01-04,CHA,R,PRI,BRL,2026-01-04,TRN000000000004
005,100000000005,100000000005,100000000005,H,2026-01-05,2026-01-05,1,BOO,S,2026-01-05,100000000005,USD,USD,2026-01-05,55801,A,C,M,M,2026-01-05,PRINC_LIQ_AC_5,R,21097,005,2026-01-05,D,N,R,R,R,3,72195,63186,100000000005,RD_,USD,21899.300,2026-01-05,O,2026-01-05,CHA,R,PRI,USD,2026-01-05,TRN000000000005
006,100000000006,100000000006,100000000006,H,2026-01-06,2026-01-06,1,BOO,S,2026-01-06,100000000006,PEN,PEN,2026-01-06,792582,A,C,M,M,2026-01-06,PRINC_LIQ_AC_6,R,21321,006,2026-01-06,C,Y,R,R,R,34,84155,58525,100000000006,RD_,PEN,3550.900,2026-01-06,O,2026-01-06,CHA,R,PRI,PEN,2026-01-06,TRN000000000006
007,100000000007,100000000007,100000000007,H,2026-01-07,2026-01-07,1,BOO,S,2026-01-07,100000000007,EUR,EUR,2026-01-07,998750,A,C,M,M,2026-01-07,PRINC_LIQ_AC_7,R,13087,007,2026-01-07,D,N,R,R,R,17,69045,84674,100000000007,RD_,EUR,17133.100,2026-01-07,O,2026-01-07,CHA,R,PRI,EUR,2026-01-07,TRN000000000007
008,100000000008,100000000008,100000000008,H,2026-01-08,2026-01-08,1,BOO,S,2026-01-08,100000000008,BRL,BRL,2026-01-08,187105,A,C,M,M,2026-01-08,PRINC_LIQ_AC_8,R,17798,008,2026-01-08,C,N,R,R,R,21,29330,58430,100000000008,RD_,BRL,15393.000,2026-01-08,O,2026-01-08,CHA,R,PRI,BRL,2026-01-08,TRN000000000008
009,100000000009,100000000009,100000000009,H,2026-01-09,2026-01-09,1,BOO,S,2026-01-09,100000000009,USD,USD,2026-01-09,402254,A,C,M,M,2026-01-09,PRINC_LIQ_AC_9,R,20604,009,2026-01-09,D,N,R,R,R,28,82286,68402,100000000009,RD_,USD,13987.900,2026-01-09,O,2026-01-09,CHA,R,PRI,USD,2026-01-09,TRN000000000009
010,100000000010,100000000010,100000000010,H,2026-01-10,2026-01-10,1,BOO,S,2026-01-10,100000000010,PEN,PEN,2026-01-10,821985,A,C,M,M,2026-01-10,PRINC_LIQ_AC_10,R,19442,010,2026-01-10,C,N,R,R,R,35,11960,4800,100000000010,RD_,PEN,10907.100,2026-01-10,O,2026-01-10,CHA,R,PRI,PEN,2026-01-10,TRN000000000010
011,100000000011,100000000011,100000000011,H,2026-01-11,2026-01-11,1,BOO,S,2026-01-11,100000000011,EUR,EUR,2026-01-11,187033,A,C,M,M,2026-01-11,PRINC_LIQ_AC_11,R,8724,011,2026-01-11,D,Y,R,R,R,18,63443,79057,100000000011,RD_,EUR,21049.700,2026-01-11,O,2026-01-11,CHA,R,PRI,EUR,2026-01-11,TRN000000000011
012,100000000012,100000000012,100000000012,H,2026-01-12,2026-01-12,1,BOO,S,2026-01-12,100000000012,BRL,BRL,2026-01-12,740899,A,C,M,M,2026-01-12,PRINC_LIQ_AC_12,R,12765,012,2026-01-12,C,N,R,R,R,10,94984,5496,100000000012,RD_,BRL,22949.000,2026-01-12,O,2026-01-12,CHA,R,PRI,BRL,2026-01-12,TRN000000000012
013,100000000013,100000000013,100000000013,H,2026-01-13,2026-01-13,1,BOO,S,2026-01-13,100000000013,USD,USD,2026-01-13,791230,A,C,M,M,2026-01-13,PRINC_LIQ_AC_13,R,5070,013,2026-01-13,D,N,R,R,R,12,93814,5470,100000000013,RD_,USD,2230.100,2026-01-13,O,2026-01-13,CHA,R,PRI,USD,2026-01-13,TRN000000000013
014,100000000014,100000000014,100000000014,H,2026-01-14,2026-01-14,1,BOO,S,2026-01-14,100000000014,PEN,PEN,2026-01-14,219509,A,C,M,M,2026-01-14,PRINC_LIQ_AC_14,R,24789,014,2026-01-14,C,N,R,R,R,26,83421,79889,100000000014,RD_,PEN,915.600,2026-01-14,O,2026-01-14,CHA,R,PRI,PEN,2026-01-14,TRN000000000014
015,100000000015,100000000015,100000000015,H,2026-01-15,2026-01-15,1,BOO,S,2026-01-15,100000000015,EUR,EUR,2026-01-15,829766,A,C,M,M,2026-01-15,PRINC_LIQ_AC_15,R,10254,015,2026-01-15,D,N,R,R,R,23,75675,99509,100000000015,RD_,EUR,2889.000,2026-01-15,O,2026-01-15,CHA,R,PRI,EUR,2026-01-15,TRN000000000015
016,100000000016,100000000016,100000000016,H,2026-01-16,2026-01-16,1,BOO,S,2026-01-16,100000000016,BRL,BRL,2026-01-16,240803,A,C,M,M,2026-01-16,PRINC_LIQ_AC_16,R,1107,016,2026-01-16,C,Y,R,R,R,33,46405,33935,100000000016,RD_,BRL,22407.200,2026-01-16,O,2026-01-16,CHA,R,PRI,BRL,2026-01-16,TRN000000000016
017,100000000017,100000000017,100000000017,H,2026-01-17,2026-01-17,1,BOO,S,2026-01-17,100000000017,USD,USD,2026-01-17,329676,A,C,M,M,2026-01-17,PRINC_LIQ_AC_17,R,10033,017,2026-01-17,D,N,R,R,R,15,62882,76337,100000000017,RD_,USD,21476.100,2026-01-17,O,2026-01-17,CHA,R,PRI,USD,2026-01-17,TRN000000000017
018,100000000018,100000000018,100000000018,H,2026-01-18,2026-01-18,1,BOO,S,2026-01-18,100000000018,PEN,PEN,2026-01-18,893570,A,C,M,M,2026-01-18,PRINC_LIQ_AC_18,R,5363,018,2026-01-18,C,N,R,R,R,24,28725,32229,100000000018,RD_,PEN,16005.600,2026-01-18,O,2026-01-18,CHA,R,PRI,PEN,2026-01-18,TRN000000000018
019,100000000019,100000000019,100000000019,H,2026-01-19,2026-01-19,1,BOO,S,2026-01-19,100000000019,EUR,EUR,2026-01-19,484130,A,C,M,M,2026-01-19,PRINC_LIQ_AC_19,R,2633,019,2026-01-19,D,N,R,R,R,4,13963,40747,100000000019,RD_,EUR,19724.900,2026-01-19,O,2026-01-19,CHA,R,PRI,EUR,2026-01-19,TRN000000000019
020,100000000020,100000000020,100000000020,H,2026-01-20,2026-01-20,1,BOO,S,2026-01-20,100000000020,BRL,BRL,2026-01-20,651054,A,C,M,M,2026-01-20,PRINC_LIQ_AC_20,R,5185,020,2026-01-20,C,N,R,R,R,22,17235,93612,100000000020,RD_,BRL,4896.900,2026-01-20,O,2026-01-20,CHA,R,PRI,BRL,2026-01-20,TRN000000000020
021,100000000021,100000000021,100000000021,H,2026-01-21,2026-01-21,1,BOO,S,2026-01-21,100000000021,USD,USD,2026-01-21,914614,A,C,M,M,2026-01-21,PRINC_LIQ_AC_21,R,15478,021,2026-01-21,D,Y,R,R,R,17,37721,7410,100000000021,RD_,USD,11015.900,2026-01-21,O,2026-01-21,CHA,R,PRI,USD,2026-01-21,TRN000000000021
022,100000000022,100000000022,100000000022,H,2026-01-22,2026-01-22,1,BOO,S,2026-01-22,100000000022,PEN,PEN,2026-01-22,568336,A,C,M,M,2026-01-22,PRINC_LIQ_AC_22,R,15571,022,2026-01-22,C,N,R,R,R,27,58382,38029,100000000022,RD_,PEN,16351.600,2026-01-22,O,2026-01-22,CHA,R,PRI,PEN,2026-01-22,TRN000000000022
023,100000000023,100000000023,100000000023,H,2026-01-23,2026-01-23,1,BOO,S,2026-01-23,100000000023,EUR,EUR,2026-01-23,742397,A,C,M,M,2026-01-23,PRINC_LIQ_AC_23,R,19002,023,2026-01-23,D,N,R,R,R,6,76665,99094,100000000023,RD_,EUR,14089.700,2026-01-23,O,2026-01-23,CHA,R,PRI,EUR,2026-01-23,TRN000000000023
024,100000000024,100000000024,100000000024,H,2026-01-24,2026-01-24,1,BOO,S,2026-01-24,100000000024,BRL,BRL,2026-01-24,237050,A,C,M,M,2026-01-24,PRINC_LIQ_AC_24,R,10615,024,2026-01-24,C,N,R,R,R,21,20524,98395,100000000024,RD_,BRL,2431.500,2026-01-24,O,2026-01-24,CHA,R,PRI,BRL,2026-01-24,TRN000000000024
025,100000000025,100000000025,100000000025,H,2026-01-25,2026-01-25,1,BOO,S,2026-01-25,100000000025,USD,USD,2026-01-25,349116,A,C,M,M,2026-01-25,PRINC_LIQ_AC_25,R,12426,025,2026-01-25,D,N,R,R,R,31,88624,17260,100000000025,RD_,USD,16135.900,2026-01-25,O,2026-01-25,CHA,R,PRI,USD,2026-01-25,TRN000000000025
001,100000000026,100000000026,100000000026,H,2026-01-26,2026-01-26,1,BOO,S,2026-01-26,100000000026,PEN,PEN,2026-01-26,567027,A,C,M,M,2026-01-26,PRINC_LIQ_AC_26,R,15738,001,2026-01-26,C,Y,R,R,R,13,36513,91880,100000000026,RD_,PEN,11570.000,2026-01-26,O,2026-01-26,CHA,R,PRI,PEN,2026-01-26,TRN000000000026
002,100000000027,100000000027,100000000027,H,2026-01-27,2026-01-27,1,BOO,S,2026-01-27,100000000027,EUR,EUR,2026-01-27,61880,A,C,M,M,2026-01-27,PRINC_LIQ_AC_27,R,1016,002,2026-01-27,D,N,R,R,R,22,16619,52887,100000000027,RD_,EUR,21670.500,2026-01-27,O,2026-01-27,CHA,R,PRI,EUR,2026-01-27,TRN000000000027
003,100000000028,100000000028,100000000028,H,2026-01-28,2026-01-28,1,BOO,S,2026-01-28,100000000028,BRL,BRL,2026-01-28,127364,A,C,M,M,2026-01-28,PRINC_LIQ_AC_28,R,6915,003,2026-01-28,C,N,R,R,R,22,26193,93507,100000000028,RD_,BRL,24788.400,2026-01-28,O,2026-01-28,CHA,R,PRI,BRL,2026-01-28,TRN000000000028
004,100000000029,100000000029,100000000029,H,2026-01-29,2026-01-29,1,BOO,S,2026-01-29,100000000029,USD,USD,2026-01-29,577284,A,C,M,M,2026-01-29,PRINC_LIQ_AC_29,R,8504,004,2026-01-29,D,N,R,R,R,14,12271,25288,100000000029,RD_,USD,22332.800,2026-01-29,O,2026-01-29,CHA,R,PRI,USD,2026-01-29,TRN000000000029
005,100000000030,100000000030,100000000030,H,2026-01-30,2026-01-30,1,BOO,S,2026-01-30,100000000030,PEN,PEN,2026-01-30,82787,A,C,M,M,2026-01-30,PRINC_LIQ_AC_30,R,18398,005,2026-01-30,C,N,R,R,R,9,67729,17911,100000000030,RD_,PEN,5215.900,2026-01-30,O,2026-01-30,CHA,R,PRI,PEN,2026-01-30,TRN000000000030
006,100000000031,100000000031,100000000031,H,2026-01-31,2026-01-31,1,BOO,S,2026-01-31,100000000031,EUR,EUR,2026-01-31,179551,A,C,M,M,2026-01-31,PRINC_LIQ_AC_31,R,4845,006,2026-01-31,D,Y,R,R,R,21,39300,64006,100000000031,RD_,EUR,15695.600,2026-01-31,O,2026-01-31,CHA,R,PRI,EUR,2026-01-31,TRN000000000031
007,100000000032,100000000032,100000000032,H,2026-02-01,2026-02-01,1,BOO,S,2026-02-01,100000000032,BRL,BRL,2026-02-01,119978,A,C,M,M,2026-02-01,PRINC_LIQ_AC_32,R,19328,007,2026-02-01,C,N,R,R,R,25,60996,46177,100000000032,RD_,BRL,7301.300,2026-02-01,O,2026-02-01,CHA,R,PRI,BRL,2026-02-01,TRN000000000032
008,100000000033,100000000033,100000000033,H,2026-02-02,2026-02-02,1,BOO,S,2026-02-02,100000000033,USD,USD,2026-02-02,79755,A,C,M,M,2026-02-02,PRINC_LIQ_AC_33,R,19272,008,2026-02-02,D,N,R,R,R,20,37428,64625,100000000033,RD_,USD,10600.200,2026-02-02,O,2026-02-02,CHA,R,PRI,USD,2026-02-02,TRN000000000033
009,100000000034,100000000034,100000000034,H,2026-02-03,2026-02-03,1,BOO,S,2026-02-03,100000000034,PEN,PEN,2026-02-03,338084,A,C,M,M,2026-02-03,PRINC_LIQ_AC_34,R,24280,009,2026-02-03,C,N,R,R,R,17,83911,45085,100000000034,RD_,PEN,24648.400,2026-02-03,O,2026-02-03,CHA,R,PRI,PEN,2026-02-03,TRN000000000034
010,100000000035,100000000035,100000000035,H,2026-02-04,2026-02-04,1,BOO,S,2026-02-04,100000000035,EUR,EUR,2026-02-04,85703,A,C,M,M,2026-02-04,PRINC_LIQ_AC_35,R,24724,010,2026-02-04,D,N,R,R,R,13,29406,21431,100000000035,RD_,EUR,3107.800,2026-02-04,O,2026-02-04,CHA,R,PRI,EUR,2026-02-04,TRN000000000035
011,100000000036,100000000036,100000000036,H,2026-02-05,2026-02-05,1,BOO,S,2026-02-05,100000000036,BRL,BRL,2026-02-05,181768,A,C,M,M,2026-02-05,PRINC_LIQ_AC_36,R,6723,011,2026-02-05,C,Y,R,R,R,30,7989,49130,100000000036,RD_,BRL,22685.300,2026-02-05,O,2026-02-05,CHA,R,PRI,BRL,2026-02-05,TRN000000000036
012,100000000037,100000000037,100000000037,H,2026-02-06,2026-02-06,1,BOO,S,2026-02-06,100000000037,USD,USD,2026-02-06,574552,A,C,M,M,2026-02-06,PRINC_LIQ_AC_37,R,6580,012,2026-02-06,D,N,R,R,R,20,99073,63488,100000000037,RD_,USD,9001.300,2026-02-06,O,2026-02-06,CHA,R,PRI,USD,2026-02-06,TRN000000000037
013,100000000038,100000000038,100000000038,H,2026-02-07,2026-02-07,1,BOO,S,2026-02-07,100000000038,PEN,PEN,2026-02-07,199071,A,C,M,M,2026-02-07,PRINC_LIQ_AC_38,R,166399,013,2026-02-07,C,N,R,R,R,6,52224,74199,100000000038,RD_,PEN,60093.600,2026-02-07,O,2026-02-07,CHA,R,PRI,PEN,2026-02-07,TRN000000000038
014,100000000039,100000000039,100000000039,H,2026-02-08,2026-02-08,1,BOO,S,2026-02-08,100000000039,EUR,EUR,2026-02-08,485048,A,C,M,M,2026-02-08,PRINC_LIQ_AC_39,R,15514,014,2026-02-08,D,N,R,R,R,21,26073,33454,100000000039,RD_,EUR,7076.100,2026-02-08,O,2026-02-08,CHA,R,PRI,EUR,2026-02-08,TRN000000000039
015,100000000040,100000000040,100000000040,H,2026-02-09,2026-02-09,1,BOO,S,2026-02-09,100000000040,BRL,BRL,2026-02-09,392131,A,C,M,M,2026-02-09,PRINC_LIQ_AC_40,R,8101,015,2026-02-09,C,N,R,R,R,5,85679,66486,100000000040,RD_,BRL,725.500,2026-02-09,O,2026-02-09,CHA,R,PRI,BRL,2026-02-09,TRN000000000040
016,100000000041,100000000041,100000000041,H,2026-02-10,2026-02-10,1,BOO,S,2026-02-10,100000000041,USD,USD,2026-02-10,263709,A,C,M,M,2026-02-10,PRINC_LIQ_AC_41,R,16168,016,2026-02-10,D,Y,R,R,R,5,63341,52496,100000000041,RD_,USD,4602.200,2026-02-10,O,2026-02-10,CHA,R,PRI,USD,2026-02-10,TRN000000000041
017,100000000042,100000000042,100000000042,H,2026-02-11,2026-02-11,1,BOO,S,2026-02-11,100000000042,PEN,PEN,2026-02-11,319928,A,C,M,M,2026-02-11,PRINC_LIQ_AC_42,R,4680,017,2026-02-11,C,N,R,R,R,20,30606,52301,100000000042,RD_,PEN,23140.600,2026-02-11,O,2026-02-11,CHA,R,PRI,PEN,2026-02-11,TRN000000000042
018,100000000043,100000000043,100000000043,H,2026-02-12,2026-02-12,1,BOO,S,2026-02-12,100000000043,EUR,EUR,2026-02-12,795458,A,C,M,M,2026-02-12,PRINC_LIQ_AC_43,R,33,018,2026-02-12,D,N,R,R,R,26,72040,81000,100000000043,RD_,EUR,7503.900,2026-02-12,O,2026-02-12,CHA,R,PRI,EUR,2026-02-12,TRN000000000043
