BRN,ACC,PROD,UDE_EFF_DT,UDE_ID,UDE_VALUE,RATE_CODE,AUTH_STAT,RECORD_STAT,VERSION_NO,WAIVE_NOTARY_CHARGE,VALIDATE_MCR
001,100000000001,PROD,2026-01-01,UDE_ID_1,763287.00000,RATE_CODE_,U,O,3834,W,V
002,100000000002,PROD,2026-01-02,UDE_ID_2,536666.00000,RATE_CODE_,A,O,260,W,V
003,100000000003,PROD,2026-01-03,UDE_ID_3,660851.00000,RATE_CODE_,A,O,2953,W,V
004,100000000004,PROD,2026-01-04,UDE_ID_4,888961.00000,RATE_CODE_,A,O,5353,W,V
005,100000000005,PROD,2026-01-05,UDE_ID_5,476019.00000,RATE_CODE_,A,O,9445,W,V
006,100000000006,PROD,2026-01-06,UDE_ID_6,943553.00000,RATE_CODE_,A,O,6979,W,V
007,100000000007,PROD,2026-01-07,UDE_ID_7,125698.00000,RATE_CODE_,A,O,4483,W,V
008,100000000008,PROD,2026-01-08,UDE_ID_8,167382.00000,RATE_CODE_,A,O,7068,W,V
009,100000000009,PROD,2026-01-09,UDE_ID_9,315130.00000,RATE_CODE_,A,O,147,W,V
010,100000000010,PROD,2026-01-10,UDE_ID_10,17701.00000,RATE_CODE_,A,O,8030,W,V
011,100000000011,PROD,2026-01-11,UDE_ID_11,186700.00000,RATE_CODE_,A,O,8700,W,V
012,100000000012,PROD,2026-01-12,UDE_ID_12,649205.00000,RATE_CODE_,A,O,9276,W,V
013,100000000013,PROD,2026-01-13,UDE_ID_13,113274.00000,RATE_CODE_,A,O,4656,W,V
014,100000000014,PROD,2026-01-14,UDE_ID_14,434893.00000,RATE_CODE_,A,O,3818,W,V
015,100000000015,PROD,2026-01-15,UDE_ID_15,317120.00000,RATE_CODE_,A,O,8246,W,V
016,100000000016,PROD,2026-01-16,UDE_ID_16,900466.00000,RATE_CODE_,A,O,6586,W,V
017,100000000017,PROD,2026-01-17,UDE_ID_17,30036.00000,RATE_CODE_,A,O,2707,W,V
018,100000000018,PROD,2026-01-18,UDE_ID_18,32617.00000,RATE_CODE_,A,O,4792,W,V
019,100000000019,PROD,2026-01-19,UDE_ID_19,639656.00000,RATE_CODE_,A,O,3542,W,V
020,100000000020,PROD,2026-01-20,UDE_ID_20,444219.00000,RATE_CODE_,A,O,6576,W,V
021,100000000021,PROD,2026-01-21,UDE_ID_21,284589.00000,RATE_CODE_,A,O,6432,W,V
022,100000000022,PROD,2026-01-22,UDE_ID_22,805992.00000,RATE_CODE_,A,O,3806,W,V
023,100000000023,PROD,2026-01-23,UDE_ID_23,457929.00000,RATE_CODE_,A,O,3546,W,V
024,100000000024,PROD,2026-01-24,UDE_ID_24,578044.00000,RATE_CODE_,U,O,2247,W,V
025,100000000025,PROD,2026-01-25,UDE_ID_25,172872.00000,RATE_CODE_,A,O,5410,W,V
001,100000000026,PROD,2026-01-26,UDE_ID_26,987721.00000,RATE_CODE_,A,O,4380,W,V
002,100000000027,PROD,2026-01-27,UDE_ID_27,215857.00000,RATE_CODE_,A,O,4501,W,V
003,100000000028,PROD,2026-01-28,UDE_ID_28,521610.00000,RATE_CODE_,A,O,8918,W,V
004,100000000029,PROD,2026-01-29,UDE_ID_29,620894.00000,RATE_CODE_,A,O,126,W,V
005,100000000030,PROD,2026-01-30,UDE_ID_30,707137.00000,RATE_CODE_,A,O,6655,W,V
006,100000000031,PROD,2026-01-31,UDE_ID_31,86862.00000,RATE_CODE_,A,O,1013,W,V
007,100000000032,PROD,2026-02-01,UDE_ID_32,327221.00000,RATE_CODE_,A,O,8607,W,V
008,100000000033,PROD,2026-02-02,UDE_ID_33,90336.00000,RATE_CODE_,A,O,2631,W,V
009,100000000034,PROD,2026-02-03,UDE_ID_34,32014.00000,RATE_CODE_,A,O,1797,W,V
010,100000000035,PROD,2026-02-04,UDE_ID_35,99977.00000,RATE_CODE_,A,O,665,W,V
011,100000000036,PROD,2026-02-05,UDE_ID_36,198625.00000,RATE_CODE_,A,O,1525,W,V
012,100000000037,PROD,2026-02-06,UDE_ID_37,895341.00000,RATE_CODE_,A,O,8259,W,V
013,100000000038,PROD,2026-02-07,UDE_ID_38,679046.00000,RATE_CODE_,A,O,4883,W,V
014,100000000039,PROD,2026-02-08,UDE_ID_39,374369.00000,RATE_CODE_,A,O,4833,W,V
015,100000000040,PROD,2026-02-09,UDE_ID_40,361775.00000,RATE_CODE_,A,O,8446,W,V
016,100000000041,PROD,2026-02-10,UDE_ID_41,169172.00000,RATE_CODE_,A,O,8808,W,V
017,100000000042,PROD,2026-02-11,UDE_ID_42,848112.00000,RATE_CODE_,A,O,2733,W,V
018,100000000043,PROD,2026-02-12,UDE_ID_43,443427.00000,RATE_CODE_,A,O,336,W,V
019,100000000044,PROD,2026-02-13,UDE_ID_44,610609.00000,RATE_CODE_,A,O,7186,W,V
020,100000000045,PROD,2026-02-14,UDE_ID_45,187486.00000,RATE_CODE_,A,O,5466,W,V
021,100000000046,PROD,2026-02-15,UDE_ID_46,321520.00000,RATE_CODE_,A,O,9961,W,V
022,100000000047,PROD,2026-02-16,UDE_ID_47,693722.00000,RATE_CODE_,U,O,827,W,V
023,100000000048,PROD,2026-02-17,UDE_ID_48,248192.00000,RATE_CODE_,A,O,9620,W,V
024,100000000049,PROD,2026-02-18,UDE_ID_49,540916.00000,RATE_CODE_,A,O,1109,W,V
025,100000000050,PROD,2026-02-19,UDE_ID_50,733607.00000,RATE_CODE_,A,O,9587,W,V
001,100000000051,PROD,2026-02-20,UDE_ID_51,451189.00000,RATE_CODE_,A,O,7056,W,V
002,100000000052,PROD,2026-02-21,UDE_ID_52,758846.00000,RATE_CODE_,A,O,687,W,V
003,100000000053,PROD,2026-02-22,UDE_ID_53,641894.00000,RATE_CODE_,A,O,2003,W,V
004,100000000054,PROD,2026-02-23,UDE_ID_54,751746.00000,RATE_CODE_,A,O,5511,W,V
005,100000000055,PROD,2026-02-24,UDE_ID_55,653707.00000,RATE_CODE_,A,O,4441,W,V
006,100000000056,PROD,2026-02-25,UDE_ID_56,368384.00000,RATE_CODE_,A,O,9490,W,V
007,100000000057,PROD,2026-02-26,UDE_ID_57,580187.00000,RATE_CODE_,A,O,6896,W,V
008,100000000058,PROD,2026-02-27,UDE_ID_58,60199.00000,RATE_CODE_,A,O,1778,W,V
009,100000000059,PROD,2026-02-28,UDE_ID_59,715952.00000,RATE_CODE_,A,O,3587,W,V
010,100000000060,PROD,2026-03-01,UDE_ID_60,656606.00000,RATE_CODE_,A,O,3513,W,V
011,100000000061,PROD,2026-03-02,UDE_ID_61,438685.00000,RATE_CODE_,A,O,5022,W,V
012,100000000062,PROD,2026-03-03,UDE_ID_62,559442.00000,RATE_CODE_,A,O,2932,W,V
013,100000000063,PROD,2026-03-04,UDE_ID_63,807548.00000,RATE_CODE_,A,O,9282,W,V
014,100000000064,PROD,2026-03-05,UDE_ID_64,959513.00000,RATE_CODE_,A,O,710,W,V
015,100000000065,PROD,2026-03-06,UDE_ID_65,659866.00000,RATE_CODE_,A,O,9085,W,V
016,100000000066,PROD,2026-03-07,UDE_ID_66,375063.00000,RATE_CODE_,A,O,7172,W,V
017,100000000067,PROD,2026-03-08,UDE_ID_67,550900.00000,RATE_CODE_,A,O,4857,W,V
018,100000000068,PROD,2026-03-09,UDE_ID_68,616513.00000,RATE_CODE_,A,O,9174,W,V
019,100000000069,PROD,2026-03-10,UDE_ID_69,772605.00000,RATE_CODE_,A,O,7074,W,V
020,100000000070,PROD,2026-03-11,UDE_ID_70,528022.00000,RATE_CODE_,U,O,2547,W,V
