BRN,ACC,CCY,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,TENOR,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CREATION_DT,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_VERSION_NO,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,LATEST_EVENT_SEQ_NO,TXN_ID,NEXT_RATE_CHANGE_DT,TD_INT_AMT_READJ_CCY,TD_INT_AMT,TD_MATURITY_AMT,TD_PRN_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,INPUT_TAX_AMT,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,ARCHIVE_DATE
001,TD0000000001,USD,P,25000.000,OFF,001234567890,TD_NEXT_001,127,Td Withdrawer Name 1,2026-01-01,E,J,JOINT_HOLDER,2026-01-01,PAY,001234567890,USD,RA,RO,100000000001,INT,USD,A,G,GE,ADVICE_MEDIA_1,EMAIL_1,2026-01-01,CU,D,A,A,REASON_CODE_1,LATE,2026-05-07,CUST000123,Nadia Test Customer,TD_CERT_COLL,Td Cert Collector Name 1,TD_WITHDRAWE,4158,TD_TXN_NEXT_001,2026-05-07,21033.6000,725.000,25725.000,237.6000,35669.6000,25000.000,A,127,4.11000,2026-01-01,226589,563348,DOCUME,D,001,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-01,001,MAI,MAI,MAI,CMA,1.9100,COMME,001,878499,612554,BAE,AUTHORIZE,VAL,M,DESTI,CUST000123,Nadia Test Customer,TD_NEXT_001,Y,D,B,4.50000,1.68000,A,RATE_CODE_,1.51000,M,RETN_,RETN_,97908.000,94863.00000,951029.00000,195648.8000,NAT,2026-01-01
002,TD0000000002,PEN,P,18000.000,OFF,100000000002,TD_NEXT_002,7535,Td Withdrawer Name 2,2026-01-02,E,J,JOINT_HOLDER,2026-01-02,PAY,100000000002,PEN,RA,RO,100000000002,INT,PEN,A,G,GE,ADVICE_MEDIA_2,EMAIL_2,2026-01-02,CU,D,A,A,REASON_CODE_2,LATE,2026-05-11,CUST000124,Second Test Customer,TD_CERT_COLL,Td Cert Collector Name 2,TD_WITHDRAWE,931,TD_TXN_NEXT_002,2026-01-02,257.4000,10300.100,18480.000,18054.9000,21624.5000,4415.400,A,640157,4.28000,2026-01-02,832286,186278,DOCUME,D,002,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-02,002,MAI,MAI,MAI,CMA,1.4300,COMME,002,777726,435928,BAE,AUTHORIZE,VAL,M,DESTI,CUST000124,CUST000002,TD_NEXT_002,Y,D,B,0.86000,4.12000,A,RATE_CODE_,4.14000,M,RETN_,RETN_,4921.100,668040.00000,870893.00000,12831.2000,NAT,2026-01-02
003,100000000003,EUR,P,19819.700,OFF,100000000003,TRN000000000003,9893,Td Withdrawer Name 3,2026-01-03,E,J,JOINT_HOLDER,2026-01-03,PAY,100000000003,EUR,RA,RO,100000000003,INT,EUR,A,G,GE,ADVICE_MEDIA_3,EMAIL_3,2026-01-03,CU,D,A,A,REASON_CODE_3,LATE,2026-01-03,TD_DEPOSITER,Td Depositer Name 3,TD_CERT_COLL,Td Cert Collector Name 3,TD_WITHDRAWE,9462,TXN0000000000000003,2026-01-03,24445.6000,9141.500,9759.600,8625.1000,16641.2000,13042.200,A,642635,3.46000,2026-01-03,290078,650167,DOCUME,D,003,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-03,003,MAI,MAI,MAI,CMA,3.7600,COMME,003,281460,839657,BAE,AUTHORIZE,VAL,M,DESTI,CUST000003,CUST000003,OPERATION_KEY_3,D,D,B,1.75000,1.26000,A,RATE_CODE_,1.14000,M,RETN_,RETN_,4307.300,994103.00000,678050.00000,24334.3000,NAT,2026-01-03
004,100000000004,BRL,P,11982.100,OFF,100000000004,TRN000000000004,1704,Td Withdrawer Name 4,2026-01-04,E,J,JOINT_HOLDER,2026-01-04,PAY,100000000004,BRL,RA,RO,100000000004,INT,BRL,A,G,GE,ADVICE_MEDIA_4,EMAIL_4,2026-01-04,CU,D,A,A,REASON_CODE_4,LATE,2026-01-04,TD_DEPOSITER,Td Depositer Name 4,TD_CERT_COLL,Td Cert Collector Name 4,TD_WITHDRAWE,9022,TXN0000000000000004,2026-01-04,16499.6000,6462.200,20593.400,14800.9000,22298.3000,10840.500,A,112781,1.98000,2026-01-04,310091,632515,DOCUME,D,004,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-04,004,MAI,MAI,MAI,CMA,2.7500,COMME,004,21373,674796,BAE,AUTHORIZE,VAL,M,DESTI,CUST000004,CUST000004,OPERATION_KEY_4,D,D,B,3.62000,1.94000,A,RATE_CODE_,2.88000,M,RETN_,RETN_,20730.800,841382.00000,960184.00000,11161.0000,NAT,2026-01-04
005,100000000005,USD,P,2563.400,OFF,100000000005,TRN000000000005,9302,Td Withdrawer Name 5,2026-01-05,E,J,JOINT_HOLDER,2026-01-05,PAY,100000000005,USD,RA,RO,100000000005,INT,USD,A,G,GE,ADVICE_MEDIA_5,EMAIL_5,2026-01-05,CU,D,A,A,REASON_CODE_5,LATE,2026-01-05,TD_DEPOSITER,Td Depositer Name 5,TD_CERT_COLL,Td Cert Collector Name 5,TD_WITHDRAWE,4717,TXN0000000000000005,2026-01-05,15176.8000,9799.700,5673.000,12019.3000,15825.1000,18202.300,A,874298,1.07000,2026-01-05,38942,558681,DOCUME,D,005,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-05,005,MAI,MAI,MAI,CMA,2.5600,COMME,005,448256,634951,BAE,AUTHORIZE,VAL,M,DESTI,CUST000005,CUST000005,OPERATION_KEY_5,D,D,B,3.13000,4.39000,A,RATE_CODE_,2.45000,M,RETN_,RETN_,3266.400,25088.00000,551193.00000,14875.3000,NAT,2026-01-05
006,100000000006,PEN,P,19922.500,OFF,100000000006,TRN000000000006,4302,Td Withdrawer Name 6,2026-01-06,E,J,JOINT_HOLDER,2026-01-06,PAY,100000000006,PEN,RA,RO,100000000006,INT,PEN,A,G,GE,ADVICE_MEDIA_6,EMAIL_6,2026-01-06,CU,D,A,A,REASON_CODE_6,LATE,2026-01-06,TD_DEPOSITER,Td Depositer Name 6,TD_CERT_COLL,Td Cert Collector Name 6,TD_WITHDRAWE,4144,TXN0000000000000006,2026-01-06,18257.6000,7009.200,14786.400,20494.4000,10385.6000,10967.500,A,969859,2.55000,2026-01-06,454845,832369,DOCUME,D,006,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-06,006,MAI,MAI,MAI,CMA,3.1700,COMME,006,815202,836915,BAE,AUTHORIZE,VAL,M,DESTI,CUST000006,CUST000006,OPERATION_KEY_6,D,D,B,3.72000,3.65000,A,RATE_CODE_,3.36000,M,RETN_,RETN_,11843.200,971878.00000,395865.00000,17864.9000,NAT,2026-01-06
007,100000000007,EUR,P,9934.000,OFF,100000000007,TRN000000000007,3248,Td Withdrawer Name 7,2026-01-07,E,J,JOINT_HOLDER,2026-01-07,PAY,100000000007,EUR,RA,RO,100000000007,INT,EUR,A,G,GE,ADVICE_MEDIA_7,EMAIL_7,2026-01-07,CU,D,A,A,REASON_CODE_7,LATE,2026-01-07,TD_DEPOSITER,Td Depositer Name 7,TD_CERT_COLL,Td Cert Collector Name 7,TD_WITHDRAWE,9579,TXN0000000000000007,2026-01-07,20572.9000,16476.400,7021.500,15117.7000,14182.6000,7884.400,A,920714,2.40000,2026-01-07,938107,962947,DOCUME,D,007,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-07,007,MAI,MAI,MAI,CMA,3.8900,COMME,007,70592,121682,BAE,AUTHORIZE,VAL,M,DESTI,CUST000007,CUST000007,OPERATION_KEY_7,D,D,B,1.63000,2.37000,A,RATE_CODE_,2.33000,M,RETN_,RETN_,16478.600,519302.00000,16268.00000,2052.2000,NAT,2026-01-07
008,100000000008,BRL,P,7842.900,OFF,100000000008,TRN000000000008,6266,Td Withdrawer Name 8,2026-01-08,E,J,JOINT_HOLDER,2026-01-08,PAY,100000000008,BRL,RA,RO,100000000008,INT,BRL,A,G,GE,ADVICE_MEDIA_8,EMAIL_8,2026-01-08,CU,D,A,A,REASON_CODE_8,LATE,2026-01-08,TD_DEPOSITER,Td Depositer Name 8,TD_CERT_COLL,Td Cert Collector Name 8,TD_WITHDRAWE,3866,TXN0000000000000008,2026-01-08,2735.1000,15211.500,14426.500,6559.0000,19657.5000,5762.300,A,790160,3.61000,2026-01-08,170362,890817,DOCUME,D,008,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-08,008,MAI,MAI,MAI,CMA,1.0600,COMME,008,496705,898722,BAE,AUTHORIZE,VAL,M,DESTI,CUST000008,CUST000008,OPERATION_KEY_8,D,D,B,4.04000,0.94000,A,RATE_CODE_,4.22000,M,RETN_,RETN_,21270.100,544095.00000,570877.00000,17300.1000,NAT,2026-01-08
009,100000000009,USD,P,8332.300,OFF,100000000009,TRN000000000009,9121,Td Withdrawer Name 9,2026-01-09,E,J,JOINT_HOLDER,2026-01-09,PAY,100000000009,USD,RA,RO,100000000009,INT,USD,A,G,GE,ADVICE_MEDIA_9,EMAIL_9,2026-01-09,CU,D,A,A,REASON_CODE_9,LATE,2026-01-09,TD_DEPOSITER,Td Depositer Name 9,TD_CERT_COLL,Td Cert Collector Name 9,TD_WITHDRAWE,5994,TXN0000000000000009,2026-01-09,17929.0000,24986.500,23774.700,1337.7000,10275.0000,2250.000,A,773521,1.19000,2026-01-09,430651,541067,DOCUME,D,009,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-09,009,MAI,MAI,MAI,CMA,3.3800,COMME,009,954352,439451,BAE,AUTHORIZE,VAL,M,DESTI,CUST000009,CUST000009,OPERATION_KEY_9,D,D,B,4.25000,2.09000,A,RATE_CODE_,3.47000,M,RETN_,RETN_,18047.900,888800.00000,263388.00000,23594.3000,NAT,2026-01-09
010,100000000010,PEN,P,20915.800,OFF,100000000010,TRN000000000010,1610,Td Withdrawer Name 10,2026-01-10,E,J,JOINT_HOLDER,2026-01-10,PAY,100000000010,PEN,RA,RO,100000000010,INT,PEN,A,G,GE,ADVICE_MEDIA_10,EMAIL_10,2026-01-10,CU,D,A,A,REASON_CODE_10,LATE,2026-01-10,TD_DEPOSITER,Td Depositer Name 10,TD_CERT_COLL,Td Cert Collector Name 10,TD_WITHDRAWE,9557,TXN0000000000000010,2026-01-10,15043.7000,17076.300,7060.800,735.7000,5352.9000,18525.000,A,11452,1.10000,2026-01-10,903406,289501,DOCUME,D,010,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-10,010,MAI,MAI,MAI,CMA,1.2900,COMME,010,390960,742942,BAE,AUTHORIZE,VAL,M,DESTI,CUST000010,CUST000010,OPERATION_KEY_1,D,D,B,1.52000,2.63000,A,RATE_CODE_,2.16000,M,RETN_,RETN_,19217.400,400400.00000,11311.00000,17362.2000,NAT,2026-01-10
