BRN,ACC,CCY,VERSION_NO,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,CREATION_DT,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_EVENT_SEQ_NO,TENOR,NEXT_RATE_CHANGE_DT,INPUT_TAX_AMT,TD_MATURITY_AMT,TD_INT_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,XREF,TD_PRN_AMT_READJ_CCY,TD_INT_AMT,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,TXN_ID
001,TD0000000001,USD,8015,P,25000.000,OFF,001234567890,TD_NEXT_001,2026-01-01,2026-05-07,CUST000123,Nadia Test Customer,TD_CERT_COLL,Td Cert Collector Name 1,TD_WITHDRAWE,Td Withdrawer Name 1,2026-01-01,E,J,JOINT_HOLDER,2026-01-01,PAY,001234567890,USD,RA,RO,100000000001,INT,USD,A,G,G,ADVICE_MEDIA_1,EMAIL_1,CU,D,A,A,REASON_CODE_1,7756,127,2026-05-07,109308.000,25725.000,117955.2000,22754.4000,XREF_1,33489.6000,725.000,25000.000,A,127,1.50000,2026-01-01,964405,428786,DOCUME,D,001,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-01,001,MAI,MAI,MAI,CMA,1.9300,COMME,001,865102,113421,BAE,AUTHORIZE,VAL,M,DESTI,CUST000123,Nadia Test Customer,TD_NEXT_001,Y,D,B,4.50000,2.50000,A,RATE_CODE_,1.62000,M,RETN_,RETN_,335843.00000,416597.00000,120863.2000,NAT,TD_TXN_NEXT_001
002,TD0000000002,PEN,771,P,18000.000,OFF,100000000002,TD_NEXT_002,2026-01-02,2026-05-11,CUST000124,Second Test Customer,TD_CERT_COLL,Td Cert Collector Name 2,TD_WITHDRAWE,Td Withdrawer Name 2,2026-01-02,E,J,JOINT_HOLDER,2026-01-02,PAY,100000000002,PEN,RA,RO,100000000002,INT,PEN,A,G,G,ADVICE_MEDIA_2,EMAIL_2,CU,D,A,A,REASON_CODE_2,6325,5037,2026-01-02,5343.200,18480.000,5993.0000,18116.4000,XREF_2,19467.0000,23421.100,22858.7000,A,143076,1.92000,2026-01-02,886552,95984,DOCUME,D,002,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-02,002,MAI,MAI,MAI,CMA,3.5300,COMME,002,885497,800802,BAE,AUTHORIZE,VAL,M,DESTI,CUST000124,CUST000002,TD_NEXT_002,Y,D,B,4.30000,1.76000,A,RATE_CODE_,1.38000,M,RETN_,RETN_,724536.00000,74666.00000,3380.3000,NAT,TD_TXN_NEXT_002
003,100000000003,EUR,6394,P,1099.800,OFF,100000000003,TRN000000000003,2026-01-03,2026-01-03,TD_DEPOSITER,Td Depositer Name 3,TD_CERT_COLL,Td Cert Collector Name 3,TD_WITHDRAWE,Td Withdrawer Name 3,2026-01-03,E,J,JOINT_HOLDER,2026-01-03,PAY,100000000003,EUR,RA,RO,100000000003,INT,EUR,A,G,G,ADVICE_MEDIA_3,EMAIL_3,CU,D,A,A,REASON_CODE_3,3541,7356,2026-01-03,13357.300,4079.500,23520.1000,1562.8000,XREF_3,18709.1000,9247.100,13768.1000,A,687589,1.29000,2026-01-03,404790,142247,DOCUME,D,003,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-03,003,MAI,MAI,MAI,CMA,4.0200,COMME,003,520836,284657,BAE,AUTHORIZE,VAL,M,DESTI,CUST000003,CUST000003,OPERATION_KEY_3,D,D,B,1.33000,2.63000,A,RATE_CODE_,3.75000,M,RETN_,RETN_,480781.00000,979588.00000,22350.0000,NAT,TXN0000000000000003
004,100000000004,BRL,2660,P,8355.000,OFF,100000000004,TRN000000000004,2026-01-04,2026-01-04,TD_DEPOSITER,Td Depositer Name 4,TD_CERT_COLL,Td Cert Collector Name 4,TD_WITHDRAWE,Td Withdrawer Name 4,2026-01-04,E,J,JOINT_HOLDER,2026-01-04,PAY,100000000004,BRL,RA,RO,100000000004,INT,BRL,A,G,G,ADVICE_MEDIA_4,EMAIL_4,CU,D,A,A,REASON_CODE_4,3754,963,2026-01-04,3141.900,23287.400,13416.2000,17140.1000,XREF_4,22500.6000,16693.200,14501.8000,A,98955,3.67000,2026-01-04,448409,705540,DOCUME,D,004,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-04,004,MAI,MAI,MAI,CMA,2.7400,COMME,004,336367,125599,BAE,AUTHORIZE,VAL,M,DESTI,CUST000004,CUST000004,OPERATION_KEY_4,D,D,B,3.64000,1.69000,A,RATE_CODE_,4.33000,M,RETN_,RETN_,121146.00000,284499.00000,2570.1000,NAT,TXN0000000000000004
005,100000000005,USD,4384,P,3909.200,OFF,100000000005,TRN000000000005,2026-01-05,2026-01-05,TD_DEPOSITER,Td Depositer Name 5,TD_CERT_COLL,Td Cert Collector Name 5,TD_WITHDRAWE,Td Withdrawer Name 5,2026-01-05,E,J,JOINT_HOLDER,2026-01-05,PAY,100000000005,USD,RA,RO,100000000005,INT,USD,A,G,G,ADVICE_MEDIA_5,EMAIL_5,CU,D,A,A,REASON_CODE_5,6378,2090,2026-01-05,4574.500,15964.100,7558.8000,17606.9000,XREF_5,20864.6000,21308.500,15357.3000,A,300329,1.51000,2026-01-05,408476,191890,DOCUME,D,005,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-05,005,MAI,MAI,MAI,CMA,4.1800,COMME,005,359392,143189,BAE,AUTHORIZE,VAL,M,DESTI,CUST000005,CUST000005,OPERATION_KEY_5,D,D,B,3.64000,2.03000,A,RATE_CODE_,2.59000,M,RETN_,RETN_,909880.00000,589035.00000,8935.0000,NAT,TXN0000000000000005
006,100000000006,PEN,2341,P,8074.400,OFF,100000000006,TRN000000000006,2026-01-06,2026-01-06,TD_DEPOSITER,Td Depositer Name 6,TD_CERT_COLL,Td Cert Collector Name 6,TD_WITHDRAWE,Td Withdrawer Name 6,2026-01-06,E,J,JOINT_HOLDER,2026-01-06,PAY,100000000006,PEN,RA,RO,100000000006,INT,PEN,A,G,G,ADVICE_MEDIA_6,EMAIL_6,CU,D,A,A,REASON_CODE_6,2357,2294,2026-01-06,9269.400,4301.900,16037.7000,2761.3000,XREF_6,342.7000,15997.700,4219.1000,A,63123,3.14000,2026-01-06,837931,344162,DOCUME,D,006,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-06,006,MAI,MAI,MAI,CMA,2.1700,COMME,006,653604,60810,BAE,AUTHORIZE,VAL,M,DESTI,CUST000006,CUST000006,OPERATION_KEY_6,D,D,B,2.44000,1.32000,A,RATE_CODE_,1.62000,M,RETN_,RETN_,745002.00000,588150.00000,3216.3000,NAT,TXN0000000000000006
007,100000000007,EUR,8642,P,15260.500,OFF,100000000007,TRN000000000007,2026-01-07,2026-01-07,TD_DEPOSITER,Td Depositer Name 7,TD_CERT_COLL,Td Cert Collector Name 7,TD_WITHDRAWE,Td Withdrawer Name 7,2026-01-07,E,J,JOINT_HOLDER,2026-01-07,PAY,100000000007,EUR,RA,RO,100000000007,INT,EUR,A,G,G,ADVICE_MEDIA_7,EMAIL_7,CU,D,A,A,REASON_CODE_7,345,1797,2026-01-07,21922.300,309.800,23207.5000,14992.6000,XREF_7,1491.2000,2479.200,18447.5000,A,498980,3.74000,2026-01-07,866067,492536,DOCUME,D,007,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-07,007,MAI,MAI,MAI,CMA,1.9500,COMME,007,598883,835000,BAE,AUTHORIZE,VAL,M,DESTI,CUST000007,CUST000007,OPERATION_KEY_7,D,D,B,4.11000,2.93000,A,RATE_CODE_,3.99000,M,RETN_,RETN_,826147.00000,385358.00000,16094.0000,NAT,TXN0000000000000007
008,100000000008,BRL,8787,P,10070.500,OFF,100000000008,TRN000000000008,2026-01-08,2026-01-08,TD_DEPOSITER,Td Depositer Name 8,TD_CERT_COLL,Td Cert Collector Name 8,TD_WITHDRAWE,Td Withdrawer Name 8,2026-01-08,E,J,JOINT_HOLDER,2026-01-08,PAY,100000000008,BRL,RA,RO,100000000008,INT,BRL,A,G,G,ADVICE_MEDIA_8,EMAIL_8,CU,D,A,A,REASON_CODE_8,6792,7830,2026-01-08,6933.000,19969.300,21738.2000,17485.9000,XREF_8,22193.4000,24037.700,2781.7000,A,970710,2.68000,2026-01-08,196965,53309,DOCUME,D,008,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-08,008,MAI,MAI,MAI,CMA,1.6100,COMME,008,76332,519846,BAE,AUTHORIZE,VAL,M,DESTI,CUST000008,CUST000008,OPERATION_KEY_8,D,D,B,2.37000,2.84000,A,RATE_CODE_,1.09000,M,RETN_,RETN_,346168.00000,612481.00000,7588.4000,NAT,TXN0000000000000008
009,100000000009,USD,3974,P,5223.700,OFF,100000000009,TRN000000000009,2026-01-09,2026-01-09,TD_DEPOSITER,Td Depositer Name 9,TD_CERT_COLL,Td Cert Collector Name 9,TD_WITHDRAWE,Td Withdrawer Name 9,2026-01-09,E,J,JOINT_HOLDER,2026-01-09,PAY,100000000009,USD,RA,RO,100000000009,INT,USD,A,G,G,ADVICE_MEDIA_9,EMAIL_9,CU,D,A,A,REASON_CODE_9,5897,8386,2026-01-09,636.900,11369.300,20598.4000,18673.3000,XREF_9,7573.3000,24100.200,4794.0000,A,152128,2.44000,2026-01-09,540318,38582,DOCUME,D,009,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-09,009,MAI,MAI,MAI,CMA,1.8300,COMME,009,519015,261112,BAE,AUTHORIZE,VAL,M,DESTI,CUST000009,CUST000009,OPERATION_KEY_9,D,D,B,3.10000,4.29000,A,RATE_CODE_,1.14000,M,RETN_,RETN_,809700.00000,151679.00000,22577.1000,NAT,TXN0000000000000009
010,100000000010,PEN,9042,P,19117.600,OFF,100000000010,TRN000000000010,2026-01-10,2026-01-10,TD_DEPOSITER,Td Depositer Name 10,TD_CERT_COLL,Td Cert Collector Name 10,TD_WITHDRAWE,Td Withdrawer Name 10,2026-01-10,E,J,JOINT_HOLDER,2026-01-10,PAY,100000000010,PEN,RA,RO,100000000010,INT,PEN,A,G,G,ADVICE_MEDIA_10,EMAIL_10,CU,D,A,A,REASON_CODE_10,2675,9954,2026-01-10,9542.300,12406.000,17575.8000,16754.5000,XREF_10,10086.9000,24401.200,4708.7000,A,899970,1.88000,2026-01-10,626576,675468,DOCUME,D,010,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-10,010,MAI,MAI,MAI,CMA,2.8200,COMME,010,862328,264251,BAE,AUTHORIZE,VAL,M,DESTI,CUST000010,CUST000010,OPERATION_KEY_1,D,D,B,1.60000,2.78000,A,RATE_CODE_,0.86000,M,RETN_,RETN_,687082.00000,845413.00000,1889.0000,NAT,TXN0000000000000010
